NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SAR1B	5	174.04086303710938	0.12698478	Yes	
row_1	MAPK3	46	67.41266632080078	0.158822	Yes	
row_2	TNRC6A	59	59.99721145629883	0.19791369	Yes	
row_3	ATF2	60	59.67100143432617	0.24223256	Yes	
row_4	KANK2	67	58.12285614013672	0.28266686	Yes	
row_5	RPTOR	68	57.78310775756836	0.32558355	Yes	
row_6	LAMP2	72	55.772605895996094	0.36563966	Yes	
row_7	KAT5	77	53.90064239501953	0.4038496	Yes	
row_8	TBC1D7	97	49.27277755737305	0.43178552	Yes	
row_9	PPARA	113	45.532501220703125	0.4587666	Yes	
row_10	DRAM1	147	40.1755256652832	0.47356477	Yes	
row_11	ULK1	182	37.266117095947266	0.48574626	Yes	
row_12	SH3GLB1	185	36.83848571777344	0.5121954	Yes	
row_13	FOXO3	229	32.38707733154297	0.51665103	Yes	
row_14	XPR1	278	28.720678329467773	0.51610464	Yes	
row_15	LAMTOR1	297	26.776708602905273	0.52778804	Yes	
row_16	TFEB	334	25.23927879333496	0.5301254	Yes	
row_17	JMY	555	16.198989868164062	0.44188324	No	
row_18	KAT2B	636	14.317447662353516	0.416054	No	
row_19	WDR45	828	10.419333457946777	0.33673707	No	
row_20	INHBB	877	9.639410972595215	0.3220186	No	
row_21	GAS6	984	8.16102123260498	0.27976638	No	
row_22	GLUL	1004	7.987624645233154	0.27703896	No	
row_23	PAK6	1056	7.199270248413086	0.2591408	No	
row_24	KCNB1	1078	6.955301761627197	0.25473508	No	
row_25	MAP1LC3A	1100	6.667288780212402	0.25011545	No	
row_26	GDAP1	1174	5.7095232009887695	0.22108346	No	
row_27	MLXIPL	1322	4.410616874694824	0.15735841	No	
row_28	GBA1	1358	4.089766979217529	0.14444336	No	
row_29	SESN3	1428	-4.5424933433532715	0.116367765	No	
row_30	CAV1	1636	-8.576523780822754	0.0283895	No	
row_31	ASNS	1665	-9.705284118652344	0.022835735	No	
row_32	UPP1	1697	-11.061650276184082	0.016922005	No	
row_33	FAS	1771	-13.652487754821777	-0.0062105753	No	
row_34	PMAIP1	2016	-27.238786697387695	-0.09719217	No	
row_35	WDR45B	2073	-32.94232177734375	-0.09824939	No	
row_36	MAP3K5	2083	-33.7741584777832	-0.07726673	No	
row_37	PRKAA1	2169	-47.88152313232422	-0.08044617	No	
row_38	PAK2	2191	-59.25313949584961	-0.046009205	No	
row_39	SIRT1	2219	-87.10771179199219	0.006381183	No	
