NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATF2	60	59.67100143432617	-0.0014574069	No	
row_1	KANK2	67	58.12285614013672	0.021537952	No	
row_2	RPTOR	68	57.78310775756836	0.047175866	No	
row_3	AKAP8	84	52.92867660522461	0.06367666	No	
row_4	CLASP1	188	36.51430892944336	0.031926192	No	
row_5	RRM2B	215	33.335784912109375	0.034612734	No	
row_6	MUC1	218	33.199607849121094	0.04841204	No	
row_7	DDX3X	250	30.443496704101562	0.04748755	No	
row_8	CAMSAP3	271	29.09208869934082	0.051084496	No	
row_9	PKP3	299	26.741241455078125	0.05037954	No	
row_10	KLHL22	302	26.671676635742188	0.061282456	No	
row_11	TAOK2	350	23.901887893676758	0.050006717	No	
row_12	NFIB	379	22.21803855895996	0.046829306	No	
row_13	TGFB1	420	20.842241287231445	0.03745487	No	
row_14	CDK18	429	20.365467071533203	0.04276647	No	
row_15	EME2	445	19.58133888244629	0.04447132	No	
row_16	FOXN3	474	18.885528564453125	0.039815295	No	
row_17	CDK14	487	18.56593132019043	0.042466264	No	
row_18	CDKN3	525	17.049545288085938	0.03280569	No	
row_19	CCNJ	639	14.291181564331055	-0.013460505	No	
row_20	FOXO4	643	14.2255220413208	-0.008545401	No	
row_21	MYB	760	11.732175827026367	-0.05734365	No	
row_22	BRSK1	799	10.88166618347168	-0.07020642	No	
row_23	FBXO6	849	10.099661827087402	-0.088537194	No	
row_24	SMARCD3	978	8.233649253845215	-0.14447431	No	
row_25	PARP9	1036	7.513423919677734	-0.16767697	No	
row_26	RHOU	1042	7.464715480804443	-0.16669269	No	
row_27	SIX3	1320	4.44719934463501	-0.29367667	No	
row_28	CCNB3	1435	-4.629527568817139	-0.3446952	No	
row_29	CDK15	1498	-5.555846691131592	-0.3710942	No	
row_30	CDKN2C	1571	-7.081743240356445	-0.4014716	No	
row_31	DYNLT3	1583	-7.355832576751709	-0.40332896	No	
row_32	FBXO4	1610	-7.8034234046936035	-0.4119709	No	
row_33	CCNJL	1695	-10.986427307128906	-0.44620246	No	
row_34	MYC	1748	-12.80810832977295	-0.46472818	No	
row_35	EME1	1749	-12.842201232910156	-0.45903018	No	
row_36	EPS8	1761	-13.308174133300781	-0.4582465	No	
row_37	UBE2C	1776	-13.911659240722656	-0.4585917	No	
row_38	ZWINT	1779	-13.957137107849121	-0.45333013	No	
row_39	CDK6	1833	-16.843692779541016	-0.4705308	Yes	
row_40	RBBP8	1849	-17.888973236083984	-0.46957687	Yes	
row_41	WDR76	1851	-17.965126037597656	-0.46207142	Yes	
row_42	RFC4	1863	-18.447935104370117	-0.45900726	Yes	
row_43	BUB1	1870	-18.570650100708008	-0.45356092	Yes	
row_44	DBF4B	1877	-18.884918212890625	-0.44797513	Yes	
row_45	BRCA1	1894	-19.52715492248535	-0.44675985	Yes	
row_46	TIPIN	1900	-19.845184326171875	-0.44028246	Yes	
row_47	NEK6	1905	-20.01072120666504	-0.43326604	Yes	
row_48	CKS2	1918	-20.644887924194336	-0.4296927	Yes	
row_49	PAXIP1	1919	-20.678558349609375	-0.42051774	Yes	
row_50	ATAD5	1922	-20.90945053100586	-0.41217148	Yes	
row_51	CLSPN	1937	-21.641185760498047	-0.40908715	Yes	
row_52	MELK	1945	-22.155696868896484	-0.4025157	Yes	
row_53	CDC45	1950	-22.53217315673828	-0.39438054	Yes	
row_54	SPC24	1962	-23.05670166015625	-0.38927153	Yes	
row_55	CDC20	1984	-24.385446548461914	-0.38822842	Yes	
row_56	RRM1	1988	-24.706632614135742	-0.37866294	Yes	
row_57	CCNB1	1992	-24.959508895874023	-0.36898524	Yes	
row_58	PINX1	2000	-25.39072608947754	-0.36097842	Yes	
row_59	RAD1	2001	-25.451000213623047	-0.349686	Yes	
row_60	AURKB	2013	-27.046825408935547	-0.34280658	Yes	
row_61	SKP2	2015	-27.075199127197266	-0.33125907	Yes	
row_62	SASS6	2021	-27.668949127197266	-0.32131034	Yes	
row_63	RFC3	2026	-28.163808822631836	-0.3106765	Yes	
row_64	WEE1	2027	-28.181522369384766	-0.29817256	Yes	
row_65	CDC25B	2028	-28.218364715576172	-0.28565228	Yes	
row_66	EZH2	2035	-29.100849151611328	-0.27553377	Yes	
row_67	NABP1	2039	-29.543779373168945	-0.26382208	Yes	
row_68	CDCA8	2045	-30.451913833618164	-0.25263855	Yes	
row_69	DTL	2048	-30.972063064575195	-0.23982757	Yes	
row_70	AURKA	2056	-31.56000328063965	-0.2290835	Yes	
row_71	SMARCE1	2058	-31.657745361328125	-0.21550275	Yes	
row_72	DBF4	2074	-32.992549896240234	-0.20784746	Yes	
row_73	SPDL1	2096	-35.36600875854492	-0.20193237	Yes	
row_74	CCND1	2102	-35.97298812866211	-0.1882992	Yes	
row_75	ZWILCH	2110	-36.67355728149414	-0.17528626	Yes	
row_76	RAD51	2113	-36.964027404785156	-0.15981671	Yes	
row_77	RFC5	2114	-37.01982879638672	-0.14339131	Yes	
row_78	H2AX	2140	-40.64162826538086	-0.13699767	Yes	
row_79	E2F7	2141	-40.64704513549805	-0.11896289	Yes	
row_80	NUF2	2148	-42.90642166137695	-0.10271895	Yes	
row_81	CDC25A	2156	-44.6638298034668	-0.0861608	Yes	
row_82	RFWD3	2158	-44.76905059814453	-0.06676268	Yes	
row_83	ANXA1	2159	-45.493385314941406	-0.046577618	Yes	
row_84	CHEK1	2199	-64.37883758544922	-0.03616966	Yes	
row_85	FBXW7	2229	-116.14595031738281	0.0018624568	Yes	
