NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BTRC	20	105.81743621826172	0.011796668	No	
row_1	ATF2	60	59.67100143432617	0.004866363	No	
row_2	KANK2	67	58.12285614013672	0.013788649	No	
row_3	RPTOR	68	57.78310775756836	0.025581332	No	
row_4	KAT5	77	53.90064239501953	0.032662015	No	
row_5	AKAP8	84	52.92867660522461	0.040524244	No	
row_6	NDC1	94	49.59221267700195	0.046235684	No	
row_7	SPIRE2	126	43.72304153442383	0.039970282	No	
row_8	BCL2L11	140	41.106101989746094	0.04199001	No	
row_9	WDR6	151	39.98173904418945	0.045250136	No	
row_10	RAB11FIP4	173	37.96933364868164	0.042710043	No	
row_11	SH3GLB1	185	36.83848571777344	0.044838723	No	
row_12	CLASP1	188	36.51430892944336	0.051310845	No	
row_13	AGO4	192	35.5439567565918	0.057094976	No	
row_14	PRC1	195	35.19623947143555	0.0632981	No	
row_15	INPPL1	214	33.367279052734375	0.061288666	No	
row_16	RRM2B	215	33.335784912109375	0.06809201	No	
row_17	TACC2	216	33.26572036743164	0.074881054	No	
row_18	MUC1	218	33.199607849121094	0.081166655	No	
row_19	SMPD3	240	31.113298416137695	0.07722735	No	
row_20	INSR	246	30.753944396972656	0.081053995	No	
row_21	DDX3X	250	30.443496704101562	0.0857972	No	
row_22	DCAF11	256	30.06818389892578	0.089483894	No	
row_23	CAMSAP3	271	29.09208869934082	0.08856178	No	
row_24	LZTS2	279	28.682466506958008	0.09098576	No	
row_25	UBXN2B	288	27.727670669555664	0.09272492	No	
row_26	PKP3	299	26.741241455078125	0.093282856	No	
row_27	KLHL22	302	26.671676635742188	0.097746246	No	
row_28	SNX33	306	26.6299991607666	0.10171117	No	
row_29	RHOB	311	26.509048461914062	0.10516145	No	
row_30	TAOK2	350	23.901887893676758	0.09142115	No	
row_31	NFIB	379	22.21803855895996	0.08223676	No	
row_32	OBSL1	397	21.658597946166992	0.078327715	No	
row_33	EXOC4	417	20.866657257080078	0.07327713	No	
row_34	TGFB1	420	20.842241287231445	0.07655081	No	
row_35	CDK18	429	20.365467071533203	0.07678746	No	
row_36	EME2	445	19.58133888244629	0.07343438	No	
row_37	FOXN3	474	18.885528564453125	0.06356988	No	
row_38	CDK14	487	18.56593132019043	0.06147944	No	
row_39	MYH14	489	18.362470626831055	0.064737	No	
row_40	ATRX	493	18.294097900390625	0.06700069	No	
row_41	DAB2IP	512	17.581512451171875	0.06176961	No	
row_42	CDKN3	525	17.049545288085938	0.0593697	No	
row_43	MSX1	554	16.200349807739258	0.048957188	No	
row_44	LUZP1	576	15.63709831237793	0.041859414	No	
row_45	NEK7	587	15.380173683166504	0.040098727	No	
