NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPIRE2	126	43.72304153442383	-0.037874572	No	
row_1	RAB11FIP4	173	37.96933364868164	-0.04114381	No	
row_2	SH3GLB1	185	36.83848571777344	-0.028608074	No	
row_3	CLASP1	188	36.51430892944336	-0.012024227	No	
row_4	PRC1	195	35.19623947143555	0.002058985	No	
row_5	DCAF11	256	30.06818389892578	-0.011539883	No	
row_6	LZTS2	279	28.682466506958008	-0.008054844	No	
row_7	KLHL22	302	26.671676635742188	-0.0055344943	No	
row_8	SNX33	306	26.6299991607666	0.005840217	No	
row_9	RHOB	311	26.509048461914062	0.01668983	No	
row_10	KLHL42	336	24.752819061279297	0.017355451	No	
row_11	EXOC4	417	20.866657257080078	-0.009999341	No	
row_12	TGFB1	420	20.842241287231445	-9.3427557E-4	No	
row_13	CDK14	487	18.56593132019043	-0.022853859	No	
row_14	MYH14	489	18.362470626831055	-0.014511406	No	
row_15	CABLES1	507	17.715349197387695	-0.01395256	No	
row_16	LUZP1	576	15.63709831237793	-0.038211413	No	
row_17	KAT2B	636	14.317447662353516	-0.058899734	No	
row_18	LBH	734	12.19757080078125	-0.098353796	No	
row_19	MYB	760	11.732175827026367	-0.10440199	No	
row_20	TPPP	765	11.554701805114746	-0.10072683	No	
row_21	MAP10	789	11.042397499084473	-0.1061718	No	
row_22	IGF2	859	9.893594741821289	-0.13365321	No	
row_23	FGFR2	1288	4.747315406799316	-0.33128223	No	
row_24	NOTCH1	1298	4.672615051269531	-0.33324417	No	
row_25	PDGFD	1308	4.5581769943237305	-0.335261	No	
row_26	TGFB2	1311	4.514194011688232	-0.3340294	No	
row_27	NR5A2	1426	-4.514068126678467	-0.3851099	No	
row_28	CCNB3	1435	-4.629527568817139	-0.38662544	No	
row_29	ZNF365	1465	-5.097355842590332	-0.39772502	No	
row_30	FIGN	1470	-5.167784214019775	-0.397114	No	
row_31	FUT9	1522	-5.983757972717285	-0.4180639	No	
row_32	NEK3	1575	-7.178403854370117	-0.43890774	No	
row_33	DYNLT3	1583	-7.355832576751709	-0.43864822	No	
row_34	VEGFC	1599	-7.615478038787842	-0.44200072	No	
row_35	TRIM36	1608	-7.79010009765625	-0.44199994	No	
row_36	PPP1R1C	1611	-7.810229778289795	-0.43918708	No	
row_37	BTC	1615	-8.07774829864502	-0.43671292	No	
row_38	CENPW	1638	-8.622353553771973	-0.44285187	No	
row_39	CKS1B	1660	-9.586742401123047	-0.44806105	No	
row_40	MYC	1748	-12.80810832977295	-0.48255152	Yes	
row_41	PTTG1	1754	-13.08960247039795	-0.47860703	Yes	
row_42	UBE2C	1776	-13.911659240722656	-0.4817413	Yes	
row_43	ZWINT	1779	-13.957137107849121	-0.47597942	Yes	
row_44	CDCA3	1781	-14.0423002243042	-0.4697096	Yes	
row_45	CEP55	1812	-15.867593765258789	-0.47610918	Yes	
row_46	STMN1	1819	-16.177413940429688	-0.47115037	Yes	
row_47	CDK6	1833	-16.843692779541016	-0.46914142	Yes	
row_48	RBBP8	1849	-17.888973236083984	-0.46756512	Yes	
row_49	LRRCC1	1854	-18.012924194335938	-0.4607916	Yes	
row_50	CDCA5	1857	-18.079177856445312	-0.45305213	Yes	
row_51	BUB1	1870	-18.570650100708008	-0.4497476	Yes	
row_52	DCLRE1A	1891	-19.469961166381836	-0.44974816	Yes	
row_53	TOP1	1893	-19.507122039794922	-0.44085655	Yes	
row_54	TIPIN	1900	-19.845184326171875	-0.43413812	Yes	
row_55	NEK6	1905	-20.01072120666504	-0.42640612	Yes	
