NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT5	77	53.90064239501953	0.048560273	No	
row_1	KAT2B	636	14.317447662353516	-0.18133521	No	
row_2	ZWINT	1779	-13.957137107849121	-0.67556375	Yes	
row_3	CEP55	1812	-15.867593765258789	-0.6654834	Yes	
row_4	KIF22	1835	-16.927169799804688	-0.64924806	Yes	
row_5	XRCC4	1929	-21.121776580810547	-0.6585959	Yes	
row_6	KNSTRN	1931	-21.192279815673828	-0.6262809	Yes	
row_7	ECT2	1953	-22.65511703491211	-0.60073763	Yes	
row_8	SPC24	1962	-23.05670166015625	-0.5687017	Yes	
row_9	CCNB1	1992	-24.959508895874023	-0.5432088	Yes	
row_10	CENPQ	1995	-25.09429931640625	-0.5053123	Yes	
row_11	PINX1	2000	-25.39072608947754	-0.46786094	Yes	
row_12	AURKB	2013	-27.046825408935547	-0.4314623	Yes	
row_13	CDCA8	2045	-30.451913833618164	-0.3983806	Yes	
row_14	NDEL1	2071	-32.59892654418945	-0.3592693	Yes	
row_15	SPDL1	2096	-35.36600875854492	-0.31542793	Yes	
row_16	ZWILCH	2110	-36.67355728149414	-0.2645965	Yes	
row_17	NUF2	2148	-42.90642166137695	-0.21496819	Yes	
row_18	KIF2C	2208	-76.17228698730469	-0.12384234	Yes	
row_19	SIRT1	2219	-87.10771179199219	0.0063232984	Yes	
