NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT5	77	53.90064239501953	-0.0036496012	No	
row_1	AKAP8	84	52.92867660522461	0.024830863	No	
row_2	NDC1	94	49.59221267700195	0.04995994	No	
row_3	CLASP1	188	36.51430892944336	0.02867719	No	
row_4	AGO4	192	35.5439567565918	0.048277184	No	
row_5	PRC1	195	35.19623947143555	0.068132535	No	
row_6	DDX3X	250	30.443496704101562	0.061230216	No	
row_7	LZTS2	279	28.682466506958008	0.0652644	No	
row_8	KLHL22	302	26.671676635742188	0.070875295	No	
row_9	NEK7	587	15.380173683166504	-0.05086097	No	
row_10	KAT2B	636	14.317447662353516	-0.064518906	No	
row_11	MAP10	789	11.042397499084473	-0.12801433	No	
row_12	SMARCD3	978	8.233649253845215	-0.20974998	No	
row_13	STAG3	1128	6.3563103675842285	-0.27462977	No	
row_14	DMC1	1515	-5.843360900878906	-0.44897863	No	
row_15	DYNLT3	1583	-7.355832576751709	-0.47549778	No	
row_16	CENPW	1638	-8.622353553771973	-0.49528128	No	
row_17	CENPU	1752	-13.052888870239258	-0.5396258	Yes	
row_18	PTTG1	1754	-13.08960247039795	-0.53235954	Yes	
row_19	PSMC3IP	1768	-13.57345199584961	-0.53033507	Yes	
row_20	UBE2C	1776	-13.911659240722656	-0.52534723	Yes	
row_21	ZWINT	1779	-13.957137107849121	-0.51802945	Yes	
row_22	CENPM	1806	-15.631635665893555	-0.52077806	Yes	
row_23	KIF15	1809	-15.736391067504883	-0.51241	Yes	
row_24	CEP55	1812	-15.867593765258789	-0.5039645	Yes	
row_25	KIF22	1835	-16.927169799804688	-0.5041058	Yes	
row_26	BUB1	1870	-18.570650100708008	-0.50880444	Yes	
row_27	CENPK	1888	-19.22389030456543	-0.50528693	Yes	
row_28	TOP1	1893	-19.507122039794922	-0.4956142	Yes	
row_29	BRCA1	1894	-19.52715492248535	-0.4840872	Yes	
row_30	NEK6	1905	-20.01072120666504	-0.47688088	Yes	
row_31	CEP97	1911	-20.289716720581055	-0.4672068	Yes	
row_32	MAPRE2	1923	-20.9261474609375	-0.45992076	Yes	
row_33	KNSTRN	1931	-21.192279815673828	-0.45063514	Yes	
row_34	UHRF1	1944	-22.126375198364258	-0.44310117	Yes	
row_35	HAUS5	1949	-22.457015991210938	-0.43168712	Yes	
row_36	NCAPG	1951	-22.605249404907227	-0.4188037	Yes	
row_37	ECT2	1953	-22.65511703491211	-0.40589085	Yes	
row_38	MND1	1954	-22.694101333618164	-0.39249435	Yes	
row_39	SPC24	1962	-23.05670166015625	-0.38210815	Yes	
row_40	KIF23	1973	-23.5863094329834	-0.37279114	Yes	
row_41	HJURP	1981	-23.9278564453125	-0.36189067	Yes	
row_42	CDC20	1984	-24.385446548461914	-0.348417	Yes	
row_43	CCNB1	1992	-24.959508895874023	-0.33690757	Yes	
row_44	CENPQ	1995	-25.09429931640625	-0.32301545	Yes	
row_45	RAD18	1997	-25.23932647705078	-0.30857712	Yes	
row_46	PINX1	2000	-25.39072608947754	-0.29451004	Yes	
row_47	AURKB	2013	-27.046825408935547	-0.2840715	Yes	
row_48	NCAPH	2014	-27.048917770385742	-0.26810434	Yes	
row_49	SASS6	2021	-27.668949127197266	-0.25453487	Yes	
row_50	CDCA8	2045	-30.451913833618164	-0.2471531	Yes	
row_51	AURKA	2056	-31.56000328063965	-0.23312919	Yes	
row_52	SMARCE1	2058	-31.657745361328125	-0.21490201	Yes	
row_53	NDEL1	2071	-32.59892654418945	-0.20118605	Yes	
row_54	MZT1	2085	-34.04442596435547	-0.1870774	Yes	
row_55	SPDL1	2096	-35.36600875854492	-0.17080678	Yes	
row_56	ZWILCH	2110	-36.67355728149414	-0.15514614	Yes	
row_57	ITGB3BP	2143	-42.03142547607422	-0.14507444	Yes	
row_58	NUF2	2148	-42.90642166137695	-0.12158895	Yes	
row_59	CENPH	2174	-49.50614547729492	-0.10388056	Yes	
row_60	ARL8B	2186	-56.39438247680664	-0.07565735	Yes	
row_61	KIF2C	2208	-76.17228698730469	-0.040365282	Yes	
row_62	SIRT1	2219	-87.10771179199219	0.0064488356	Yes	
