NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOP1MT	44	69.09305572509766	-0.0025847016	No	
row_1	MAPK3	46	67.41266632080078	0.014917283	No	
row_2	NUDT15	50	66.1883316040039	0.03113762	No	
row_3	KAT5	77	53.90064239501953	0.033096958	No	
row_4	TK2	107	47.16560363769531	0.031827338	No	
row_5	KPNA1	111	45.75014877319336	0.042596634	No	
row_6	SPIRE2	126	43.72304153442383	0.047572177	No	
row_7	RRM2B	215	33.335784912109375	0.014438286	No	
row_8	SMPD3	240	31.113298416137695	0.011275154	No	
row_9	PELI1	254	30.09187126159668	0.013092702	No	
row_10	CAMSAP3	271	29.09208869934082	0.013210935	No	
row_11	KDM1A	341	24.442291259765625	-0.013221384	No	
row_12	SRC	349	23.916019439697266	-0.01018566	No	
row_13	NFIB	379	22.21803855895996	-0.01810901	No	
row_14	POLD3	387	21.9735107421875	-0.015591369	No	
row_15	TP73	393	21.750377655029297	-0.0121781295	No	
row_16	TGFB1	420	20.842241287231445	-0.019035753	No	
row_17	EME2	445	19.58133888244629	-0.025274558	No	
row_18	PARP10	479	18.818296432495117	-0.03601487	No	
row_19	NYNRIN	484	18.66020393371582	-0.03294825	No	
row_20	ATRX	493	18.294097900390625	-0.031889495	No	
row_21	AKTIP	502	18.028947830200195	-0.03090146	No	
row_22	JMY	555	16.198989868164062	-0.051413905	No	
row_23	DNASE2	569	15.771819114685059	-0.053415637	No	
row_24	NEK7	587	15.380173683166504	-0.057432048	No	
row_25	BTG2	614	14.894859313964844	-0.06587589	No	
row_26	NUDT16L1	616	14.85086727142334	-0.06239259	No	
row_27	KAT2B	636	14.317447662353516	-0.06764755	No	
row_28	FGFR4	667	13.533926010131836	-0.07836457	No	
row_29	SETD7	671	13.5079345703125	-0.076194555	No	
row_30	NPPC	717	12.404463768005371	-0.094376154	No	
row_31	SAMHD1	719	12.402182579040527	-0.09154594	No	
row_32	HNRNPD	749	11.99870777130127	-0.10219487	No	
row_33	AXIN2	798	10.901034355163574	-0.12221011	No	
row_34	MC1R	823	10.549896240234375	-0.13085768	No	
row_35	FBXO6	849	10.099661827087402	-0.14010288	No	
row_36	SMARCD3	978	8.233649253845215	-0.19903393	No	
row_37	CBS	1012	7.881224155426025	-0.21269125	No	
row_38	PARP9	1036	7.513423919677734	-0.22167112	No	
