NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT5	77	53.90064239501953	0.01434836	No	
row_1	KPNA1	111	45.75014877319336	0.0413085	No	
row_2	PELI1	254	30.09187126159668	0.00408729	No	
row_3	KDM1A	341	24.442291259765625	-0.01274233	No	
row_4	TGFB1	420	20.842241287231445	-0.02922506	No	
row_5	EME2	445	19.58133888244629	-0.022197518	No	
row_6	SAMHD1	719	12.402182579040527	-0.1355168	No	
row_7	WAS	1289	4.745455265045166	-0.3910927	No	
row_8	BCL11B	1336	4.268632888793945	-0.40818483	No	
row_9	ZNF365	1465	-5.097355842590332	-0.4619755	No	
row_10	DMC1	1515	-5.843360900878906	-0.47899127	No	
row_11	IL7R	1701	-11.09823989868164	-0.5533076	Yes	
row_12	RAD54L	1709	-11.402409553527832	-0.5460288	Yes	
row_13	RAD51AP1	1737	-12.401618003845215	-0.5469685	Yes	
row_14	EME1	1749	-12.842201232910156	-0.54019415	Yes	
row_15	SFR1	1756	-13.162274360656738	-0.5308415	Yes	
row_16	ZGRF1	1762	-13.349390029907227	-0.5208602	Yes	
row_17	PSMC3IP	1768	-13.57345199584961	-0.510673	Yes	
row_18	GINS2	1803	-15.52128791809082	-0.5119441	Yes	
row_19	POLQ	1823	-16.320838928222656	-0.5056282	Yes	
row_20	EXO1	1826	-16.42659568786621	-0.49144903	Yes	
row_21	UCHL5	1837	-17.1102352142334	-0.4802963	Yes	
row_22	RBBP8	1849	-17.888973236083984	-0.46888494	Yes	
row_23	HMGB2	1855	-18.04302978515625	-0.45459104	Yes	
row_24	BRCA1	1894	-19.52715492248535	-0.4540089	Yes	
row_25	PAXIP1	1919	-20.678558349609375	-0.44597322	Yes	
row_26	ATAD5	1922	-20.90945053100586	-0.42767516	Yes	
row_27	XRCC4	1929	-21.121776580810547	-0.4110093	Yes	
row_28	UHRF1	1944	-22.126375198364258	-0.3970751	Yes	
row_29	CDC45	1950	-22.53217315673828	-0.37865654	Yes	
row_30	MND1	1954	-22.694101333618164	-0.35917553	Yes	
row_31	KIN	1990	-24.76252555847168	-0.3524126	Yes	
row_32	ABL1	2002	-25.50684928894043	-0.3340019	Yes	
row_33	SKP2	2015	-27.075199127197266	-0.314607	Yes	
row_34	NABP1	2039	-29.543779373168945	-0.29796907	Yes	
row_35	YEATS4	2061	-32.118560791015625	-0.27805176	Yes	
row_36	RAD51	2113	-36.964027404785156	-0.2673873	Yes	
row_37	MCM7	2121	-37.99013900756836	-0.23567952	Yes	
row_38	GINS4	2125	-38.33305740356445	-0.20182937	Yes	
row_39	UBE2N	2127	-38.95851135253906	-0.16649088	Yes	
row_40	FEN1	2128	-39.11402130126953	-0.13055268	Yes	
row_41	H2AX	2140	-40.64162826538086	-0.098236024	Yes	
row_42	EXOSC3	2145	-42.517032623291016	-0.060998432	Yes	
row_43	RFWD3	2158	-44.76905059814453	-0.025346309	Yes	
row_44	CHEK1	2199	-64.37883758544922	0.015532175	Yes	
