NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT5	77	53.90064239501953	-0.009641084	No	
row_1	SPIRE2	126	43.72304153442383	-0.010742046	No	
row_2	RRM2B	215	33.335784912109375	-0.03546776	No	
row_3	PELI1	254	30.09187126159668	-0.038532436	No	
row_4	KDM1A	341	24.442291259765625	-0.06664176	No	
row_5	POLD3	387	21.9735107421875	-0.076896295	No	
row_6	TP73	393	21.750377655029297	-0.06867168	No	
row_7	EME2	445	19.58133888244629	-0.082874425	No	
row_8	PARP10	479	18.818296432495117	-0.089082904	No	
row_9	ATRX	493	18.294097900390625	-0.08625191	No	
row_10	JMY	555	16.198989868164062	-0.10674179	No	
row_11	BTG2	614	14.894859313964844	-0.12647007	No	
row_12	NUDT16L1	616	14.85086727142334	-0.1197327	No	
row_13	KAT2B	636	14.317447662353516	-0.12161833	No	
row_14	SETD7	671	13.5079345703125	-0.1308668	No	
row_15	SAMHD1	719	12.402182579040527	-0.1466924	No	
row_16	AXIN2	798	10.901034355163574	-0.1776512	No	
row_17	MC1R	823	10.549896240234375	-0.18368734	No	
row_18	FBXO6	849	10.099661827087402	-0.19040653	No	
row_19	SMARCD3	978	8.233649253845215	-0.2458931	No	
row_20	PARP9	1036	7.513423919677734	-0.2687364	No	
row_21	H2AC25	1068	7.085916996002197	-0.27970523	No	
row_22	WAS	1289	4.745455265045166	-0.37963435	No	
row_23	ZNF365	1465	-5.097355842590332	-0.45848206	No	
row_24	DMC1	1515	-5.843360900878906	-0.47841778	No	
row_25	NEIL3	1679	-10.319270133972168	-0.54915684	No	
row_26	RAD54L	1709	-11.402409553527832	-0.557103	No	
row_27	DDX11	1724	-11.881246566772461	-0.55784667	Yes	
row_28	RAD51AP1	1737	-12.401618003845215	-0.5574086	Yes	
row_29	EME1	1749	-12.842201232910156	-0.5562922	Yes	
row_30	PTTG1	1754	-13.08960247039795	-0.551803	Yes	
row_31	SFR1	1756	-13.162274360656738	-0.5458845	Yes	
row_32	ZGRF1	1762	-13.349390029907227	-0.54173404	Yes	
row_33	GINS2	1803	-15.52128791809082	-0.5527942	Yes	
row_34	USP3	1810	-15.741384506225586	-0.5479484	Yes	
row_35	POLQ	1823	-16.320838928222656	-0.54560965	Yes	
row_36	EXO1	1826	-16.42659568786621	-0.5385728	Yes	
row_37	KIF22	1835	-16.927169799804688	-0.5340813	Yes	
row_38	UCHL5	1837	-17.1102352142334	-0.5262482	Yes	
row_39	RBBP8	1849	-17.888973236083984	-0.52268434	Yes	
row_40	HMGB2	1855	-18.04302978515625	-0.51625764	Yes	
row_41	CDCA5	1857	-18.079177856445312	-0.50795466	Yes	
row_42	UBE2T	1859	-18.112354278564453	-0.4996356	Yes	
row_43	RFC4	1863	-18.447935104370117	-0.4920832	Yes	
row_44	HMGA1	1885	-19.194854736328125	-0.49253282	Yes	
row_45	DCLRE1A	1891	-19.469961166381836	-0.48541412	Yes	
row_46	BRCA1	1894	-19.52715492248535	-0.47687364	Yes	
row_47	POLE2	1899	-19.84452247619629	-0.46910858	Yes	
row_48	PAXIP1	1919	-20.678558349609375	-0.46790934	Yes	
row_49	XRCC4	1929	-21.121776580810547	-0.46184832	Yes	
row_50	NPAS2	1934	-21.417701721191406	-0.45332035	Yes	
row_51	CLSPN	1937	-21.641185760498047	-0.4437546	Yes	
row_52	UHRF1	1944	-22.126375198364258	-0.43581235	Yes	
row_53	CDC45	1950	-22.53217315673828	-0.4272086	Yes	
row_54	TDP2	1969	-23.479516983032227	-0.42418632	Yes	
row_55	RRM1	1988	-24.706632614135742	-0.42056894	Yes	
row_56	KIN	1990	-24.76252555847168	-0.4090248	Yes	
row_57	RAD18	1997	-25.23932647705078	-0.39957288	Yes	
row_58	RAD1	2001	-25.451000213623047	-0.38862425	Yes	
row_59	ABL1	2002	-25.50684928894043	-0.3762545	Yes	
row_60	SUPT3H	2009	-26.922351837158203	-0.36598635	Yes	
row_61	SKP2	2015	-27.075199127197266	-0.35517943	Yes	
row_62	WDHD1	2017	-27.26921844482422	-0.34241965	Yes	
row_63	RFC3	2026	-28.163808822631836	-0.33247885	Yes	
row_64	ERCC8	2030	-28.443496704101562	-0.320079	Yes	
row_65	NABP1	2039	-29.543779373168945	-0.30946895	Yes	
row_66	SMARCE1	2058	-31.657745361328125	-0.30248055	Yes	
row_67	YEATS4	2061	-32.118560791015625	-0.28783375	Yes	
row_68	HMGA2	2079	-33.35729217529297	-0.27955648	Yes	
row_69	RAD51	2113	-36.964027404785156	-0.27696502	Yes	
row_70	RFC5	2114	-37.01982879638672	-0.25901192	Yes	
row_71	MCM7	2121	-37.99013900756836	-0.24337639	Yes	
row_72	HLTF	2124	-38.26850891113281	-0.22574711	Yes	
row_73	GINS4	2125	-38.33305740356445	-0.20715715	Yes	
row_74	UBE2N	2127	-38.95851135253906	-0.18872857	Yes	
row_75	FEN1	2128	-39.11402130126953	-0.16975988	Yes	
row_76	H2AX	2140	-40.64162826538086	-0.1551619	Yes	
row_77	RFWD3	2158	-44.76905059814453	-0.14135039	Yes	
row_78	CHEK1	2199	-64.37883758544922	-0.12871666	Yes	
row_79	SIRT1	2219	-87.10771179199219	-0.09530202	Yes	
row_80	CCDC117	2221	-91.86833953857422	-0.051214352	Yes	
row_81	FBXW7	2229	-116.14595031738281	0.0018588497	Yes	
