NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOP1MT	44	69.09305572509766	0.018784497	No	
row_1	RRM2B	215	33.335784912109375	-0.040647373	No	
row_2	CAMSAP3	271	29.09208869934082	-0.049530625	No	
row_3	NFIB	379	22.21803855895996	-0.08623926	No	
row_4	POLD3	387	21.9735107421875	-0.07704555	No	
row_5	EME2	445	19.58133888244629	-0.092223845	No	
row_6	PARP10	479	18.818296432495117	-0.096783586	No	
row_7	NYNRIN	484	18.66020393371582	-0.08808091	No	
row_8	ATRX	493	18.294097900390625	-0.081426725	No	
row_9	AKTIP	502	18.028947830200195	-0.074922375	No	
row_10	SAMHD1	719	12.402182579040527	-0.16736181	No	
row_11	ZNF365	1465	-5.097355842590332	-0.5074833	No	
row_12	S100A11	1631	-8.4778470993042	-0.5786596	No	
row_13	DDX11	1724	-11.881246566772461	-0.6143031	No	
row_14	GINS1	1746	-12.697366714477539	-0.61679673	No	
row_15	EME1	1749	-12.842201232910156	-0.6104608	No	
row_16	STN1	1787	-14.355851173400879	-0.6193838	Yes	
row_17	GINS2	1803	-15.52128791809082	-0.61751926	Yes	
row_18	POLQ	1823	-16.320838928222656	-0.61704457	Yes	
row_19	EXO1	1826	-16.42659568786621	-0.6086832	Yes	
row_20	UCHL5	1837	-17.1102352142334	-0.6036188	Yes	
row_21	RBBP8	1849	-17.888973236083984	-0.59857476	Yes	
row_22	RFC4	1863	-18.447935104370117	-0.5941357	Yes	
row_23	DBF4B	1877	-18.884918212890625	-0.5894497	Yes	
row_24	TOP1	1893	-19.507122039794922	-0.58533293	Yes	
row_25	BRCA1	1894	-19.52715492248535	-0.57429874	Yes	
row_26	POLE2	1899	-19.84452247619629	-0.5649268	Yes	
row_27	TIPIN	1900	-19.845184326171875	-0.5537129	Yes	
row_28	ORC6	1904	-19.900676727294922	-0.5438489	Yes	
row_29	ATAD5	1922	-20.90945053100586	-0.5398605	Yes	
row_30	POLA2	1924	-20.967914581298828	-0.5284726	Yes	
row_31	CDC45	1950	-22.53217315673828	-0.5272505	Yes	
row_32	AFG2A	1965	-23.221858978271484	-0.5205742	Yes	
row_33	RRM1	1988	-24.706632614135742	-0.51674217	Yes	
row_34	KIN	1990	-24.76252555847168	-0.50321007	Yes	
row_35	RAD18	1997	-25.23932647705078	-0.49171054	Yes	
row_36	EREG	2004	-25.798236846923828	-0.4798952	Yes	
row_37	RBMS1	2006	-26.448158264160156	-0.4654106	Yes	
row_38	WDHD1	2017	-27.26921844482422	-0.45460567	Yes	
row_39	PRIM2	2023	-27.80869483947754	-0.44119385	Yes	
row_40	DSCC1	2025	-28.123872756958008	-0.42576236	Yes	
row_41	RFC3	2026	-28.163808822631836	-0.40984786	Yes	
row_42	WEE1	2027	-28.181522369384766	-0.39392337	Yes	
row_43	DTL	2048	-30.972063064575195	-0.38563013	Yes	
row_44	DBF4	2074	-32.992549896240234	-0.37849718	Yes	
row_45	RAD51	2113	-36.964027404785156	-0.37510538	Yes	
row_46	RFC5	2114	-37.01982879638672	-0.35418662	Yes	
row_47	MCM7	2121	-37.99013900756836	-0.33548203	Yes	
row_48	HLTF	2124	-38.26850891113281	-0.31477848	Yes	
row_49	GINS4	2125	-38.33305740356445	-0.29311767	Yes	
row_50	OBI1	2126	-38.424373626708984	-0.27140528	Yes	
row_51	UBE2N	2127	-38.95851135253906	-0.24939103	Yes	
row_52	FEN1	2128	-39.11402130126953	-0.22728892	Yes	
row_53	GINS3	2133	-39.55302047729492	-0.20678037	Yes	
row_54	E2F7	2141	-40.64704513549805	-0.18703483	Yes	
row_55	MCM10	2147	-42.768218994140625	-0.16516986	Yes	
row_56	CDC25A	2156	-44.6638298034668	-0.14361498	Yes	
row_57	RFWD3	2158	-44.76905059814453	-0.1187778	Yes	
row_58	NOC3L	2184	-54.97606658935547	-0.09922267	Yes	
row_59	LRWD1	2188	-56.760772705078125	-0.06853015	Yes	
row_60	CHEK1	2199	-64.37883758544922	-0.036755737	Yes	
row_61	NAP1L1	2222	-91.9344711303711	0.005064643	Yes	
