NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRM2B	215	33.335784912109375	-0.06791009	No	
row_1	CAMSAP3	271	29.09208869934082	-0.06669624	No	
row_2	POLD3	387	21.9735107421875	-0.099276006	No	
row_3	EME2	445	19.58133888244629	-0.10757004	No	
row_4	NYNRIN	484	18.66020393371582	-0.10803267	No	
row_5	ATRX	493	18.294097900390625	-0.0951463	No	
row_6	SAMHD1	719	12.402182579040527	-0.1865363	No	
row_7	ZNF365	1465	-5.097355842590332	-0.52164656	No	
row_8	DDX11	1724	-11.881246566772461	-0.62855524	No	
row_9	GINS1	1746	-12.697366714477539	-0.6266552	No	
row_10	EME1	1749	-12.842201232910156	-0.6159603	No	
row_11	POLQ	1823	-16.320838928222656	-0.63449717	Yes	
row_12	EXO1	1826	-16.42659568786621	-0.6205627	Yes	
row_13	RBBP8	1849	-17.888973236083984	-0.6144264	Yes	
row_14	RFC4	1863	-18.447935104370117	-0.60368097	Yes	
row_15	DBF4B	1877	-18.884918212890625	-0.5925406	Yes	
row_16	BRCA1	1894	-19.52715492248535	-0.5821878	Yes	
row_17	POLE2	1899	-19.84452247619629	-0.5660761	Yes	
row_18	TIPIN	1900	-19.845184326171875	-0.54813987	Yes	
row_19	ORC6	1904	-19.900676727294922	-0.5315215	Yes	
row_20	ATAD5	1922	-20.90945053100586	-0.5203753	Yes	
row_21	POLA2	1924	-20.967914581298828	-0.50188035	Yes	
row_22	CDC45	1950	-22.53217315673828	-0.49291554	Yes	
row_23	RRM1	1988	-24.706632614135742	-0.48745736	Yes	
row_24	WDHD1	2017	-27.26921844482422	-0.47557914	Yes	
row_25	PRIM2	2023	-27.80869483947754	-0.45272544	Yes	
row_26	RFC3	2026	-28.163808822631836	-0.42818278	Yes	
row_27	DTL	2048	-30.972063064575195	-0.4097659	Yes	
row_28	DBF4	2074	-32.992549896240234	-0.3913469	Yes	
row_29	RAD51	2113	-36.964027404785156	-0.3752664	Yes	
row_30	RFC5	2114	-37.01982879638672	-0.34180763	Yes	
row_31	MCM7	2121	-37.99013900756836	-0.31020784	Yes	
row_32	HLTF	2124	-38.26850891113281	-0.27653247	Yes	
row_33	GINS4	2125	-38.33305740356445	-0.24188678	Yes	
row_34	FEN1	2128	-39.11402130126953	-0.20744723	Yes	
row_35	GINS3	2133	-39.55302047729492	-0.1735229	Yes	
row_36	E2F7	2141	-40.64704513549805	-0.13997778	Yes	
row_37	MCM10	2147	-42.768218994140625	-0.10360354	Yes	
row_38	RFWD3	2158	-44.76905059814453	-0.06770091	Yes	
row_39	NOC3L	2184	-54.97606658935547	-0.029413048	Yes	
row_40	LRWD1	2188	-56.760772705078125	0.020519763	Yes	
