NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT5	77	53.90064239501953	0.011469746	No	
row_1	SPIRE2	126	43.72304153442383	0.027379852	No	
row_2	PELI1	254	30.09187126159668	-0.0045960005	No	
row_3	KDM1A	341	24.442291259765625	-0.022730986	No	
row_4	EME2	445	19.58133888244629	-0.052838743	No	
row_5	NUDT16L1	616	14.85086727142334	-0.117647834	No	
row_6	SAMHD1	719	12.402182579040527	-0.1535116	No	
row_7	SMARCD3	978	8.233649253845215	-0.26424825	No	
row_8	PARP9	1036	7.513423919677734	-0.2837854	No	
row_9	WAS	1289	4.745455265045166	-0.39479977	No	
row_10	ZNF365	1465	-5.097355842590332	-0.4703337	No	
row_11	DMC1	1515	-5.843360900878906	-0.48766148	No	
row_12	RAD54L	1709	-11.402409553527832	-0.56596196	Yes	
row_13	DDX11	1724	-11.881246566772461	-0.56207556	Yes	
row_14	RAD51AP1	1737	-12.401618003845215	-0.55682516	Yes	
row_15	EME1	1749	-12.842201232910156	-0.5507366	Yes	
row_16	SFR1	1756	-13.162274360656738	-0.54208696	Yes	
row_17	ZGRF1	1762	-13.349390029907227	-0.53281856	Yes	
row_18	GINS2	1803	-15.52128791809082	-0.5376596	Yes	
row_19	POLQ	1823	-16.320838928222656	-0.5322153	Yes	
row_20	RBBP8	1849	-17.888973236083984	-0.5281549	Yes	
row_21	HMGB2	1855	-18.04302978515625	-0.5148246	Yes	
row_22	CDCA5	1857	-18.079177856445312	-0.49963576	Yes	
row_23	DCLRE1A	1891	-19.469961166381836	-0.4978618	Yes	
row_24	BRCA1	1894	-19.52715492248535	-0.48187667	Yes	
row_25	XRCC4	1929	-21.121776580810547	-0.4791301	Yes	
row_26	UHRF1	1944	-22.126375198364258	-0.46637753	Yes	
row_27	CDC45	1950	-22.53217315673828	-0.44916233	Yes	
row_28	TDP2	1969	-23.479516983032227	-0.43706608	Yes	
row_29	ABL1	2002	-25.50684928894043	-0.429611	Yes	
row_30	SKP2	2015	-27.075199127197266	-0.41166207	Yes	
row_31	ERCC8	2030	-28.443496704101562	-0.3934427	Yes	
row_32	NABP1	2039	-29.543779373168945	-0.37153012	Yes	
row_33	SMARCE1	2058	-31.657745361328125	-0.35235643	Yes	
row_34	YEATS4	2061	-32.118560791015625	-0.3254747	Yes	
row_35	HMGA2	2079	-33.35729217529297	-0.30437338	Yes	
row_36	RAD51	2113	-36.964027404785156	-0.2874601	Yes	
row_37	MCM7	2121	-37.99013900756836	-0.25778124	Yes	
row_38	GINS4	2125	-38.33305740356445	-0.22597829	Yes	
row_39	UBE2N	2127	-38.95851135253906	-0.19272041	Yes	
row_40	FEN1	2128	-39.11402130126953	-0.15887113	Yes	
row_41	H2AX	2140	-40.64162826538086	-0.12872499	Yes	
row_42	RFWD3	2158	-44.76905059814453	-0.097747944	Yes	
row_43	CHEK1	2199	-64.37883758544922	-0.060307678	Yes	
row_44	SIRT1	2219	-87.10771179199219	0.006395591	Yes	
