NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZDHHC20	0	244.0508270263672	0.04192875	Yes	
row_1	STEAP3	3	187.59165954589844	0.07316606	Yes	
row_2	SAR1B	5	174.04086303710938	0.10257107	Yes	
row_3	RAB15	11	130.50054931640625	0.12251257	Yes	
row_4	SCAMP1	12	128.4647216796875	0.14458324	Yes	
row_5	ZFAND6	21	103.48117065429688	0.15839536	Yes	
row_6	TIMM17B	37	74.70635986328125	0.16379339	Yes	
row_7	POM121C	45	68.21695709228516	0.17204279	Yes	
row_8	ICMT	47	66.89645385742188	0.18304002	Yes	
row_9	GOLGA4	54	62.38529586791992	0.19078332	Yes	
row_10	ATF2	60	59.67100143432617	0.19855607	Yes	
row_11	SEC63	63	59.311344146728516	0.20775437	Yes	
row_12	HPS6	64	58.56079864501953	0.21781532	Yes	
row_13	LMF1	65	58.49904251098633	0.22786565	Yes	
row_14	POM121	66	58.311431884765625	0.23788375	Yes	
row_15	CYB5R4	70	56.76536178588867	0.24614887	Yes	
row_16	LAMP2	72	55.772605895996094	0.25523502	Yes	
row_17	VPS8	73	55.37563705444336	0.26474872	Yes	
row_18	SEC24B	82	53.10873794555664	0.2699067	Yes	
row_19	SMAD2	83	52.99692916870117	0.27901176	Yes	
row_20	AKAP8	84	52.92867660522461	0.28810507	Yes	
row_21	ATP1B1	85	52.64725875854492	0.29715005	Yes	
row_22	NDC1	94	49.59221267700195	0.30170387	Yes	
row_23	KPNA1	111	45.75014877319336	0.30163133	Yes	
row_24	SNX27	118	45.16038131713867	0.30641532	Yes	
row_25	SEC24A	120	44.821136474609375	0.31361994	Yes	
row_26	CASK	123	44.538490295410156	0.32028025	Yes	
row_27	TMEM115	124	44.175758361816406	0.32786977	Yes	
row_28	SPIRE2	126	43.72304153442383	0.33488578	Yes	
row_29	UHMK1	127	43.614986419677734	0.34237897	Yes	
row_30	CNIH4	129	43.32367706298828	0.34932634	Yes	
row_31	BET1	132	42.69601821899414	0.35567006	Yes	
row_32	TMEM9	139	41.25278854370117	0.35978273	Yes	
row_33	YWHAH	142	41.03177261352539	0.36584055	Yes	
row_34	TCIRG1	144	40.49304962158203	0.3723016	Yes	
row_35	SGTA	153	39.66789245605469	0.37515038	Yes	
row_36	SPCS2	164	38.76979446411133	0.37685332	Yes	
row_37	ADRA2C	178	37.6933708190918	0.37688395	Yes	
row_38	SH3GLB1	185	36.83848571777344	0.3802382	Yes	
row_39	RAB26	194	35.293155670166016	0.3823354	Yes	
row_40	SURF4	231	32.11986541748047	0.37000543	Yes	
row_41	RAB3D	236	31.371337890625	0.37341198	Yes	
row_42	PIK3R2	245	30.8616943359375	0.37474784	Yes	
row_43	GOPC	253	30.216007232666016	0.37646854	Yes	
row_44	P3H1	257	30.009521484375	0.3801369	Yes	
row_45	NLGN2	261	29.708885192871094	0.38375366	Yes	
row_46	BLZF1	262	29.672876358032227	0.38885155	Yes	
row_47	LMTK2	266	29.309307098388672	0.39239964	Yes	
row_48	CAMSAP3	271	29.09208869934082	0.3954146	Yes	
row_49	IRS2	281	28.43000602722168	0.3958369	Yes	
row_50	TMEM132A	283	28.310590744018555	0.40020496	Yes	
row_51	YIF1A	300	26.73000717163086	0.39686468	Yes	
row_52	SNX33	306	26.6299991607666	0.3989609	Yes	
row_53	HYAL2	307	26.56301498413086	0.40352452	Yes	
row_54	RHOB	311	26.509048461914062	0.4065915	Yes	
row_55	RAB14	329	25.53462791442871	0.40255007	Yes	
row_56	VPS26C	330	25.440853118896484	0.40692088	Yes	
row_57	TAOK2	350	23.901887893676758	0.4016074	No	
row_58	TRPM4	353	23.84544563293457	0.40471253	No	
row_59	CPLX1	361	23.323162078857422	0.40524903	No	
row_60	IPO11	389	21.884700775146484	0.39562267	No	
row_61	LRP1	394	21.703807830810547	0.3973683	No	
row_62	CAMLG	398	21.64826774597168	0.3996002	No	
row_63	EXOC4	417	20.866657257080078	0.39426103	No	
row_64	TRIM3	419	20.844846725463867	0.39734647	No	
row_65	TGFB1	420	20.842241287231445	0.40092722	No	
