NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HS6ST1	4	177.1509552001953	0.18172538	Yes	
row_1	MOGS	6	165.59901428222656	0.35284504	Yes	
row_2	CHPF	32	79.00282287597656	0.4233399	Yes	
row_3	LMF1	65	58.49904251098633	0.4694108	Yes	
row_4	PXYLP1	105	47.47403335571289	0.5008785	Yes	
row_5	TM9SF2	162	38.975093841552734	0.5158169	Yes	
row_6	B4GAT1	193	35.46885299682617	0.53893536	Yes	
row_7	POGLUT2	244	30.877079010009766	0.54820955	Yes	
row_8	CHST12	260	29.790279388427734	0.5722596	Yes	
row_9	FUT2	322	25.901119232177734	0.5713806	Yes	
row_10	CHST15	409	21.293781280517578	0.5543695	Yes	
row_11	SLC35D1	455	19.37779426574707	0.5540012	Yes	
row_12	ABCA2	495	18.22405433654785	0.5551636	Yes	
row_13	SRD5A3	530	16.986841201782227	0.5573158	Yes	
row_14	SLC2A10	588	15.37912368774414	0.54735255	Yes	
row_15	POGLUT1	597	15.255857467651367	0.5595241	Yes	
row_16	XYLT2	611	14.946672439575195	0.56910366	Yes	
row_17	TMTC4	615	14.881083488464355	0.5831587	Yes	
row_18	POGLUT3	620	14.75581169128418	0.59662956	Yes	
row_19	NECAB3	807	10.772126197814941	0.5232833	No	
row_20	MGAT3	820	10.601455688476562	0.5288152	No	
row_21	B3GNT7	983	8.163005828857422	0.4636698	No	
row_22	B3GNT4	1197	5.494980335235596	0.37258887	No	
row_23	MAN1C1	1202	5.435284614562988	0.3764029	No	
row_24	LARGE1	1238	5.194664001464844	0.36588314	No	
row_25	JAK3	1260	5.0349907875061035	0.36155868	No	
row_26	FUT9	1522	-5.983757972717285	0.24917588	No	
row_27	HBEGF	1535	-6.292417049407959	0.25024325	No	
row_28	ST8SIA4	1574	-7.131669044494629	0.24036737	No	
row_29	GALNT3	1683	-10.572609901428223	0.20225285	No	
row_30	TET1	1751	-13.025195121765137	0.1853073	No	
row_31	FUT4	1778	-13.950770378112793	0.18794861	No	
row_32	EXTL2	1845	-17.683198928833008	0.17628346	No	
