NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HS6ST1	4	177.1509552001953	0.1421197	Yes	
row_1	MOGS	6	165.59901428222656	0.27622375	Yes	
row_2	CHPF	32	79.00282287597656	0.32899323	Yes	
row_3	LMF1	65	58.49904251098633	0.36190268	Yes	
row_4	PXYLP1	105	47.47403335571289	0.38265422	Yes	
row_5	TM9SF2	162	38.975093841552734	0.38873014	Yes	
row_6	B4GAT1	193	35.46885299682617	0.40383998	Yes	
row_7	FBXO44	230	32.32672119140625	0.41365436	Yes	
row_8	NAGLU	239	31.19504737854004	0.43534628	Yes	
row_9	POGLUT2	244	30.877079010009766	0.45860794	Yes	
row_10	CHST12	260	29.790279388427734	0.47595912	Yes	
row_11	FBXO2	277	28.760900497436523	0.4920168	Yes	
row_12	FUT2	322	25.901119232177734	0.49295363	Yes	
row_13	RNF103	407	21.36093521118164	0.4719197	Yes	
row_14	CHST15	409	21.293781280517578	0.48876536	Yes	
row_15	SLC35D1	455	19.37779426574707	0.48394448	Yes	
row_16	GNS	473	18.898174285888672	0.49153095	Yes	
row_17	ABCA2	495	18.22405433654785	0.4967415	Yes	
row_18	SRD5A3	530	16.986841201782227	0.49500522	Yes	
row_19	SLC2A10	588	15.37912368774414	0.48145068	Yes	
row_20	POGLUT1	597	15.255857467651367	0.49019083	Yes	
row_21	XYLT2	611	14.946672439575195	0.4963946	Yes	
row_22	TMTC4	615	14.881083488464355	0.5071154	Yes	
row_23	POGLUT3	620	14.75581169128418	0.5172774	Yes	
row_24	NECAB3	807	10.772126197814941	0.4410214	No	
row_25	MGAT3	820	10.601455688476562	0.44415137	No	
row_26	FBXO6	849	10.099661827087402	0.439561	No	
row_27	HYAL1	911	9.2686128616333	0.4192131	No	
row_28	B3GNT7	983	8.163005828857422	0.39339638	No	
row_29	GPC1	1114	6.508355617523193	0.3392699	No	
row_30	B3GNT4	1197	5.494980335235596	0.3062578	No	
row_31	MAN1C1	1202	5.435284614562988	0.3088462	No	
row_32	LARGE1	1238	5.194664001464844	0.29707092	No	
row_33	SULF2	1255	5.066616058349609	0.29387528	No	
row_34	JAK3	1260	5.0349907875061035	0.2961384	No	
row_35	ADAMTS12	1392	-4.123161315917969	0.23961675	No	
row_36	FUT9	1522	-5.983757972717285	0.18552104	No	
row_37	HBEGF	1535	-6.292417049407959	0.18514961	No	
row_38	ST8SIA4	1574	-7.131669044494629	0.17357714	No	
row_39	GALNT3	1683	-10.572609901428223	0.132808	No	
row_40	TET1	1751	-13.025195121765137	0.11277033	No	
row_41	FUT4	1778	-13.950770378112793	0.112223335	No	
row_42	EXTL2	1845	-17.683198928833008	0.096427664	No	
row_43	PTX3	1927	-21.073022842407227	0.076530896	No	
row_44	EDEM1	2047	-30.963903427124023	0.047303714	No	
row_45	RAB1A	2161	-45.8400764465332	0.032906722	No	
