NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANO10	16	114.5050048828125	0.29567504	Yes	
row_1	SLC26A6	91	51.009033203125	0.39725438	Yes	
row_2	APOL1	141	41.044654846191406	0.48374254	Yes	
row_3	GOPC	253	30.216007232666016	0.51364654	Yes	
row_4	CLIC4	327	25.650028228759766	0.54859763	Yes	
row_5	LRRC8E	382	22.103565216064453	0.58273005	Yes	
row_6	CLIC3	433	20.26841163635254	0.61381084	Yes	
row_7	KCNQ1	498	18.126314163208008	0.6329163	Yes	
row_8	ANO9	514	17.497264862060547	0.67243975	Yes	
row_9	ANO8	864	9.820645332336426	0.54113895	No	
row_10	GABRB3	1301	4.625999927520752	0.35689062	No	
row_11	GABRD	1334	4.277694225311279	0.35378495	No	
row_12	SLC17A7	1377	3.994936227798462	0.3454248	No	
row_13	BEST3	1530	-6.179993629455566	0.29327264	No	
row_14	SLC4A5	1639	-8.72760009765625	0.26768807	No	
