NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATF2	60	59.67100143432617	0.013322468	No	
row_1	KANK2	67	58.12285614013672	0.050366893	No	
row_2	MUC1	218	33.199607849121094	0.004260471	No	
row_3	CAMSAP3	271	29.09208869934082	3.162996E-4	No	
row_4	KLHL22	302	26.671676635742188	0.0048111933	No	
row_5	TAOK2	350	23.901887893676758	-3.9219102E-4	No	
row_6	EME2	445	19.58133888244629	-0.030123476	No	
row_7	FOXN3	474	18.885528564453125	-0.030042075	No	
row_8	ATRX	493	18.294097900390625	-0.025776379	No	
row_9	DAB2IP	512	17.581512451171875	-0.021998605	No	
row_10	KAT2B	636	14.317447662353516	-0.06864305	No	
row_11	FOXO4	643	14.2255220413208	-0.06165608	No	
row_12	PPP2R5B	721	12.369054794311523	-0.08852403	No	
row_13	BRSK1	799	10.88166618347168	-0.11641043	No	
row_14	FBXO6	849	10.099661827087402	-0.13198234	No	
row_15	BMP7	991	8.101593971252441	-0.19114359	No	
row_16	PARP9	1036	7.513423919677734	-0.20619173	No	
row_17	FBXO43	1401	-4.251436233520508	-0.3703298	No	
row_18	DYNLT3	1583	-7.355832576751709	-0.4483587	No	
row_19	FBXO4	1610	-7.8034234046936035	-0.45494762	No	
row_20	EME1	1749	-12.842201232910156	-0.5094861	No	
row_21	LIF	1757	-13.165255546569824	-0.50368404	No	
row_22	ZWINT	1779	-13.957137107849121	-0.50376475	No	
row_23	RBBP8	1849	-17.888973236083984	-0.5231817	Yes	
row_24	WDR76	1851	-17.965126037597656	-0.5113395	Yes	
row_25	RFC4	1863	-18.447935104370117	-0.503756	Yes	
row_26	BUB1	1870	-18.570650100708008	-0.4937938	Yes	
row_27	BRCA1	1894	-19.52715492248535	-0.49097842	Yes	
row_28	TIPIN	1900	-19.845184326171875	-0.47968462	Yes	
row_29	CLSPN	1937	-21.641185760498047	-0.48138776	Yes	
row_30	CDC45	1950	-22.53217315673828	-0.4714666	Yes	
row_31	SPC24	1962	-23.05670166015625	-0.46072736	Yes	
row_32	CDC20	1984	-24.385446548461914	-0.45366758	Yes	
row_33	CCNB1	1992	-24.959508895874023	-0.43978974	Yes	
row_34	PINX1	2000	-25.39072608947754	-0.42561665	Yes	
row_35	RAD1	2001	-25.451000213623047	-0.4081898	Yes	
row_36	AURKB	2013	-27.046825408935547	-0.39471844	Yes	
row_37	RFC3	2026	-28.163808822631836	-0.38094118	Yes	
row_38	WEE1	2027	-28.181522369384766	-0.36164466	Yes	
row_39	EZH2	2035	-29.100849151611328	-0.34493116	Yes	
row_40	NABP1	2039	-29.543779373168945	-0.32607868	Yes	
row_41	CDCA8	2045	-30.451913833618164	-0.30752224	Yes	
row_42	DTL	2048	-30.972063064575195	-0.28723282	Yes	
row_43	DBF4	2074	-32.992549896240234	-0.27611527	Yes	
row_44	SPDL1	2096	-35.36600875854492	-0.26153684	Yes	
row_45	CCND1	2102	-35.97298812866211	-0.23919998	Yes	
row_46	ZWILCH	2110	-36.67355728149414	-0.21730128	Yes	
row_47	RAD51	2113	-36.964027404785156	-0.19290906	Yes	
row_48	RFC5	2114	-37.01982879638672	-0.16756079	Yes	
row_49	H2AX	2140	-40.64162826538086	-0.15120573	Yes	
row_50	E2F7	2141	-40.64704513549805	-0.123373814	Yes	
row_51	NUF2	2148	-42.90642166137695	-0.09674841	Yes	
row_52	RFWD3	2158	-44.76905059814453	-0.070224404	Yes	
row_53	CHEK1	2199	-64.37883758544922	-0.044499855	Yes	
row_54	SIRT1	2219	-87.10771179199219	0.0064250925	Yes	
