NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KANK2	67	58.12285614013672	0.03477444	No	
row_1	MUC1	218	33.199607849121094	0.0039203893	No	
row_2	KLHL22	302	26.671676635742188	-0.003841971	No	
row_3	TAOK2	350	23.901887893676758	0.0016305747	No	
row_4	FOXN3	474	18.885528564453125	-0.033021376	No	
row_5	FOXO4	643	14.2255220413208	-0.093326434	No	
row_6	BRSK1	799	10.88166618347168	-0.15148073	No	
row_7	DYNLT3	1583	-7.355832576751709	-0.49865526	No	
row_8	ZWINT	1779	-13.957137107849121	-0.57151735	No	
row_9	RBBP8	1849	-17.888973236083984	-0.58277494	Yes	
row_10	BUB1	1870	-18.570650100708008	-0.5710256	Yes	
row_11	BRCA1	1894	-19.52715492248535	-0.5595653	Yes	
row_12	CLSPN	1937	-21.641185760498047	-0.5543586	Yes	
row_13	SPC24	1962	-23.05670166015625	-0.53939366	Yes	
row_14	CDC20	1984	-24.385446548461914	-0.5215767	Yes	
row_15	CCNB1	1992	-24.959508895874023	-0.49676093	Yes	
row_16	PINX1	2000	-25.39072608947754	-0.4714615	Yes	
row_17	AURKB	2013	-27.046825408935547	-0.44657436	Yes	
row_18	WEE1	2027	-28.181522369384766	-0.4208685	Yes	
row_19	EZH2	2035	-29.100849151611328	-0.391408	Yes	
row_20	NABP1	2039	-29.543779373168945	-0.35963506	Yes	
row_21	CDCA8	2045	-30.451913833618164	-0.32775143	Yes	
row_22	DTL	2048	-30.972063064575195	-0.29392266	Yes	
row_23	DBF4	2074	-32.992549896240234	-0.26826814	Yes	
row_24	SPDL1	2096	-35.36600875854492	-0.23813595	Yes	
row_25	CCND1	2102	-35.97298812866211	-0.20006017	Yes	
row_26	ZWILCH	2110	-36.67355728149414	-0.16210654	Yes	
row_27	E2F7	2141	-40.64704513549805	-0.13013677	Yes	
row_28	NUF2	2148	-42.90642166137695	-0.08473877	Yes	
row_29	RFWD3	2158	-44.76905059814453	-0.038613513	Yes	
row_30	CHEK1	2199	-64.37883758544922	0.015433318	Yes	
