NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POM121C	45	68.21695709228516	0.07481532	Yes	
row_1	POM121	66	58.311431884765625	0.14712629	Yes	
row_2	G3BP2	74	54.609031677246094	0.22015615	Yes	
row_3	NDC1	94	49.59221267700195	0.28075346	Yes	
row_4	RBM15B	101	48.090755462646484	0.34514073	Yes	
row_5	SLC25A4	104	47.50180435180664	0.41051698	Yes	
row_6	SLC29A3	108	47.07493209838867	0.4748449	Yes	
row_7	SLC25A23	174	37.930423736572266	0.49834603	Yes	
row_8	CASC3	208	33.98467254638672	0.53082764	Yes	
row_9	SLC29A4	227	32.63773727416992	0.56822026	Yes	
row_10	LRRC8E	382	22.103565216064453	0.52934766	No	
row_11	SLC35D1	455	19.37779426574707	0.5237925	No	
row_12	ABCD1	516	17.389816284179688	0.5208958	No	
row_13	QKI	526	17.034164428710938	0.54059017	No	
row_14	ABCC4	558	16.17720603942871	0.5491295	No	
row_15	MVP	825	10.48954963684082	0.44334963	No	
row_16	ARC	842	10.170943260192871	0.45029855	No	
row_17	SIDT2	934	8.876265525817871	0.42148894	No	
row_18	MX2	1187	5.617465496063232	0.31524852	No	
row_19	RFTN1	1474	-5.191365718841553	0.19302192	No	
row_20	SLC25A19	1613	-7.97939395904541	0.14168426	No	
row_21	TGFBR2	1745	-12.621641159057617	0.09999302	No	
row_22	NUP35	1820	-16.210351943969727	0.08911282	No	
row_23	CKAP5	2060	-31.805416107177734	0.025298746	No	
row_24	FYTTD1	2118	-37.671173095703125	0.052059684	No	
