NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PANK3	15	116.8896484375	0.044756133	Yes	
row_1	ADCY9	18	109.48397827148438	0.09227078	Yes	
row_2	UGP2	19	106.5309066772461	0.13940729	Yes	
row_3	NDUFA5	27	84.12743377685547	0.17338121	Yes	
row_4	ICMT	47	66.89645385742188	0.19415995	Yes	
row_5	NUDT15	50	66.1883316040039	0.22251767	Yes	
row_6	RPTOR	68	57.78310775756836	0.24019255	Yes	
row_7	ELOVL7	76	54.01020431518555	0.26084056	Yes	
row_8	ATP1B1	85	52.64725875854492	0.28042126	Yes	
row_9	SUCLG1	88	51.10478591918945	0.30210498	Yes	
row_10	NANP	89	51.049686431884766	0.32469285	Yes	
row_11	UCK1	90	51.01986312866211	0.34726748	Yes	
row_12	TK2	107	47.16560363769531	0.3607087	Yes	
row_13	PPARA	113	45.532501220703125	0.37853414	Yes	
row_14	CASK	123	44.538490295410156	0.3940627	Yes	
row_15	FAR1	137	42.28922653198242	0.40673906	Yes	
row_16	FASN	148	40.129920959472656	0.41985273	Yes	
row_17	PDPR	175	37.835693359375	0.42452323	Yes	
row_18	DHTKD1	183	37.114559173583984	0.43769547	Yes	
row_19	RRM2B	215	33.335784912109375	0.43805367	Yes	
row_20	INSR	246	30.753944396972656	0.4377337	Yes	
row_21	PDE4A	267	29.287887573242188	0.44140762	Yes	
row_22	AMPD2	287	27.90520668029785	0.44493398	Yes	
row_23	ENTPD8	325	25.782461166381836	0.43916455	Yes	
row_24	AASS	331	25.368247985839844	0.44806793	Yes	
row_25	GALK1	335	24.781787872314453	0.45764032	Yes	
row_26	KDM1A	341	24.442291259765625	0.46613398	Yes	
row_27	TGFB1	420	20.842241287231445	0.4391443	No	
row_28	ABCD1	516	17.389816284179688	0.40273476	No	
row_29	UCKL1	517	17.36623764038086	0.41041875	No	
row_30	SLC2A6	564	16.005599975585938	0.3961451	No	
row_31	ALDH6A1	580	15.59848403930664	0.39608315	No	
row_32	ACSF2	589	15.35287857055664	0.39916226	No	
row_33	ACSS2	604	15.062939643859863	0.3993276	No	
row_34	CPS1	645	14.192963600158691	0.38703743	No	
row_35	PFKFB4	696	12.726579666137695	0.3694559	No	
row_36	NPPC	717	12.404463768005371	0.36565945	No	
row_37	SAMHD1	719	12.402182579040527	0.37068275	No	
row_38	ALDOC	744	12.094337463378906	0.36489207	No	
row_39	ATP6V1B1	824	10.527620315551758	0.33287424	No	
row_40	ACSL1	861	9.84988021850586	0.3205194	No	
row_41	PINK1	886	9.536627769470215	0.313597	No	
row_42	QPRT	917	9.12490177154541	0.30370688	No	
row_43	OGDHL	927	8.980867385864258	0.30350235	No	
row_44	PDE5A	948	8.67955493927002	0.29805773	No	
row_45	NUDT18	993	8.080061912536621	0.2812058	No	
row_46	NPR1	1007	7.90733528137207	0.27866927	No	
row_47	ENTPD2	1074	6.990439414978027	0.25112164	No	
row_48	NMNAT2	1091	6.78944206237793	0.2466977	No	
row_49	SIRT4	1109	6.530491352081299	0.24169494	No	
row_50	SARM1	1171	5.765925407409668	0.21592677	No	
row_51	ADCY5	1266	4.982063293457031	0.17449144	No	
row_52	SULT2B1	1268	4.971222400665283	0.1762268	No	
row_53	DGAT2	1315	4.472164630889893	0.15684997	No	
row_54	MLXIPL	1322	4.410616874694824	0.156016	No	
row_55	TYMP	1348	4.169094085693359	0.14625438	No	
row_56	DPYSL3	1416	-4.397582530975342	0.11709525	No	
row_57	HKDC1	1483	-5.268181324005127	0.08878558	No	
row_58	KYNU	1534	-6.286141872406006	0.06835437	No	
row_59	ALDH1L2	1559	-6.7995805740356445	0.06022091	No	
row_60	EPHA2	1673	-9.921356201171875	0.012150251	No	
row_61	FAR2	1678	-10.23709774017334	0.014822829	No	
row_62	AK5	1681	-10.435074806213379	0.01851151	No	
row_63	UPP1	1697	-11.061650276184082	0.016442146	No	
row_64	AADAT	1702	-11.105502128601074	0.019498965	No	
row_65	PRTFDC1	1805	-15.594195365905762	-0.020954862	No	
row_66	NDUFV2	1814	-15.976442337036133	-0.01759982	No	
row_67	EXTL2	1845	-17.683198928833008	-0.023703149	No	
row_68	ADCY7	1887	-19.211275100708008	-0.034237128	No	
row_69	GPD2	1889	-19.299875259399414	-0.026161805	No	
row_70	TBPL1	1902	-19.859683990478516	-0.022945562	No	
row_71	AMPD3	1926	-21.01054573059082	-0.02432688	No	
row_72	AK2	1939	-21.673175811767578	-0.020308224	No	
row_73	RRM1	1988	-24.706632614135742	-0.031660452	No	
row_74	SDHC	2065	-32.25434875488281	-0.052672133	No	
row_75	ALDOA	2093	-34.927223205566406	-0.049752776	No	
row_76	MAPDA	2115	-37.08732604980469	-0.043092124	No	
row_77	PRKAA1	2169	-47.88152313232422	-0.04651147	No	
row_78	RPIA	2214	-84.96630859375	-0.029343719	No	
row_79	NT5E	2215	-85.20439147949219	0.008356492	No	
