NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PANK3	15	116.8896484375	0.10323739	Yes	
row_1	ADCY9	18	109.48397827148438	0.20541367	Yes	
row_2	NDUFA5	27	84.12743377685547	0.28098673	Yes	
row_3	ELOVL7	76	54.01020431518555	0.3100125	Yes	
row_4	NANP	89	51.049686431884766	0.35262182	Yes	
row_5	UCK1	90	51.01986312866211	0.40066013	Yes	
row_6	TK2	107	47.16560363769531	0.43779337	Yes	
row_7	PPARA	113	45.532501220703125	0.4783912	Yes	
row_8	FASN	148	40.129920959472656	0.50071436	Yes	
row_9	PDPR	175	37.835693359375	0.5245154	Yes	
row_10	RRM2B	215	33.335784912109375	0.5381677	Yes	
row_11	AMPD2	287	27.90520668029785	0.5321548	Yes	
row_12	ENTPD8	325	25.782461166381836	0.5396047	Yes	
row_13	TGFB1	420	20.842241287231445	0.51648223	No	
row_14	UCKL1	517	17.36623764038086	0.48917738	No	
row_15	ACSS2	604	15.062939643859863	0.46425137	No	
row_16	NPPC	717	12.404463768005371	0.42499867	No	
row_17	ACSL1	861	9.84988021850586	0.36924338	No	
row_18	PINK1	886	9.536627769470215	0.36730865	No	
row_19	QPRT	917	9.12490177154541	0.36225772	No	
row_20	NPR1	1007	7.90733528137207	0.32923	No	
row_21	NMNAT2	1091	6.78944206237793	0.29787827	No	
row_22	SIRT4	1109	6.530491352081299	0.29629633	No	
row_23	ADCY5	1266	4.982063293457031	0.2300459	No	
row_24	KYNU	1534	-6.286141872406006	0.11454586	No	
row_25	AK5	1681	-10.435074806213379	0.057977296	No	
row_26	UPP1	1697	-11.061650276184082	0.061571226	No	
row_27	NDUFV2	1814	-15.976442337036133	0.023862762	No	
row_28	ADCY7	1887	-19.211275100708008	0.009209185	No	
row_29	TBPL1	1902	-19.859683990478516	0.02154175	No	
row_30	AMPD3	1926	-21.01054573059082	0.03086515	No	
row_31	AK2	1939	-21.673175811767578	0.04581473	No	
row_32	RRM1	1988	-24.706632614135742	0.047249414	No	
row_33	SDHC	2065	-32.25434875488281	0.043057673	No	
row_34	ALDOA	2093	-34.927223205566406	0.063665465	No	
