NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HS6ST1	4	177.1509552001953	0.28805572	Yes	
row_1	CHPF	32	79.00282287597656	0.40512857	Yes	
row_2	PXYLP1	105	47.47403335571289	0.4502874	Yes	
row_3	TM9SF2	162	38.975093841552734	0.48876664	Yes	
row_4	B4GAT1	193	35.46885299682617	0.53325224	Yes	
row_5	POGLUT2	244	30.877079010009766	0.56119114	Yes	
row_6	CHST12	260	29.790279388427734	0.60316026	Yes	
row_7	CHST15	409	21.293781280517578	0.5711548	Yes	
row_8	SLC35D1	455	19.37779426574707	0.5825364	Yes	
row_9	POGLUT1	597	15.255857467651367	0.5438131	Yes	
row_10	XYLT2	611	14.946672439575195	0.5623978	Yes	
row_11	TMTC4	615	14.881083488464355	0.5853919	Yes	
row_12	POGLUT3	620	14.75581169128418	0.6077293	Yes	
row_13	B3GNT4	1197	5.494980335235596	0.35655785	No	
row_14	LARGE1	1238	5.194664001464844	0.34699076	No	
row_15	FUT9	1522	-5.983757972717285	0.22895871	No	
row_16	GALNT3	1683	-10.572609901428223	0.1739907	No	
row_17	TET1	1751	-13.025195121765137	0.16504113	No	
row_18	FUT4	1778	-13.950770378112793	0.17612457	No	
row_19	EXTL2	1845	-17.683198928833008	0.17524832	No	
