NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZDHHC20	0	244.0508270263672	0.20834354	Yes	
row_1	ZFAND6	21	103.48117065429688	0.2875975	Yes	
row_2	TIMM17B	37	74.70635986328125	0.34455845	Yes	
row_3	ICMT	47	66.89645385742188	0.39757815	Yes	
row_4	SEC63	63	59.311344146728516	0.44139653	Yes	
row_5	LAMP2	72	55.772605895996094	0.48537427	Yes	
row_6	VPS8	73	55.37563705444336	0.53264785	Yes	
row_7	SGTA	153	39.66789245605469	0.53061914	Yes	
row_8	SPCS2	164	38.76979446411133	0.5591731	Yes	
row_9	SH3GLB1	185	36.83848571777344	0.5815349	Yes	
row_10	TAOK2	350	23.901887893676758	0.52742815	No	
row_11	ZDHHC1	434	20.23307991027832	0.50699073	No	
row_12	ERBB2	596	15.259716033935547	0.44686922	No	
row_13	CLU	848	10.107771873474121	0.34145907	No	
row_14	PINK1	886	9.536627769470215	0.33278984	No	
row_15	NAGPA	887	9.52763843536377	0.3409235	No	
row_16	VPS37D	910	9.291353225708008	0.33885995	No	
row_17	SYNGR1	929	8.968541145324707	0.3383382	No	
row_18	RHOU	1042	7.464715480804443	0.29382476	No	
row_19	HAP1	1065	7.098012924194336	0.28988883	No	
row_20	KCNB1	1078	6.955301761627197	0.29037443	No	
row_21	GDAP1	1174	5.7095232009887695	0.25208637	No	
row_22	SNAP25-AS1	1210	5.396686553955078	0.2407916	No	
row_23	LARGE1	1238	5.194664001464844	0.23295908	No	
row_24	ZDHHC22	1285	4.792647838592529	0.21615092	No	
row_25	ZDHHC11B	1355	4.112887859344482	0.18831266	No	
row_26	CEMIP	1453	-4.91434383392334	0.14843711	No	
row_27	RAC2	1652	-9.242128372192383	0.0663679	No	
row_28	ABLIM3	1727	-12.047369956970215	0.04303153	No	
row_29	PEX5	1940	-21.769712448120117	-0.03470376	No	
row_30	EDEM1	2047	-30.963903427124023	-0.05643014	No	
row_31	PRKAA1	2169	-47.88152313232422	-0.070529215	No	
row_32	FBXW7	2229	-116.14595031738281	0.0018173213	No	
