NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BTRC	20	105.81743621826172	0.108280554	Yes	
row_1	KPNA1	111	45.75014877319336	0.11798203	Yes	
row_2	SBNO1	133	42.597843170166016	0.15566413	Yes	
row_3	TMEM9	139	41.25278854370117	0.19915316	Yes	
row_4	CCDC88C	165	38.73911666870117	0.23072916	Yes	
row_5	KREMEN1	184	37.00068664550781	0.2635698	Yes	
row_6	LRRK1	198	34.83466339111328	0.29628828	Yes	
row_7	TMEM170B	203	34.26054763793945	0.3324756	Yes	
row_8	FOXO3	229	32.38707733154297	0.35700402	Yes	
row_9	DDX3X	250	30.443496704101562	0.38165703	Yes	
row_10	LZTS2	279	28.682466506958008	0.40070656	Yes	
row_11	LIMD1	309	26.528257369995117	0.41690978	Yes	
row_12	SRC	349	23.916019439697266	0.42565268	Yes	
row_13	TRPM4	353	23.84544563293457	0.45074064	Yes	
row_14	RBPJ	405	21.4736270904541	0.45129925	Yes	
row_15	TGFB1	420	20.842241287231445	0.4680369	Yes	
row_16	WNK2	423	20.783733367919922	0.49018407	Yes	
row_17	TLE2	461	19.262086868286133	0.49467582	Yes	
row_18	CDK14	487	18.56593132019043	0.50386965	Yes	
row_19	DAB2IP	512	17.581512451171875	0.51242745	Yes	
row_20	APC2	687	13.145054817199707	0.44763237	No	
row_21	PTK7	716	12.417386054992676	0.44863576	No	
row_22	TMEM198	720	12.373394966125488	0.46099544	No	
row_23	AXIN2	798	10.901034355163574	0.4379624	No	
row_24	EDA	1115	6.496750831604004	0.30101	No	
row_25	ADGRA2	1149	6.0603766441345215	0.29267925	No	
row_26	WNT11	1159	5.925323963165283	0.29514757	No	
row_27	WNT5B	1230	5.267599582672119	0.2690577	No	
row_28	SULF2	1255	5.066616058349609	0.2637302	No	
row_29	FGFR2	1288	4.747315406799316	0.25439882	No	
row_30	NOTCH1	1298	4.672615051269531	0.25547725	No	
row_31	WNT5A	1378	3.99483323097229	0.22386937	No	
row_32	LGR5	1410	-4.3287272453308105	0.21452977	No	
row_33	BICC1	1419	-4.410854339599609	0.21577398	No	
row_34	EGR1	1445	-4.7380218505859375	0.20962572	No	
row_35	SCEL	1491	-5.477058410644531	0.19517332	No	
row_36	CAV1	1636	-8.576523780822754	0.13899557	No	
row_37	NOG	1657	-9.33410930633545	0.14022769	No	
row_38	GNAQ	1661	-9.601024627685547	0.14951143	No	
row_39	CCNYL1	1868	-18.515987396240234	0.07607685	No	
row_40	DKK1	2081	-33.68926239013672	0.01673982	No	
row_41	ADNP	2168	-47.000404357910156	0.029653277	No	
