NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRM2B	215	33.335784912109375	-0.046634614	No	
row_1	TAOK2	350	23.901887893676758	-0.0709474	No	
row_2	FOXN3	474	18.885528564453125	-0.09790905	No	
row_3	FOXO4	643	14.2255220413208	-0.15232848	No	
row_4	BRSK1	799	10.88166618347168	-0.20594798	No	
row_5	SMARCD3	978	8.233649253845215	-0.27400634	No	
row_6	RBBP8	1849	-17.888973236083984	-0.6406455	Yes	
row_7	DBF4B	1877	-18.884918212890625	-0.6241495	Yes	
row_8	BRCA1	1894	-19.52715492248535	-0.6016972	Yes	
row_9	PAXIP1	1919	-20.678558349609375	-0.5811155	Yes	
row_10	ATAD5	1922	-20.90945053100586	-0.5502234	Yes	
row_11	CLSPN	1937	-21.641185760498047	-0.5236509	Yes	
row_12	RRM1	1988	-24.706632614135742	-0.5087136	Yes	
row_13	CCNB1	1992	-24.959508895874023	-0.4721152	Yes	
row_14	PINX1	2000	-25.39072608947754	-0.43667176	Yes	
row_15	AURKB	2013	-27.046825408935547	-0.40097338	Yes	
row_16	WEE1	2027	-28.181522369384766	-0.3640021	Yes	
row_17	CDC25B	2028	-28.218364715576172	-0.32108977	Yes	
row_18	NABP1	2039	-29.543779373168945	-0.28068882	Yes	
row_19	DTL	2048	-30.972063064575195	-0.23721044	Yes	
row_20	AURKA	2056	-31.56000328063965	-0.19238527	Yes	
row_21	DBF4	2074	-32.992549896240234	-0.14990853	Yes	
row_22	CCND1	2102	-35.97298812866211	-0.10742631	Yes	
row_23	CDC25A	2156	-44.6638298034668	-0.06349776	Yes	
row_24	CHEK1	2199	-64.37883758544922	0.015391495	Yes	
