NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATF2	60	59.67100143432617	0.0026560603	No	
row_1	KANK2	67	58.12285614013672	0.029488849	No	
row_2	RPTOR	68	57.78310775756836	0.0589225	No	
row_3	RRM2B	215	33.335784912109375	0.008404292	No	
row_4	MUC1	218	33.199607849121094	0.02439092	No	
row_5	DDX3X	250	30.443496704101562	0.025566328	No	
row_6	CAMSAP3	271	29.09208869934082	0.031138888	No	
row_7	PKP3	299	26.741241455078125	0.032277722	No	
row_8	KLHL22	302	26.671676635742188	0.044939138	No	
row_9	TAOK2	350	23.901887893676758	0.035385244	No	
row_10	TGFB1	420	20.842241287231445	0.014101758	No	
row_11	CDK18	429	20.365467071533203	0.020776985	No	
row_12	EME2	445	19.58133888244629	0.023816546	No	
row_13	FOXN3	474	18.885528564453125	0.020491503	No	
row_14	CDK14	487	18.56593132019043	0.024400797	No	
row_15	FOXO4	643	14.2255220413208	-0.040012714	No	
row_16	BRSK1	799	10.88166618347168	-0.10612953	No	
row_17	FBXO6	849	10.099661827087402	-0.12363866	No	
row_18	SMARCD3	978	8.233649253845215	-0.17862166	No	
row_19	PARP9	1036	7.513423919677734	-0.20114675	No	
row_20	SIX3	1320	4.44719934463501	-0.32971823	No	
row_21	CDK15	1498	-5.555846691131592	-0.40871897	No	
row_22	CDKN2C	1571	-7.081743240356445	-0.43839875	No	
row_23	DYNLT3	1583	-7.355832576751709	-0.43973735	No	
row_24	FBXO4	1610	-7.8034234046936035	-0.44778278	No	
row_25	EME1	1749	-12.842201232910156	-0.5050415	No	
row_26	UBE2C	1776	-13.911659240722656	-0.5099755	No	
row_27	ZWINT	1779	-13.957137107849121	-0.5037906	No	
row_28	RBBP8	1849	-17.888973236083984	-0.5265784	Yes	
row_29	WDR76	1851	-17.965126037597656	-0.5178896	Yes	
row_30	RFC4	1863	-18.447935104370117	-0.5135781	Yes	
row_31	BUB1	1870	-18.570650100708008	-0.5068925	Yes	
row_32	DBF4B	1877	-18.884918212890625	-0.5000468	Yes	
row_33	BRCA1	1894	-19.52715492248535	-0.49749717	Yes	
row_34	TIPIN	1900	-19.845184326171875	-0.48970002	Yes	
row_35	NEK6	1905	-20.01072120666504	-0.4813562	Yes	
row_36	PAXIP1	1919	-20.678558349609375	-0.4768331	Yes	
row_37	ATAD5	1922	-20.90945053100586	-0.46710685	Yes	
row_38	CLSPN	1937	-21.641185760498047	-0.4625557	Yes	
row_39	CDC45	1950	-22.53217315673828	-0.4566261	Yes	
row_40	SPC24	1962	-23.05670166015625	-0.44996697	Yes	
row_41	CDC20	1984	-24.385446548461914	-0.4472542	Yes	
row_42	RRM1	1988	-24.706632614135742	-0.43605605	Yes	
row_43	CCNB1	1992	-24.959508895874023	-0.4247291	Yes	
row_44	PINX1	2000	-25.39072608947754	-0.4150318	Yes	
row_45	RAD1	2001	-25.451000213623047	-0.4020675	Yes	
row_46	AURKB	2013	-27.046825408935547	-0.39337587	Yes	
row_47	SASS6	2021	-27.668949127197266	-0.38251808	Yes	
row_48	RFC3	2026	-28.163808822631836	-0.37002122	Yes	
row_49	WEE1	2027	-28.181522369384766	-0.3556661	Yes	
row_50	CDC25B	2028	-28.218364715576172	-0.34129217	Yes	
row_51	EZH2	2035	-29.100849151611328	-0.32924268	Yes	
row_52	NABP1	2039	-29.543779373168945	-0.31558058	Yes	
row_53	CDCA8	2045	-30.451913833618164	-0.30238053	Yes	
row_54	DTL	2048	-30.972063064575195	-0.28752857	Yes	
row_55	AURKA	2056	-31.56000328063965	-0.27468872	Yes	
row_56	SMARCE1	2058	-31.657745361328125	-0.2590252	Yes	
row_57	DBF4	2074	-32.992549896240234	-0.2491542	Yes	
row_58	SPDL1	2096	-35.36600875854492	-0.24084814	Yes	
row_59	CCND1	2102	-35.97298812866211	-0.22483577	Yes	
row_60	ZWILCH	2110	-36.67355728149414	-0.20939118	Yes	
row_61	RAD51	2113	-36.964027404785156	-0.19148703	Yes	
row_62	RFC5	2114	-37.01982879638672	-0.1726298	Yes	
row_63	H2AX	2140	-40.64162826538086	-0.16348574	Yes	
row_64	E2F7	2141	-40.64704513549805	-0.14278087	Yes	
row_65	NUF2	2148	-42.90642166137695	-0.123699054	Yes	
row_66	CDC25A	2156	-44.6638298034668	-0.10418437	Yes	
row_67	RFWD3	2158	-44.76905059814453	-0.08184216	Yes	
row_68	ANXA1	2159	-45.493385314941406	-0.058668666	Yes	
row_69	CHEK1	2199	-64.37883758544922	-0.043905783	Yes	
row_70	FBXW7	2229	-116.14595031738281	0.0018495205	Yes	
