NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EMP2	1	225.79051208496094	0.3524958	Yes	
row_1	TLN1	10	134.00094604492188	0.5583508	Yes	
row_2	CASK	123	44.538490295410156	0.5774301	Yes	
row_3	CLASP1	188	36.51430892944336	0.60562706	Yes	
row_4	CAMSAP3	271	29.09208869934082	0.6140991	Yes	
row_5	SRC	349	23.916019439697266	0.6167364	Yes	
row_6	CSF1	906	9.34139347076416	0.38043597	No	
row_7	EPHA1	1025	7.685192108154297	0.33920008	No	
row_8	COL16A1	1221	5.325519561767578	0.25952834	No	
row_9	SERPINE1	1509	-5.7467451095581055	0.13899879	No	
row_10	PHLDB2	1544	-6.432745933532715	0.13371125	No	
row_11	JAG1	1555	-6.768636226654053	0.13977909	No	
row_12	DLC1	1594	-7.538021087646484	0.13441421	No	
row_13	VCL	1662	-9.65693473815918	0.11927491	No	
row_14	CDK6	1833	-16.843692779541016	0.06888952	No	
row_15	MAP4K4	1866	-18.51163673400879	0.083385766	No	
row_16	ABL1	2002	-25.50684928894043	0.06233652	No	
row_17	FERMT2	2008	-26.519412994384766	0.10153433	No	
