NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK3	46	67.41266632080078	0.016184313	No	
row_1	KAT5	77	53.90064239501953	0.03225049	No	
row_2	KPNA1	111	45.75014877319336	0.042412654	No	
row_3	SPIRE2	126	43.72304153442383	0.06021022	No	
row_4	PELI1	254	30.09187126159668	0.018349154	No	
row_5	CAMSAP3	271	29.09208869934082	0.027109189	No	
row_6	KDM1A	341	24.442291259765625	0.008854866	No	
row_7	SRC	349	23.916019439697266	0.018893233	No	
row_8	TGFB1	420	20.842241287231445	-0.0018189967	No	
row_9	ATRX	493	18.294097900390625	-0.024866706	No	
row_10	NEK7	587	15.380173683166504	-0.059212584	No	
row_11	NUDT16L1	616	14.85086727142334	-0.063884325	No	
row_12	KAT2B	636	14.317447662353516	-0.06470256	No	
row_13	FGFR4	667	13.533926010131836	-0.07102687	No	
row_14	SETD7	671	13.5079345703125	-0.06491746	No	
row_15	NPPC	717	12.404463768005371	-0.07878388	No	
row_16	HNRNPD	749	11.99870777130127	-0.086420774	No	
row_17	AXIN2	798	10.901034355163574	-0.10250424	No	
row_18	SMARCD3	978	8.233649253845215	-0.18046373	No	
row_19	WAS	1289	4.745455265045166	-0.32075456	No	
row_20	ZNF365	1465	-5.097355842590332	-0.3986095	No	
row_21	FBXO4	1610	-7.8034234046936035	-0.46067116	No	
row_22	S100A11	1631	-8.4778470993042	-0.46518955	No	
row_23	IL7R	1701	-11.09823989868164	-0.4908455	No	
row_24	DDX11	1724	-11.881246566772461	-0.49439818	No	
row_25	RAD51AP1	1737	-12.401618003845215	-0.4930518	No	
row_26	MYC	1748	-12.80810832977295	-0.49055785	No	
row_27	STN1	1787	-14.355851173400879	-0.50011456	No	
row_28	POLQ	1823	-16.320838928222656	-0.5071983	Yes	
row_29	UCHL5	1837	-17.1102352142334	-0.50370115	Yes	
row_30	RFC4	1863	-18.447935104370117	-0.5049946	Yes	
row_31	DBF4B	1877	-18.884918212890625	-0.5005131	Yes	
row_32	BRCA1	1894	-19.52715492248535	-0.49705848	Yes	
row_33	TIPIN	1900	-19.845184326171875	-0.48835605	Yes	
row_34	PAXIP1	1919	-20.678558349609375	-0.48518488	Yes	
row_35	ATAD5	1922	-20.90945053100586	-0.47450897	Yes	
row_36	NPAS2	1934	-21.417701721191406	-0.46770054	Yes	
row_37	PINX1	2000	-25.39072608947754	-0.4835846	Yes	
row_38	ABL1	2002	-25.50684928894043	-0.4698976	Yes	
row_39	EREG	2004	-25.798236846923828	-0.45604897	Yes	
row_40	SUPT3H	2009	-26.922351837158203	-0.44295993	Yes	
row_41	AURKB	2013	-27.046825408935547	-0.4293408	Yes	
row_42	SKP2	2015	-27.075199127197266	-0.41478387	Yes	
row_43	DSCC1	2025	-28.123872756958008	-0.40333357	Yes	
row_44	RFC3	2026	-28.163808822631836	-0.38771176	Yes	
row_45	WEE1	2027	-28.181522369384766	-0.37208012	Yes	
row_46	ERCC8	2030	-28.443496704101562	-0.35722527	Yes	
row_47	DTL	2048	-30.972063064575195	-0.3478835	Yes	
row_48	SMARCE1	2058	-31.657745361328125	-0.33447304	Yes	
row_49	YEATS4	2061	-32.118560791015625	-0.31757972	Yes	
row_50	DBF4	2074	-32.992549896240234	-0.304812	Yes	
row_51	HMGA2	2079	-33.35729217529297	-0.28815368	Yes	
row_52	DKC1	2099	-35.515010833740234	-0.2772141	Yes	
row_53	RAD51	2113	-36.964027404785156	-0.26270458	Yes	
row_54	RFC5	2114	-37.01982879638672	-0.24217053	Yes	
row_55	MCM7	2121	-37.99013900756836	-0.22386454	Yes	
row_56	OBI1	2126	-38.424373626708984	-0.20439559	Yes	
row_57	UBE2N	2127	-38.95851135253906	-0.18278621	Yes	
row_58	H2AX	2140	-40.64162826538086	-0.16577575	Yes	
row_59	E2F7	2141	-40.64704513549805	-0.14322977	Yes	
row_60	EXOSC3	2145	-42.517032623291016	-0.12102969	Yes	
row_61	CDC25A	2156	-44.6638298034668	-0.10086612	Yes	
row_62	CHEK1	2199	-64.37883758544922	-0.08452043	Yes	
row_63	SIRT1	2219	-87.10771179199219	-0.044963602	Yes	
row_64	CCDC117	2221	-91.86833953857422	0.0055325944	Yes	
