NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATF2	60	59.67100143432617	6.948209E-4	No	
row_1	KANK2	67	58.12285614013672	0.025684698	No	
row_2	RPTOR	68	57.78310775756836	0.05329388	No	
row_3	HECA	200	34.345436096191406	0.008971879	No	
row_4	RRM2B	215	33.335784912109375	0.018409459	No	
row_5	MUC1	218	33.199607849121094	0.033345256	No	
row_6	SMPD3	240	31.113298416137695	0.03847567	No	
row_7	INSR	246	30.753944396972656	0.05085209	No	
row_8	DDX3X	250	30.443496704101562	0.06400739	No	
row_9	KLHL22	302	26.671676635742188	0.05310736	No	
row_10	TAOK2	350	23.901887893676758	0.04273833	No	
row_11	TP73	393	21.750377655029297	0.033659328	No	
row_12	OBSL1	397	21.658597946166992	0.042617142	No	
row_13	TGFB1	420	20.842241287231445	0.04237636	No	
row_14	EME2	445	19.58133888244629	0.040605903	No	
row_15	FOXN3	474	18.885528564453125	0.036648553	No	
row_16	NEK7	587	15.380173683166504	-0.007926659	No	
row_17	FOXO4	643	14.2255220413208	-0.026627978	No	
row_18	BRSK1	799	10.88166618347168	-0.0932877	No	
row_19	STAT5A	830	10.373976707458496	-0.10223915	No	
row_20	IGF2	859	9.893594741821289	-0.11049291	No	
row_21	SIK1	913	9.198651313781738	-0.1306689	No	
row_22	GAS1	931	8.941893577575684	-0.1342777	No	
row_23	L3MBTL1	947	8.685320854187012	-0.1370819	No	
row_24	SMARCD3	978	8.233649253845215	-0.14705601	No	
row_25	BMP7	991	8.101593971252441	-0.1487483	No	
row_26	FBXO43	1401	-4.251436233520508	-0.3363321	No	
row_27	CDKN2C	1571	-7.081743240356445	-0.41129798	No	
row_28	DYNLT3	1583	-7.355832576751709	-0.41288298	No	
row_29	BTC	1615	-8.07774829864502	-0.4233952	No	
row_30	CKS1B	1660	-9.586742401123047	-0.43921328	No	
row_31	ASNS	1665	-9.705284118652344	-0.43643045	No	
row_32	EME1	1749	-12.842201232910156	-0.46877372	No	
row_33	UBE2C	1776	-13.911659240722656	-0.4741804	No	
row_34	ZWINT	1779	-13.957137107849121	-0.4684388	No	
row_35	RBBP8	1849	-17.888973236083984	-0.4918802	No	
row_36	BUB1	1870	-18.570650100708008	-0.49227914	Yes	
row_37	DBF4B	1877	-18.884918212890625	-0.48603743	Yes	
row_38	BRCA1	1894	-19.52715492248535	-0.48412493	Yes	
row_39	TIPIN	1900	-19.845184326171875	-0.47696078	Yes	
row_40	NEK6	1905	-20.01072120666504	-0.46925396	Yes	
row_41	CKS2	1918	-20.644887924194336	-0.46495295	Yes	
row_42	ATAD5	1922	-20.90945053100586	-0.4563531	Yes	
row_43	CAV2	1928	-21.08849334716797	-0.4485949	Yes	
row_44	CLSPN	1937	-21.641185760498047	-0.44196343	Yes	
row_45	SPC24	1962	-23.05670166015625	-0.44207335	Yes	
row_46	TGFA	1971	-23.55722427368164	-0.43452638	Yes	
row_47	CDC20	1984	-24.385446548461914	-0.42843813	Yes	
row_48	RRM1	1988	-24.706632614135742	-0.41802394	Yes	
row_49	CCNB1	1992	-24.959508895874023	-0.40748894	Yes	
row_50	PINX1	2000	-25.39072608947754	-0.3986023	Yes	
row_51	ABL1	2002	-25.50684928894043	-0.38687855	Yes	
row_52	EREG	2004	-25.798236846923828	-0.3750156	Yes	
row_53	AURKB	2013	-27.046825408935547	-0.36580127	Yes	
row_54	SASS6	2021	-27.668949127197266	-0.3558261	Yes	
row_55	WEE1	2027	-28.181522369384766	-0.3446788	Yes	
row_56	CDC25B	2028	-28.218364715576172	-0.33119586	Yes	
row_57	EZH2	2035	-29.100849151611328	-0.32007292	Yes	
row_58	NABP1	2039	-29.543779373168945	-0.3073475	Yes	
row_59	NEK9	2040	-29.7218074798584	-0.2931462	Yes	
row_60	CDCA8	2045	-30.451913833618164	-0.2804505	Yes	
row_61	DTL	2048	-30.972063064575195	-0.26657903	Yes	
row_62	AURKA	2056	-31.56000328063965	-0.25474468	Yes	
row_63	SMARCE1	2058	-31.657745361328125	-0.240082	Yes	
row_64	ANAPC16	2069	-32.5350341796875	-0.22917259	Yes	
row_65	DBF4	2074	-32.992549896240234	-0.21526293	Yes	
row_66	SPDL1	2096	-35.36600875854492	-0.20810056	Yes	
row_67	CCND1	2102	-35.97298812866211	-0.19323044	Yes	
row_68	ZWILCH	2110	-36.67355728149414	-0.1789528	Yes	
row_69	E2F7	2141	-40.64704513549805	-0.17343955	Yes	
row_70	NUF2	2148	-42.90642166137695	-0.15572019	Yes	
row_71	CDC25A	2156	-44.6638298034668	-0.13762474	Yes	
row_72	RFWD3	2158	-44.76905059814453	-0.11669738	Yes	
row_73	ANXA1	2159	-45.493385314941406	-0.09496032	Yes	
row_74	CHEK1	2199	-64.37883758544922	-0.08228031	Yes	
row_75	SIRT1	2219	-87.10771179199219	-0.049468152	Yes	
row_76	FBXW7	2229	-116.14595031738281	0.0018547538	Yes	
