NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KANK2	67	58.12285614013672	0.012181311	No	
row_1	RPTOR	68	57.78310775756836	0.05476185	No	
row_2	RRM2B	215	33.335784912109375	0.012538428	No	
row_3	MUC1	218	33.199607849121094	0.0360884	No	
row_4	DDX3X	250	30.443496704101562	0.044341147	No	
row_5	KLHL22	302	26.671676635742188	0.0406653	No	
row_6	TAOK2	350	23.901887893676758	0.036778208	No	
row_7	TGFB1	420	20.842241287231445	0.020572415	No	
row_8	FOXN3	474	18.885528564453125	0.0102440175	No	
row_9	FOXO4	643	14.2255220413208	-0.056125853	No	
row_10	BRSK1	799	10.88166618347168	-0.119012885	No	
row_11	SMARCD3	978	8.233649253845215	-0.19437276	No	
row_12	CDKN2C	1571	-7.081743240356445	-0.45996848	No	
row_13	DYNLT3	1583	-7.355832576751709	-0.45957994	No	
row_14	UBE2C	1776	-13.911659240722656	-0.53716004	No	
row_15	ZWINT	1779	-13.957137107849121	-0.52778995	No	
row_16	RBBP8	1849	-17.888973236083984	-0.54617196	Yes	
row_17	BUB1	1870	-18.570650100708008	-0.54163635	Yes	
row_18	DBF4B	1877	-18.884918212890625	-0.53046477	Yes	
row_19	BRCA1	1894	-19.52715492248535	-0.52339447	Yes	
row_20	NEK6	1905	-20.01072120666504	-0.51322305	Yes	
row_21	ATAD5	1922	-20.90945053100586	-0.5051341	Yes	
row_22	CLSPN	1937	-21.641185760498047	-0.49559104	Yes	
row_23	SPC24	1962	-23.05670166015625	-0.48957947	Yes	
row_24	CDC20	1984	-24.385446548461914	-0.48121634	Yes	
row_25	RRM1	1988	-24.706632614135742	-0.46438232	Yes	
row_26	CCNB1	1992	-24.959508895874023	-0.44736198	Yes	
row_27	PINX1	2000	-25.39072608947754	-0.43185365	Yes	
row_28	AURKB	2013	-27.046825408935547	-0.41741225	Yes	
row_29	SASS6	2021	-27.668949127197266	-0.40022513	Yes	
row_30	WEE1	2027	-28.181522369384766	-0.38174537	Yes	
row_31	CDC25B	2028	-28.218364715576172	-0.3609512	Yes	
row_32	EZH2	2035	-29.100849151611328	-0.34225142	Yes	
row_33	NABP1	2039	-29.543779373168945	-0.3218529	Yes	
row_34	CDCA8	2045	-30.451913833618164	-0.3017001	Yes	
row_35	DTL	2048	-30.972063064575195	-0.2797916	Yes	
row_36	AURKA	2056	-31.56000328063965	-0.25973713	Yes	
row_37	SMARCE1	2058	-31.657745361328125	-0.2368659	Yes	
row_38	DBF4	2074	-32.992549896240234	-0.21941544	Yes	
row_39	SPDL1	2096	-35.36600875854492	-0.20296071	Yes	
row_40	CCND1	2102	-35.97298812866211	-0.1787394	Yes	
row_41	ZWILCH	2110	-36.67355728149414	-0.15491675	Yes	
row_42	E2F7	2141	-40.64704513549805	-0.13868752	Yes	
row_43	NUF2	2148	-42.90642166137695	-0.1098144	Yes	
row_44	CDC25A	2156	-44.6638298034668	-0.08010369	Yes	
row_45	RFWD3	2158	-44.76905059814453	-0.047570705	Yes	
row_46	ANXA1	2159	-45.493385314941406	-0.014046502	Yes	
row_47	CHEK1	2199	-64.37883758544922	0.015553642	Yes	
