NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZSWIM8	14	125.54839324951172	0.19921437	Yes	
row_1	TNRC6A	59	59.99721145629883	0.27758628	Yes	
row_2	SMAD2	83	52.99692916870117	0.35397062	Yes	
row_3	CNOT3	119	45.15233612060547	0.41210023	Yes	
row_4	EIF4E2	134	42.460777282714844	0.47529587	Yes	
row_5	TARBP2	179	37.43795394897461	0.5167371	Yes	
row_6	AGO4	192	35.5439567565918	0.56951165	Yes	
row_7	TNRC6C	209	33.830169677734375	0.61767644	Yes	
row_8	LIMD1	309	26.528257369995117	0.61644965	No	
row_9	TGFB1	420	20.842241287231445	0.60095286	No	
row_10	CNOT6	623	14.658074378967285	0.53383476	No	
row_11	HELZ2	665	13.568672180175781	0.53755397	No	
row_12	LIN28A	1198	5.466251373291016	0.30653858	No	
row_13	MIR25	1649	-9.115765571594238	0.11848456	No	
row_14	DICER1	1975	-23.678306579589844	0.010652674	No	
row_15	EZH2	2035	-29.100849151611328	0.03167973	No	
row_16	CELF1	2094	-34.9281120300293	0.06269737	No	
