NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EMP2	1	225.79051208496094	0.34395358	Yes	
row_1	ADCY9	18	109.48397827148438	0.50371027	Yes	
row_2	SLC25A23	174	37.930423736572266	0.4913994	Yes	
row_3	MAGED2	210	33.72471237182617	0.5269966	Yes	
row_4	RRM2B	215	33.335784912109375	0.5760341	Yes	
row_5	HYAL2	307	26.56301498413086	0.5753565	No	
row_6	AQP3	469	19.064414978027344	0.5315525	No	
row_7	KCNQ1	498	18.126314163208008	0.5465258	No	
row_8	RHPN2	522	17.120302200317383	0.562228	No	
row_9	F2R	736	12.186182975769043	0.48439232	No	
row_10	ATP6V1B1	824	10.527620315551758	0.46106613	No	
row_11	CYP4F12	937	8.84256362915039	0.42385232	No	
row_12	GAS6	984	8.16102123260498	0.4154767	No	
row_13	NPR1	1007	7.90733528137207	0.4175788	No	
row_14	TMEM63C	1052	7.230444431304932	0.40868914	No	
row_15	SULF2	1255	5.066616058349609	0.32497334	No	
row_16	ADCY5	1266	4.982063293457031	0.32804573	No	
row_17	AMN	1300	4.635356903076172	0.32017732	No	
row_18	HSD11B2	1357	4.100579738616943	0.30108124	No	
row_19	ADM5	1506	-5.6994948387146	0.24277623	No	
row_20	CORO2B	1517	-5.881615161895752	0.24722072	No	
row_21	F2RL1	1584	-7.359578609466553	0.22856878	No	
row_22	SLC4A5	1639	-8.72760009765625	0.21743585	No	
row_23	HAS2	1777	-13.9346284866333	0.17667182	No	
row_24	ADCY7	1887	-19.211275100708008	0.15663186	No	
