NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	METTL16	81	53.24787139892578	-2.0288976E-4	No	
row_1	SNRNP27	172	38.05741882324219	-0.014995495	No	
row_2	TARBP2	179	37.43795394897461	0.008105537	No	
row_3	AGO4	192	35.5439567565918	0.027162177	No	
row_4	DDX3X	250	30.443496704101562	0.022169476	No	
row_5	NSUN3	497	18.19586753845215	-0.077498704	No	
row_6	KAT2B	636	14.317447662353516	-0.13057354	No	
row_7	ZNF658	651	14.000694274902344	-0.12729765	No	
row_8	RNASEL	879	9.628722190856934	-0.22421068	No	
row_9	LSM7	902	9.37369441986084	-0.2277778	No	
row_10	GLUL	1004	7.987624645233154	-0.2683417	No	
row_11	CELF5	1196	5.495010852813721	-0.35168427	No	
row_12	RRN3	1312	4.504748821258545	-0.40103877	No	
row_13	LSM6	1572	-7.115575313568115	-0.5142848	No	
row_14	GAR1	1658	-9.432136535644531	-0.5465525	No	
row_15	LSM8	1736	-12.395431518554688	-0.57312536	No	
row_16	MAK16	1797	-15.299728393554688	-0.58993834	No	
row_17	UTP4	1841	-17.3162899017334	-0.59760404	Yes	
row_18	SNRPD1	1846	-17.724477767944336	-0.5871961	Yes	
row_19	LYAR	1881	-19.088533401489258	-0.5895329	Yes	
row_20	PNO1	1886	-19.209707260131836	-0.5780999	Yes	
row_21	EBNA1BP2	1898	-19.802288055419922	-0.56945133	Yes	
row_22	TSR2	1932	-21.26675796508789	-0.56982857	Yes	
row_23	GEMIN2	1946	-22.24666404724121	-0.56040543	Yes	
row_24	AFG2A	1965	-23.221858978271484	-0.55259025	Yes	
row_25	DICER1	1975	-23.678306579589844	-0.54035425	Yes	
row_26	SNRPB2	1986	-24.486434936523438	-0.5280167	Yes	
row_27	LSM5	2012	-27.00021743774414	-0.52078724	Yes	
row_28	EMG1	2077	-33.06477737426758	-0.5271643	Yes	
row_29	CELF1	2094	-34.9281120300293	-0.5103575	Yes	
row_30	DKC1	2099	-35.515010833740234	-0.4876712	Yes	
row_31	NIP7	2109	-36.504669189453125	-0.4665829	Yes	
row_32	REXO5	2119	-37.67525100708008	-0.44468668	Yes	
row_33	PSIP1	2132	-39.513816833496094	-0.42289022	Yes	
row_34	EXOSC3	2145	-42.517032623291016	-0.399021	Yes	
row_35	FCF1	2160	-45.735191345214844	-0.37384316	Yes	
row_36	DDX21	2185	-55.6498908996582	-0.34638464	Yes	
row_37	MPHOSPH6	2197	-64.09539794921875	-0.30716667	Yes	
row_38	EIF5	2201	-65.60809326171875	-0.26325506	Yes	
row_39	NOM1	2218	-86.19087982177734	-0.21106865	Yes	
row_40	TMA16	2230	-118.76377868652344	-0.13412064	Yes	
row_41	WDR12	2233	-195.654052734375	-3.585592E-8	Yes	
