NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	METTL16	81	53.24787139892578	0.010763371	No	
row_1	DDX3X	250	30.443496704101562	-0.038270954	No	
row_2	NSUN3	497	18.19586753845215	-0.13360454	No	
row_3	KAT2B	636	14.317447662353516	-0.18341815	No	
row_4	ZNF658	651	14.000694274902344	-0.17727849	No	
row_5	RNASEL	879	9.628722190856934	-0.27163735	No	
row_6	GLUL	1004	7.987624645233154	-0.32074806	No	
row_7	RRN3	1312	4.504748821258545	-0.45595878	No	
row_8	LSM6	1572	-7.115575313568115	-0.56707186	No	
row_9	GAR1	1658	-9.432136535644531	-0.597207	No	
row_10	MAK16	1797	-15.299728393554688	-0.6461444	No	
row_11	UTP4	1841	-17.3162899017334	-0.65019906	No	
row_12	LYAR	1881	-19.088533401489258	-0.6508588	Yes	
row_13	PNO1	1886	-19.209707260131836	-0.6355375	Yes	
row_14	EBNA1BP2	1898	-19.802288055419922	-0.62286216	Yes	
row_15	TSR2	1932	-21.26675796508789	-0.6188578	Yes	
row_16	AFG2A	1965	-23.221858978271484	-0.61265594	Yes	
row_17	EMG1	2077	-33.06477737426758	-0.6335017	Yes	
row_18	DKC1	2099	-35.515010833740234	-0.61134547	Yes	
row_19	NIP7	2109	-36.504669189453125	-0.5828643	Yes	
row_20	REXO5	2119	-37.67525100708008	-0.55333894	Yes	
row_21	EXOSC3	2145	-42.517032623291016	-0.5267508	Yes	
row_22	FCF1	2160	-45.735191345214844	-0.4923034	Yes	
row_23	DDX21	2185	-55.6498908996582	-0.45354706	Yes	
row_24	MPHOSPH6	2197	-64.09539794921875	-0.40136147	Yes	
row_25	EIF5	2201	-65.60809326171875	-0.3441984	Yes	
row_26	NOM1	2218	-86.19087982177734	-0.27457082	Yes	
row_27	TMA16	2230	-118.76377868652344	-0.17362003	Yes	
row_28	WDR12	2233	-195.654052734375	-1.03609636E-7	Yes	
