NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PANK3	15	116.8896484375	0.24604361	Yes	
row_1	ELOVL7	76	54.01020431518555	0.33581513	Yes	
row_2	METTL16	81	53.24787139892578	0.4491745	Yes	
row_3	FASN	148	40.129920959472656	0.5062225	Yes	
row_4	PDPR	175	37.835693359375	0.5763347	Yes	
row_5	MTHFR	181	37.36006546020508	0.6548821	Yes	
row_6	GGT1	528	17.011838912963867	0.53574836	No	
row_7	ACSS2	604	15.062939643859863	0.53452677	No	
row_8	ACSL1	861	9.84988021850586	0.44046232	No	
row_9	CBS	1012	7.881224155426025	0.38990945	No	
row_10	SIRT4	1109	6.530491352081299	0.36077055	No	
row_11	SLC25A19	1613	-7.97939395904541	0.15134932	No	
row_12	GCLM	1784	-14.261641502380371	0.10558264	No	
row_13	SLC7A11	1913	-20.44349479675293	0.09211322	No	
row_14	AKR1A1	1978	-23.879383087158203	0.11491661	No	
