NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PANK3	15	116.8896484375	0.13108402	Yes	
row_1	ICMT	47	66.89645385742188	0.1959244	Yes	
row_2	ELOVL7	76	54.01020431518555	0.24692513	Yes	
row_3	METTL16	81	53.24787139892578	0.3079257	Yes	
row_4	SUCLG1	88	51.10478591918945	0.36548978	Yes	
row_5	FAR1	137	42.28922653198242	0.3935805	Yes	
row_6	FASN	148	40.129920959472656	0.43638086	Yes	
row_7	PDPR	175	37.835693359375	0.46920863	Yes	
row_8	MTHFR	181	37.36006546020508	0.511012	Yes	
row_9	GLO1	187	36.60244369506836	0.55192167	Yes	
row_10	AASS	331	25.368247985839844	0.51690793	No	
row_11	OPLAH	370	22.779775619506836	0.5265244	No	
row_12	ABCD1	516	17.389816284179688	0.48119017	No	
row_13	GGT1	528	17.011838912963867	0.49626377	No	
row_14	ACSF2	589	15.35287857055664	0.48712775	No	
row_15	ACSS2	604	15.062939643859863	0.49853984	No	
row_16	SUOX	619	14.80767822265625	0.50965077	No	
row_17	CPS1	645	14.192963600158691	0.51504105	No	
row_18	STAT5A	830	10.373976707458496	0.44371894	No	
row_19	ACSL1	861	9.84988021850586	0.44171497	No	
row_20	CBS	1012	7.881224155426025	0.38289264	No	
row_21	SIRT4	1109	6.530491352081299	0.347	No	
row_22	SULT2B1	1268	4.971222400665283	0.28111166	No	
row_23	DGAT2	1315	4.472164630889893	0.26549742	No	
row_24	SLC25A19	1613	-7.97939395904541	0.14003341	No	
row_25	FAR2	1678	-10.23709774017334	0.123045735	No	
row_26	AADAT	1702	-11.105502128601074	0.12570196	No	
row_27	GCLM	1784	-14.261641502380371	0.10574184	No	
row_28	CHAC2	1864	-18.46257209777832	0.09164587	No	
row_29	SLC25A10	1876	-18.88465690612793	0.108928844	No	
row_30	SLC7A11	1913	-20.44349479675293	0.11669749	No	
row_31	AKR1A1	1978	-23.879383087158203	0.11580378	No	
