NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SAR1B	5	174.04086303710938	0.24436203	Yes	
row_1	MAPK3	46	67.41266632080078	0.32182842	Yes	
row_2	RPTOR	68	57.78310775756836	0.39422742	Yes	
row_3	TBC1D7	97	49.27277755737305	0.45140684	Yes	
row_4	CASTOR2	136	42.29613494873047	0.49418554	Yes	
row_5	AKT1S1	177	37.77198028564453	0.5296505	Yes	
row_6	PELI1	254	30.09187126159668	0.5379798	Yes	
row_7	LAMTOR1	297	26.776708602905273	0.55696124	Yes	
row_8	KLHL22	302	26.671676635742188	0.5929497	Yes	
row_9	SRC	349	23.916019439697266	0.60607165	Yes	
row_10	LAMTOR3	574	15.67504596710205	0.52715486	No	
row_11	CASTOR3P	670	13.508119583129883	0.50340676	No	
row_12	GPR137C	1050	7.316582202911377	0.34266838	No	
row_13	SESN3	1428	-4.5424933433532715	0.17890203	No	
row_14	RPS6KA1	1722	-11.852864265441895	0.06341787	No	
row_15	RHEBL1	1723	-11.853597640991211	0.08021465	No	
row_16	STAMBPL1	1858	-18.083927154541016	0.04534332	No	
row_17	UBE2N	2127	-38.95851135253906	-0.02044492	No	
row_18	PRKAA1	2169	-47.88152313232422	0.028893992	No	
