NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_DNA_REPLICATION	GOBP_DNA_REPLICATION	Details ...	62	-0.6274958	-2.5025382	0.0	0.0	0.0	448	tags=74%, list=20%, signal=90%	
GOBP_DNA_METABOLIC_PROCESS	GOBP_DNA_METABOLIC_PROCESS	Details ...	140	-0.5247496	-2.424577	0.0	0.0	0.0	489	tags=63%, list=22%, signal=75%	
GOBP_DNA_TEMPLATED_DNA_REPLICATION	GOBP_DNA_TEMPLATED_DNA_REPLICATION	Details ...	41	-0.64924806	-2.3888245	0.0	0.0	0.0	412	tags=73%, list=18%, signal=88%	
GOBP_DNA_REPAIR	GOBP_DNA_REPAIR	Details ...	82	-0.5636086	-2.337725	0.0	0.0	0.0	511	tags=67%, list=23%, signal=84%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	Details ...	29	-0.66788614	-2.2663085	0.0	1.9028697E-4	0.001	354	tags=59%, list=16%, signal=69%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	42	-0.6095551	-2.2621949	0.0	3.4228945E-4	0.002	394	tags=60%, list=18%, signal=71%	
GOBP_CHROMOSOME_SEGREGATION	GOBP_CHROMOSOME_SEGREGATION	Details ...	63	-0.54733104	-2.224557	0.0	7.305177E-4	0.005	483	tags=73%, list=22%, signal=91%	
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	Details ...	71	-0.5356907	-2.2207963	0.0	7.605431E-4	0.006	386	tags=61%, list=17%, signal=71%	
GOBP_DOUBLE_STRAND_BREAK_REPAIR	GOBP_DOUBLE_STRAND_BREAK_REPAIR	Details ...	45	-0.5758296	-2.2030773	0.0	7.8198715E-4	0.007	526	tags=73%, list=24%, signal=94%	
GOBP_CHROMOSOME_LOCALIZATION	GOBP_CHROMOSOME_LOCALIZATION	Details ...	20	-0.69714373	-2.1912541	0.0	8.071457E-4	0.008	456	tags=90%, list=20%, signal=112%	
GOBP_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	GOBP_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	Details ...	25	-0.66784966	-2.1747928	0.0	9.160109E-4	0.01	386	tags=76%, list=17%, signal=91%	
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS	GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS	Details ...	55	-0.5354306	-2.1146078	0.0	0.0029151856	0.034	386	tags=58%, list=17%, signal=69%	
