NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	Details ...	33	0.59662956	1.8587193	0.001610306	1.0	0.662	620	tags=58%, list=28%, signal=79%	
GOBP_PROTEIN_TARGETING	GOBP_PROTEIN_TARGETING	Details ...	33	0.5815349	1.823996	0.0015772871	0.8409927	0.809	185	tags=30%, list=8%, signal=33%	
GOBP_NITROGEN_COMPOUND_TRANSPORT	GOBP_NITROGEN_COMPOUND_TRANSPORT	Details ...	234	0.42416847	1.7781032	0.0	0.95988107	0.942	330	tags=28%, list=15%, signal=30%	
GOBP_PROTEOGLYCAN_METABOLIC_PROCESS	GOBP_PROTEOGLYCAN_METABOLIC_PROCESS	Details ...	20	0.627281	1.756269	0.01650165	0.91183805	0.968	473	tags=50%, list=21%, signal=63%	
GOBP_MONOATOMIC_ANION_TRANSPORT	GOBP_MONOATOMIC_ANION_TRANSPORT	Details ...	15	0.67243975	1.7558779	0.010968922	0.7318759	0.968	514	tags=60%, list=23%, signal=77%	
GOBP_PROTEIN_TRANSPORT	GOBP_PROTEIN_TRANSPORT	Details ...	182	0.42420417	1.74817	0.0	0.6543762	0.979	330	tags=29%, list=15%, signal=31%	
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS	GOBP_GLYCOPROTEIN_METABOLIC_PROCESS	Details ...	46	0.5172774	1.7440337	0.0045941807	0.5843667	0.982	620	tags=52%, list=28%, signal=71%	
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS	GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS	Details ...	15	0.6548821	1.7236183	0.01576182	0.6276288	0.99	181	tags=40%, list=8%, signal=43%	
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS	GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS	Details ...	32	0.55192167	1.7219515	0.010869565	0.5666737	0.99	187	tags=31%, list=8%, signal=34%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	Details ...	217	0.40692088	1.716938	0.0	0.5359394	0.99	330	tags=26%, list=15%, signal=28%	
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS	GOBP_CELLULAR_RESPONSE_TO_NUTRIENT_LEVELS	Details ...	40	0.5301254	1.7097232	0.009090909	0.5222904	0.991	334	tags=43%, list=15%, signal=49%	
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	Details ...	18	0.6167364	1.7059901	0.008319467	0.49442366	0.994	349	tags=33%, list=16%, signal=39%	
GOBP_RENAL_SYSTEM_PROCESS	GOBP_RENAL_SYSTEM_PROCESS	Details ...	25	0.5760341	1.7012773	0.011475409	0.4768855	0.995	215	tags=20%, list=10%, signal=22%	
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	Details ...	80	0.46613398	1.7003261	0.0027510317	0.44570452	0.996	341	tags=34%, list=15%, signal=38%	
