ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006260	GO:0006260	DNA replication	48/720	290/18860	0.16551724137931	4.33563218390805	11.4045496345972	6.42264174320954e-18	3.09699784857564e-14	2.8259623670122e-14	6282/51377/51514/9156/22944/55388/22891/64318/79991/6240/7465/2237/23649/1111/1663/4673/144455/5985/5983/79596/5427/11169/5888/54962/23594/64785/55159/51659/79915/672/80174/146956/5932/5937/9837/7150/8318/993/10721/6596/5984/2069/5558/10926/4176/222229/84296/79075	48
GO:0006261	GO:0006261	DNA-templated DNA replication	32/720	171/18860	0.187134502923977	4.90188434048083	10.2114250064371	6.85049632167262e-14	1.65165466315527e-10	1.50710919076798e-10	9156/55388/22891/64318/6240/2237/23649/1663/144455/5985/5983/5427/11169/5888/54962/23594/55159/79915/672/80174/146956/5932/9837/8318/10721/6596/5984/5558/10926/4176/222229/84296	32
GO:0007059	GO:0007059	chromosome segregation	47/720	434/18860	0.108294930875576	2.83672555043523	7.71223999689457	1.25379681850783e-10	2.01526941961492e-07	1.83890200047815e-07	55143/991/11004/23421/163786/83540/11130/23411/440145/90417/55055/9493/3835/9212/81565/6605/29893/672/10982/29128/147841/23354/23397/699/55355/7150/11065/6790/11144/79019/55207/56852/56992/79598/1894/64151/84057/79682/64105/891/64946/9232/54908/55166/387103/54984/10783	47
GO:0000280	GO:0000280	nuclear division	48/720	453/18860	0.105960264900662	2.77557027225901	7.62083216412108	1.68102813435148e-10	2.0264794159607e-07	1.84913094778662e-07	2827/55143/991/11004/8438/83540/11130/23411/1111/10635/2059/5139/440145/90417/5888/55055/9493/3835/9212/81565/29893/146956/29128/147841/7039/23397/699/994/11065/6790/3976/11144/56992/79598/64151/2069/685/84057/5810/64105/891/9232/54908/858/54984/4603/286151/1164	48
GO:0010212	GO:0010212	response to ionizing radiation	24/720	145/18860	0.16551724137931	4.33563218390805	8.03293361613682	1.2872712591138e-09	1.24144440228935e-06	1.13279870802015e-06	8438/10276/23411/6240/595/3014/867/10635/5888/64782/55159/672/10010/64859/7056/7150/1894/5810/5562/26272/1161/7518/1958/22976	24
GO:1901987	GO:1901987	regulation of cell cycle phase transition	47/720	468/18860	0.10042735042735	2.63063865147199	7.11660918527871	1.54638363529487e-09	1.24277698156531e-06	1.1340146658829e-06	63967/55143/991/1031/163786/83540/51514/11130/6240/7465/595/3014/1111/144455/5888/79968/54962/55055/55159/9212/79915/6605/672/80174/146956/5932/147841/699/64859/65061/994/11065/6790/8318/993/55294/5810/26272/891/54908/10926/1021/2146/22976/54984/301/10783	47
GO:0090068	GO:0090068	positive regulation of cell cycle process	34/720	278/18860	0.122302158273381	3.20363709032774	7.37434039930121	2.17350544208179e-09	1.49723474881692e-06	1.36620342073713e-06	55143/991/163786/51514/6240/7465/2237/595/1111/10635/1663/144455/9493/9212/79915/80174/7039/23397/699/994/11065/6790/56852/993/25886/1894/64151/2069/685/10733/891/10926/2146/301	34
GO:0051783	GO:0051783	regulation of nuclear division	23/720	147/18860	0.156462585034014	4.09845049130763	7.51343367193014	8.67248475816239e-09	5.22734018798238e-06	4.76986661698932e-06	2827/55143/991/83540/11130/1111/10635/5139/55055/9212/147841/7039/699/11065/6790/3976/2069/685/5810/891/54908/858/286151	23
GO:0140014	GO:0140014	mitotic nuclear division	33/720	281/18860	0.117437722419929	3.07621589561091	6.98588514943631	1.03983245269053e-08	5.57119120763746e-06	5.0836253242648e-06	55143/991/11004/83540/11130/23411/1111/2059/440145/90417/55055/9493/3835/9212/81565/29128/147841/7039/23397/699/11065/6790/56992/79598/64151/2069/685/64105/891/54908/858/54984/286151	33
GO:0000075	GO:0000075	cell cycle checkpoint signaling	26/720	187/18860	0.13903743315508	3.64200831847891	7.23360637522844	1.20698614355777e-08	5.82008718423555e-06	5.31073903165417e-06	63967/55143/991/83540/51514/11130/595/3014/1111/5888/79968/54962/55055/55159/9212/672/146956/5932/147841/699/64859/8318/5810/26272/891/54908	26
