ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0000793	GO:0000793	condensed chromosome	41/753	288/19944	0.142361111111111	3.77058432934927	9.38132055065581	2.39415019301401e-13	1.30481185519263e-10	1.14415177645091e-10	991/11004/23421/83540/11130/119504/120/9793/3014/1111/4659/90417/5888/55055/3835/9212/81565/6605/29893/672/147841/253635/23397/699/55355/6790/11144/79019/64151/3148/79682/5810/64105/891/64946/54908/55166/387103/222229/54984/6990	41
GO:0000776	GO:0000776	kinetochore	30/753	175/19944	0.171428571428571	4.54046670461013	9.31818048677687	3.41188779807897e-12	6.72969911972657e-10	5.90107851348308e-10	991/11004/23421/83540/11130/119504/9793/4659/90417/55055/3835/9212/81565/6605/147841/253635/699/55355/6790/79019/79682/64105/891/64946/54908/55166/387103/222229/54984/6990	30
GO:0000779	GO:0000779	condensed chromosome, centromeric region	31/753	187/19944	0.165775401069519	4.39073651916399	9.22780220788603	3.70442153379444e-12	6.72969911972657e-10	5.90107851348308e-10	991/11004/23421/83540/11130/119504/9793/4659/90417/55055/3835/9212/81565/6605/147841/253635/699/55355/6790/79019/64151/79682/64105/891/64946/54908/55166/387103/222229/54984/6990	31
GO:0098687	GO:0098687	chromosomal region	47/753	413/19944	0.113801452784504	3.01415162594175	8.19311172420844	1.61369783067468e-11	2.19866329429425e-09	1.92794425033238e-09	55143/991/11004/23421/83540/11130/23411/119504/79991/9793/2237/113130/3014/1111/10635/4659/90417/5888/55055/3835/9212/81565/6605/147841/253635/699/64859/55355/6790/11144/79019/64151/54433/79682/64105/891/64946/54908/1616/55166/387103/4176/222229/2146/54984/79075/6990	47
GO:0000775	GO:0000775	chromosome, centromeric region	36/753	267/19944	0.134831460674157	3.57115358789561	8.37815012164795	3.47021938757322e-11	3.78253913245481e-09	3.31679916201735e-09	55143/991/11004/23421/83540/11130/119504/9793/113130/4659/90417/55055/3835/9212/81565/6605/147841/253635/699/55355/6790/79019/64151/79682/64105/891/64946/54908/1616/55166/387103/222229/2146/54984/79075/6990	36
GO:0000228	GO:0000228	nuclear chromosome	33/753	238/19944	0.138655462184874	3.67243630519937	8.21562357289885	1.08607054909275e-10	9.86514082092578e-09	8.65045665417731e-09	51377/55388/80312/119392/120/23649/3014/1111/8091/5427/11169/5888/54962/23594/64785/51659/6605/29893/672/146956/23397/9837/7150/8318/11144/6596/64151/5810/5558/4176/222229/54984/84296	33
GO:0005819	GO:0005819	spindle	40/753	452/19944	0.0884955752212389	2.34389874131791	5.72468366294681	5.85590525217859e-07	4.55924051776762e-05	3.99786614208884e-05	55143/991/11004/9793/84259/1663/440145/145508/79768/90417/55055/9493/3835/79801/9212/81565/10982/29128/23354/60509/150468/994/6790/150275/55207/56992/25886/84541/1894/255758/166378/891/11127/3161/54908/54984/4609/1211/10783/6990	40
GO:0005657	GO:0005657	replication fork	14/753	75/19944	0.186666666666667	4.94406374501992	6.7784513333369	7.01767731391944e-07	4.78079267010762e-05	4.19213881647293e-05	55388/23649/3014/1111/5985/5983/11169/54962/146956/29128/56852/6596/5984/5558	14
GO:0071162	GO:0071162	CMG complex	6/753	11/19944	0.545454545454545	14.4469395146686	8.83644117371717	1.1153414128536e-06	6.75401188894681e-05	5.9223976776086e-05	64785/51659/9837/8318/4176/84296	6
GO:0030055	GO:0030055	cell-substrate junction	38/753	433/19944	0.0877598152424942	2.32441136148248	5.51913492667838	1.37237152686794e-06	7.47942482143028e-05	6.55849129682153e-05	1969/7431/7414/10580/1308/867/3845/29843/4659/3936/1948/10979/22801/10391/9493/84951/10982/9448/5880/90102/57514/5062/3672/3673/81848/3159/6204/2037/9590/7430/3696/26136/858/857/10395/301/30011/4478	38
