ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0140097	GO:0140097	catalytic activity, acting on DNA	30/732	254/18662	0.118110236220472	3.01116561249516	6.52070033688985	7.71108999101856e-08	6.23827180273402e-05	5.97406550883122e-05	8438/9156/80312/9937/2237/1663/8091/5985/5983/5427/23405/5888/64782/79915/146956/5932/7150/11144/10721/6596/5984/55728/55345/55247/5810/51567/3159/4176/79075/1736	30
GO:0019887	GO:0019887	protein kinase regulator activity	29/732	274/18662	0.105839416058394	2.69832675202425	5.72218819047635	1.27899194576049e-06	0.00051735224206012	0.000495441090568276	1031/1163/595/10253/1948/10979/91754/161742/80174/55704/200734/7039/5880/5859/5062/2069/374/685/891/1839/81848/79616/1616/892/10926/857/1164/25/85417	29
GO:0019207	GO:0019207	kinase regulator activity	30/732	308/18662	0.0974025974025974	2.48323397913562	5.30337714685558	4.66457269341393e-06	0.000902872427381772	0.000864633539201073	1031/1163/595/10253/1948/10979/91754/161742/80174/55704/200734/7039/5880/7048/5859/5062/2069/374/685/891/1839/81848/79616/1616/892/10926/857/1164/25/85417	30
GO:0019209	GO:0019209	kinase activator activity	20/732	160/18662	0.125	3.18681693989071	5.61301153403433	4.73293261457004e-06	0.000902872427381772	0.000864633539201073	1163/595/10253/1948/10979/91754/80174/55704/7039/7048/5062/2069/374/685/891/1839/1616/10926/1164/25	20
GO:0003697	GO:0003697	single-stranded DNA binding	17/732	122/18662	0.139344262295082	3.55251724446833	5.71513623553519	5.58373178694196e-06	0.000902872427381772	0.000864633539201073	8438/55388/79991/10635/1663/5888/5937/64859/7150/8318/11144/56852/6596/3148/55247/51567/4176	17
GO:0030295	GO:0030295	protein kinase activator activity	19/732	150/18662	0.126666666666667	3.22930783242259	5.53887868045346	6.69621083348657e-06	0.000902872427381772	0.000864633539201073	1163/595/10253/1948/10979/91754/80174/55704/7039/5062/2069/374/685/891/1839/1616/10926/1164/25	19
GO:0017116	GO:0017116	single-stranded DNA helicase activity	7/732	23/18662	0.304347826086957	7.7592064623426	6.55361882852352	1.96276879231928e-05	0.00226839993283756	0.00217232756563457	5985/5983/5888/10721/5984/4176/79075	7
GO:0004536	GO:0004536	DNA nuclease activity	12/732	77/18662	0.155844155844156	3.97317436661699	5.28223005452449	4.28749733060097e-05	0.00433573167557023	0.00415210267805568	9156/9937/2237/8091/23405/64782/146956/5932/55728/55247/5810/3159	12
GO:0000217	GO:0000217	DNA secondary structure binding	8/732	37/18662	0.216216216216216	5.51233200413528	5.55119674426836	7.57829618217026e-05	0.00681204623486193	0.00652353916968107	63967/10635/8091/56852/3148/55247/3159/25	8
GO:0030297	GO:0030297	transmembrane receptor protein tyrosine kinase activator activity	6/732	20/18662	0.3	7.6483606557377	6.01057705206929	8.62590153630962e-05	0.00697835434287449	0.00668280371655146	1948/7039/2069/374/685/1839	6
GO:0004520	GO:0004520	DNA endonuclease activity	9/732	56/18662	0.160714285714286	4.09733606557377	4.69017110632431	0.000303365271473236	0.0223111367838044	0.0213662047659619	9156/2237/8091/23405/146956/5932/55728/55247/3159	9
GO:0003678	GO:0003678	DNA helicase activity	9/732	59/18662	0.152542372881356	3.88899694359544	4.49070418004673	0.000453196306226182	0.0288090311474899	0.027588897175919	1663/5985/5983/5888/10721/5984/55345/4176/79075	9
