ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	GO:0007409	axonogenesis	68/1193	472/18860	0.14406779661017	2.27755125236194	7.30432740250951	1.46117234493579e-10	8.00722445024812e-07	6.78137775665462e-07	2048/1907/1952/57463/10500/1944/1942/80128/57549/7042/5979/219699/6585/57715/2263/11041/4135/3798/8408/64919/51466/4130/9344/10381/1949/2064/8506/4804/4884/1943/5802/4854/5864/6324/333/57731/5794/84446/10505/655/65078/7477/9620/23654/2803/5364/3913/6405/7474/6091/214/6474/2049/153478/23105/26999/54825/90249/5754/6608/4147/575/4781/84628/4851/170302/5365/55558	68
GO:0007411	GO:0007411	axon guidance	41/1193	243/18860	0.168724279835391	2.66734276420409	6.79784603751563	7.65082117310117e-09	1.57941855006954e-05	1.33762128068702e-05	2048/10500/1944/1942/57549/7042/5979/219699/6585/57715/11041/3798/64919/51466/10381/1949/2064/4804/1943/4854/6324/5794/10505/655/7477/3913/6405/7474/6091/214/2049/153478/26999/90249/5754/6608/4147/4781/4851/170302/55558	41
GO:0097485	GO:0097485	neuron projection guidance	41/1193	244/18860	0.168032786885246	2.6564110315639	6.76733989488218	8.6464519164391e-09	1.57941855006954e-05	1.33762128068702e-05	2048/10500/1944/1942/57549/7042/5979/219699/6585/57715/11041/3798/64919/51466/10381/1949/2064/4804/1943/4854/6324/5794/10505/655/7477/3913/6405/7474/6091/214/2049/153478/26999/90249/5754/6608/4147/4781/4851/170302/55558	41
GO:0048732	GO:0048732	gland development	61/1193	454/18860	0.134361233480176	2.12410131050807	6.30016348545952	1.9315552361542e-08	2.64623067353125e-05	2.24111237794838e-05	1435/55870/9095/1999/7042/8945/2263/3481/7481/5916/540/8660/64919/1396/64220/5595/79152/6776/4669/10481/2194/3643/1050/7040/1628/81606/6496/10018/3625/6670/1386/1373/80326/6714/55959/7022/655/3911/7477/5465/7474/6091/2624/2049/4487/768239/3516/3184/6583/5307/11231/4602/10370/3202/6608/5324/4781/7046/445/4851/1896	61
GO:0061448	GO:0061448	connective tissue development	46/1193	307/18860	0.149837133550489	2.36875803752072	6.28328769626508	4.27700710316687e-08	4.68759978507089e-05	3.96996301428689e-05	656/1435/6097/57326/7042/7483/4054/84649/7481/80310/81029/5916/59341/1396/30812/5595/55512/4094/8313/7040/54795/91461/1386/4880/389084/55959/655/875/140606/9215/7477/3373/8692/7474/6474/2261/4487/10424/5307/3202/5447/642658/4781/7046/1289/4851	46
GO:0060541	GO:0060541	respiratory system development	37/1193	231/18860	0.16017316017316	2.53215909544493	6.08854092872788	1.61901728652521e-07	0.000147870245502636	0.000125232407303327	7161/1907/2263/4054/7481/5916/64220/1512/21/5595/55512/2302/4087/10365/5864/1050/7040/91461/9394/6670/3911/6493/7477/9620/7474/53834/4487/3516/10427/25803/5754/3202/4781/54542/445/4851/1896	37
GO:0042476	GO:0042476	odontogenesis	26/1193	133/18860	0.195488721804511	3.09045875375782	6.2868263656704	2.20928701122471e-07	0.000172955611735877	0.000146477389962252	1435/7042/2263/10312/64919/3714/55512/80320/4804/1747/8313/147495/7040/25818/26504/10018/80326/6714/655/3911/5465/4487/56975/6608/360/1896	26
GO:0010975	GO:0010975	regulation of neuron projection development	57/1193	448/18860	0.127232142857143	2.01139833552868	5.6300066267295	3.6275193034987e-07	0.000248485072289661	0.000210443850120076	2048/23028/64175/57463/10500/1942/80128/5979/6585/85442/349667/5526/4135/59341/8408/4776/26153/3706/5780/23251/146760/1949/23098/2896/5802/6324/162979/84446/10505/23363/9762/655/26039/50861/65078/83999/27124/7533/23654/85358/8850/2803/5364/6405/7474/6091/6474/2049/152559/23105/29993/5754/23237/153090/84628/5365/55558	57
GO:0031345	GO:0031345	negative regulation of cell projection organization	32/1193	192/18860	0.166666666666667	2.63481419390891	5.91654627405973	4.40720065308862e-07	0.000268349550876951	0.00022726722432126	2048/7798/4070/10500/1942/80128/6585/349667/59341/8408/4776/51466/5780/23251/146760/1949/5802/115704/162979/10505/50861/65078/83999/27124/7533/6405/7474/152559/23105/51256/5365/55558	32
GO:0051216	GO:0051216	cartilage development	34/1193	216/18860	0.157407407407407	2.48843562758064	5.71722827492572	7.69932258812867e-07	0.000379658269555396	0.000321535403470945	656/57326/7042/7483/4054/7481/81029/5916/59341/5595/55512/4094/8313/7040/91461/1386/4880/389084/55959/655/875/7477/3373/8692/7474/6474/2261/4487/5307/3202/5447/642658/4781/7046	34
GO:0042475	GO:0042475	odontogenesis of dentin-containing tooth	20/1193	91/18860	0.21978021978022	3.47448025570406	6.14868535283987	7.84957089868138e-07	0.000379658269555396	0.000321535403470945	1435/10312/64919/3714/55512/4804/1747/147495/7040/25818/26504/10018/80326/655/3911/5465/4487/56975/6608/1896	20
GO:0030323	GO:0030323	respiratory tube development	33/1193	207/18860	0.159420289855072	2.52025705504331	5.71512854083855	8.31368473478968e-07	0.000379658269555396	0.000321535403470945	7161/1907/2263/4054/7481/64220/1512/21/5595/55512/2302/4087/10365/5864/1050/7040/91461/9394/6670/3911/6493/7477/9620/7474/3516/10427/25803/5754/51696/3202/4781/54542/4851	33
GO:0030324	GO:0030324	lung development	32/1193	203/18860	0.157635467980296	2.49204101098774	5.55400186564494	1.56166319230794e-06	0.000658301099526734	0.000557520082176982	7161/1907/2263/4054/7481/64220/1512/21/5595/55512/2302/4087/10365/5864/1050/7040/91461/9394/6670/3911/6493/7477/9620/7474/3516/10427/25803/5754/3202/4781/54542/4851	32
GO:0002065	GO:0002065	columnar/cuboidal epithelial cell differentiation	22/1193	113/18860	0.194690265486726	3.07783604952192	5.75682140461554	1.99157194047803e-06	0.000779558159558542	0.000660213585381024	7161/2263/7481/5916/1045/124093/1747/2302/57521/4087/7040/4909/2016/6714/655/2624/4487/25803/56975/3202/4781/4851	22
GO:0002064	GO:0002064	epithelial cell development	34/1193	226/18860	0.150442477876106	2.37832785644875	5.41691293162131	2.20686617159357e-06	0.000806241774688852	0.000682812136881127	7798/25932/271/54507/51092/81029/5916/10220/440193/64919/30812/5170/10481/2302/2194/27134/5802/1050/7040/6496/6714/7022/54345/7477/3913/7474/2624/25803/3202/6608/642658/7111/4851/546	34
GO:0010977	GO:0010977	negative regulation of neuron projection development	24/1193	132/18860	0.181818181818182	2.87434275699154	5.61549991663038	2.48538373740521e-06	0.0008154141435275	0.000690580284059306	2048/10500/1942/80128/6585/349667/59341/8408/5780/23251/146760/1949/5802/162979/10505/50861/65078/83999/27124/6405/7474/152559/23105/55558	24
GO:0021700	GO:0021700	developmental maturation	47/1193	364/18860	0.129120879120879	2.04125715022614	5.21276237203289	2.52956942335173e-06	0.0008154141435275	0.000690580284059306	23028/81609/2629/57549/7042/5979/51286/10220/253832/1203/4776/30812/26470/535/8506/10882/10481/283987/2302/5064/10365/5864/1050/6261/57731/7040/57030/6496/525/150726/4880/22839/3745/54345/5364/65010/7474/2624/2261/3516/2309/56975/3202/9991/153090/6855/537	47
