ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0098984	GO:0098984	neuron to neuron synapse	51/1269	403/19944	0.126550868486352	1.98891294018267	5.22796824419892	2.09940595563019e-06	0.00125124594955559	0.00112925941402845	2048/58512/6536/57549/5662/9066/747/91683/9746/41/56924/5170/112476/57555/1949/4355/2896/10882/4804/27092/57534/5064/5802/79414/57622/478/6253/6543/59284/84446/10505/3631/9762/7533/114794/23542/85358/9922/8927/3836/3184/9867/11346/57120/392617/392862/575/23237/116443/4851/2902	51
GO:0031594	GO:0031594	neuromuscular junction	17/1269	81/19944	0.209876543209877	3.29848524647579	5.40328106484755	1.08752774871067e-05	0.00155851546238557	0.00140657259145007	58512/9143/1013/23098/2064/4804/1943/23025/6640/22839/3911/9215/9145/3913/2149/43/6855	17
GO:0005765	GO:0005765	lysosomal membrane	54/1269	462/19944	0.116883116883117	1.8369715390992	4.74472076928578	1.14210567243722e-05	0.00155851546238557	0.00140657259145007	2782/2629/252839/55315/79803/51296/9066/10312/55004/408/4647/54734/51092/4891/4035/55332/5025/283537/1203/283554/57156/21/535/2896/23461/326624/57521/201475/29919/80131/57153/9545/684/79156/9424/79901/9145/27074/8649/7098/79888/51128/206358/51256/7942/57120/51552/6836/11182/20/3920/286410/215/537	54
GO:0098852	GO:0098852	lytic vacuole membrane	54/1269	462/19944	0.116883116883117	1.8369715390992	4.74472076928578	1.14210567243722e-05	0.00155851546238557	0.00140657259145007	2782/2629/252839/55315/79803/51296/9066/10312/55004/408/4647/54734/51092/4891/4035/55332/5025/283537/1203/283554/57156/21/535/2896/23461/326624/57521/201475/29919/80131/57153/9545/684/79156/9424/79901/9145/27074/8649/7098/79888/51128/206358/51256/7942/57120/51552/6836/11182/20/3920/286410/215/537	54
GO:0008021	GO:0008021	synaptic vesicle	33/1269	233/19944	0.141630901287554	2.22591544151219	4.90659144618542	1.307479414753e-05	0.00155851546238557	0.00140657259145007	6536/9066/91683/114088/192683/9143/25837/112476/9001/535/10966/201475/255057/5802/9545/23025/5864/4909/57030/6861/84446/525/9145/9922/8927/115827/9522/5799/203062/11094/2902/6855/537	33
GO:0032279	GO:0032279	asymmetric synapse	45/1269	367/19944	0.122615803814714	1.92706823583976	4.672694773108	1.84610549169804e-05	0.00183379812175339	0.00165501737939947	58512/6536/57549/5662/747/9746/41/56924/5170/112476/4355/2896/10882/4804/27092/57534/5064/5802/79414/57622/6253/6543/59284/84446/10505/3631/9762/7533/114794/23542/85358/9922/8927/3836/3184/9867/11346/57120/392617/392862/575/23237/116443/4851/2902	45
GO:0070382	GO:0070382	exocytic vesicle	34/1269	251/19944	0.135458167330677	2.1289028284027	4.69173238216578	2.52117246281909e-05	0.00214659826834311	0.00193732199774519	6536/9066/91683/114088/192683/9143/25837/51760/112476/9001/535/10966/201475/255057/5802/9545/23025/5864/4909/57030/6861/84446/525/9145/9922/8927/115827/9522/5799/203062/11094/2902/6855/537	34
GO:0099572	GO:0099572	postsynaptic specialization	46/1269	387/19944	0.118863049095607	1.86808877160188	4.49535769175485	3.2895298256795e-05	0.00245069972013123	0.00221177597489767	58512/6536/57549/5662/747/9746/41/2562/56924/5170/112476/57555/4355/4804/27092/57534/5064/5802/79414/57622/6253/6543/59284/84446/10505/3631/9762/22839/3745/114794/23542/85358/9922/8927/3836/3184/9867/11346/57120/392617/392862/575/23237/116443/4851/2902	46
GO:0014069	GO:0014069	postsynaptic density	42/1269	351/19944	0.11965811965812	1.88058434866946	4.33880169904785	6.11135072580038e-05	0.00404707225841892	0.00365251487822689	58512/6536/57549/5662/747/9746/41/56924/5170/112476/4355/4804/27092/57534/5064/5802/79414/57622/6253/6543/59284/84446/10505/3631/9762/114794/23542/85358/9922/8927/3836/3184/9867/11346/57120/392617/392862/575/23237/116443/4851/2902	42
GO:0005788	GO:0005788	endoplasmic reticulum lumen	39/1269	319/19944	0.122257053291536	1.92143000066698	4.32462652287635	6.9336697298305e-05	0.00413246715897898	0.00372958445467724	64856/1307/64175/1435/54507/57104/54972/80310/143888/10525/81029/79070/2159/2621/3990/5595/23491/10272/57719/1114/1292/140606/8542/7477/51246/3913/7474/56983/8974/340075/8635/56975/54905/3486/7425/136227/1191/51148/1289	39
GO:0043025	GO:0043025	neuronal cell body	53/1269	486/19944	0.109053497942387	1.71391880454134	4.15349418626718	8.94633611657487e-05	0.00462728229223894	0.00417615904509731	2563/2048/7798/57463/7042/26507/85442/3784/3746/9479/349667/25946/3798/4130/26470/29108/10381/146760/4804/57521/610/1943/5802/10382/3643/22983/6324/57731/7040/478/6543/54795/3748/59284/6861/10505/494513/3745/65078/83999/23542/214/54800/10815/6583/11346/90249/5754/22853/23237/116443/153090/445	53
GO:0030133	GO:0030133	transport vesicle	50/1269	451/19944	0.110864745011086	1.74238492868488	4.1569406747258	9.31667575618578e-05	0.00462728229223894	0.00417615904509731	6536/23057/3784/9066/91683/4135/114088/192683/9143/25837/51760/112476/283849/9001/535/4884/10966/201475/255057/5802/9545/23025/5864/4909/57030/6861/84446/525/9145/9922/8927/53834/2261/10427/115827/9522/51128/10802/2264/57120/10282/7425/5799/203062/51552/6836/11094/2902/6855/537	50
GO:0032809	GO:0032809	neuronal cell body membrane	8/1269	28/19944	0.285714285714286	4.4903748733536	4.81776687062532	0.000259259600977647	0.0113242811157411	0.0102202537091905	57463/3746/3643/478/3748/3745/90249/153090	8
GO:0060076	GO:0060076	excitatory synapse	13/1269	67/19944	0.194029850746269	3.04943368265058	4.3801764162221	0.000266006603389891	0.0113242811157411	0.0102202537091905	6536/2263/2775/57555/2896/10882/57030/7533/8927/392617/392862/2902/6855	13
GO:0045211	GO:0045211	postsynaptic membrane	37/1269	320/19944	0.115625	1.81719858156028	3.8415330695563	0.000323531039428713	0.0128549666333009	0.0116017095542507	2563/26232/2048/6536/57549/3746/1132/747/9746/41/2562/112476/2775/6553/57555/27092/5802/79414/57622/3748/59284/10505/3745/114794/3761/85358/10675/5364/27065/2149/392617/392862/286/23237/116443/4851/2902	37
GO:0030672	GO:0030672	synaptic vesicle membrane	21/1269	146/19944	0.143835616438356	2.26056543281842	3.98498702889767	0.000375331825613208	0.0131586922391454	0.011875824327452	6536/9066/91683/192683/9143/25837/112476/535/255057/5802/23025/5864/57030/6861/525/9145/8927/9522/5799/6855/537	21
GO:0099501	GO:0099501	exocytic vesicle membrane	21/1269	146/19944	0.143835616438356	2.26056543281842	3.98498702889767	0.000375331825613208	0.0131586922391454	0.011875824327452	6536/9066/91683/192683/9143/25837/112476/535/255057/5802/23025/5864/57030/6861/525/9145/8927/9522/5799/6855/537	21
GO:0097060	GO:0097060	synaptic membrane	47/1269	449/19944	0.10467706013363	1.64513734224202	3.60420497577839	0.000549073532405	0.0174024496497141	0.0157058491186929	2563/26232/2048/9783/6536/57549/3746/1132/9066/747/9746/41/2562/112476/2775/6553/57555/1949/23098/2064/27092/5064/5802/23025/79414/57622/3748/59284/10505/3745/114794/3761/85358/10675/5364/27065/2149/392617/392862/286/23237/116443/84628/4851/2902/8573/6855	47
GO:0044298	GO:0044298	cell body membrane	8/1269	31/19944	0.258064516129032	4.05582246625486	4.43850148949021	0.000554776079437195	0.0174024496497141	0.0157058491186929	57463/3746/3643/478/3748/3745/90249/153090	8
GO:0031256	GO:0031256	leading edge membrane	24/1269	185/19944	0.12972972972973	2.03887291546866	3.70050979342923	0.000701318477424836	0.0208992906272601	0.0188617758928469	5662/3746/747/59341/1464/6553/2064/4355/10966/610/23526/10297/3643/5141/3748/50649/6714/3745/90249/29993/286/7094/10044/83543	24
GO:0031253	GO:0031253	cell projection membrane	39/1269	361/19944	0.10803324099723	1.6978841280132	3.48813319908734	0.000867191874654014	0.0246117312997044	0.022212283105173	9249/9283/5662/3746/747/4891/59341/81693/1464/6553/2064/4355/10672/10966/610/5064/23526/10297/3643/5141/3748/5794/30845/50649/79901/6714/3745/85358/65010/54825/90249/29993/168507/6608/286/7094/10044/83543/8573	39
GO:0045178	GO:0045178	basal part of cell	35/1269	319/19944	0.109717868338558	1.72436025700883	3.39970217738773	0.00118871762885422	0.0322034412180506	0.0290638616432777	9132/6536/4070/481/254428/54805/3784/3636/23187/6539/4891/4035/540/10257/771/2064/5064/376497/6543/770/525/26504/23332/6526/3761/65010/6578/153478/6583/1832/222962/286/83481/360/8573	35
GO:0002116	GO:0002116	semaphorin receptor complex	5/1269	14/19944	0.357142857142857	5.612968591692	4.50076789134139	0.0012757093975584	0.032367804772804	0.0292122010577584	2064/23654/5364/5365/55558	5
GO:0042383	GO:0042383	sarcolemma	19/1269	139/19944	0.136690647482014	2.14827287106485	3.54128460606518	0.00130340153447533	0.032367804772804	0.0292122010577584	481/84033/113146/23336/124093/239/3880/27092/6324/6261/6253/6543/59284/6640/3745/1292/776/2318/286	19
