Geneid	HISAT2 on dataset 179 and 180: aligned reads (BAM)
100287102	0
653635	696
102466751	3
100302278	0
645520	0
79501	0
729737	29
102725121	6
102723897	447
102465909	1
729759	0
100132287	15
105378947	2
101928626	1
102465432	4
81399	0
100133331	63
100288069	101
400728	8
79854	15
643837	843
284593	0
100130417	6
148398	2
26155	6763
339451	486
84069	341
84808	118
57801	1726
9636	4371
375790	58992
105369174	33
105378948	41
401934	303
54991	851
254099	0
406984	5
406983	2
554210	4
254173	10
8784	10
7293	2
51150	13080
126792	2503
388581	30
118424	5279
6339	98
116983	2334
102465434	0
126789	1005
54973	4100
102465435	0
80772	3348
83756	58
1855	5393
102466740	0
54587	244
54998	10636
81669	3099
148413	1455
55052	3476
441869	1697
643965	0
102724312	42
64856	5106
219293	170
83858	1554
55210	4563
339453	76
29101	7832
643988	588
142678	1982
8510	24
984	5792
728661	5188
8511	0
728642	1213
9906	882
65220	4848
2782	11529
105378949	61
163688	6
339456	34
85452	3
2563	0
5590	1925
100506504	98
199990	2147
105378592	10
6497	4429
105378594	4
79906	468
100129534	107
11079	9037
5192	1034
9651	32
55229	22
388585	0
115110	6
8764	14
100996583	0
127281	34
79258	0
100287898	0
140625	0
440556	1
63976	31
100422968	0
27237	3400
1953	4393
693135	0
127262	6366
49856	1200
7161	786
57212	443
148870	0
388588	83
57470	4420
9731	2510
1677	394
339448	2761
100133612	47
728716	0
284661	0
55966	0
100616489	0
100616421	2
261734	604
8514	346
26038	23
6146	41950
102724450	5
388591	638
23463	8137
148645	211
390992	0
387509	7450
11332	4650
54626	883
83715	269
100422975	0
8718	349
57449	1523
79707	2024
80835	0
3104	680
9903	1967
148479	2592
90326	684
55735	3321
100505887	0
23261	2614
9341	9455
8863	955
10911	3
3604	20
11315	19259
54206	9985
102724539	2
50651	14
473	6407
102724552	6
2023	83625
102465436	1
100505975	4
765	2
155184	0
6518	241
80045	295
407040	1
9563	4073
80176	1853
100506022	8
84275	787
199953	1266
5293	100
644997	0
101929074	16
22883	22706
56998	4147
84328	2425
64802	1063
100847055	0
105376719	0
116362	0
10277	7001
23095	4059
100422970	0
5226	5866
100526739	0
378708	85
1325	1
1676	3672
5195	3171
54897	1195
148345	0
23435	12762
10747	44
6723	3157
5394	5194
2475	6861
100873935	0
10218	4
29914	1875
57540	45
101929181	0
26232	527
93611	323
26270	160
10459	2318
374946	6
57085	1027
284498	0
102724659	0
4524	1310
1185	1146
100379251	13
4878	19
4879	2
26829	6
90231	3685
5351	6111
9927	12038
60672	1274
102466982	0
943	12
102465836	0
7133	399
100616438	0
55187	6405
677885	5
9249	12772
102466722	10
343066	0
126767	4
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	3427
23254	222
200197	124
55092	2424
727684	1
114827	86
101927417	0
79180	18430
11330	0
63036	2
51032	6
842	853
23341	1113
79814	467
84301	934
6248	465
23207	5708
284723	35
388595	0
54751	4721
440567	526
729614	826
23013	11674
7709	1370
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	1
1969	32724
128272	543
101927546	1
79363	441
54455	2078
26099	22021
374955	0
55707	3282
114819	86
26871	2
100126512	0
100126517	0
102724970	5
100133301	0
7195	0
55672	1150
84809	764
11209	56
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	2
11223	8
100500876	0
100189298	0
7193	0
791226	2
9696	553
26870	1
4237	64
23400	5364
6390	5724
11240	21
29943	6100
51702	1022
100616188	0
23569	6
353238	0
55920	30492
55160	1348
81569	2
101927876	0
84966	0
127707	843
5081	814
80834	0
8659	1331
100616120	0
100302276	0
126917	10320
23352	17514
23065	6097
51154	4376
246181	3
22977	18
100506730	113
8574	3832
54896	959
832	31008
100532736	0
440574	5140
644068	25
4681	21
3362	6
255104	1041
54546	0
23252	2814
30814	2
5320	2
5322	0
26279	0
64600	5
391013	0
127733	30
101928017	2
