Geneid	HISAT2 on dataset 181 and 182: aligned reads (BAM)
100287102	0
653635	474
102466751	5
100302278	0
645520	0
79501	0
729737	190
102725121	10
102723897	297
102465909	0
729759	0
100132287	10
105378947	1
101928626	1
102465432	9
81399	0
100133331	91
100288069	144
400728	2
79854	103
643837	2535
284593	4
100130417	3
148398	20
26155	12717
339451	732
84069	174
84808	49
57801	2319
9636	4723
375790	6078
105369174	100
105378948	71
401934	174
54991	812
254099	23
406984	7
406983	7
554210	18
254173	34
8784	107
7293	21
51150	18911
126792	3214
388581	25
118424	8930
6339	83
116983	5682
102465434	0
126789	1424
54973	4101
102465435	0
80772	3524
83756	321
1855	7193
102466740	0
54587	231
54998	15844
81669	3920
148413	725
55052	6631
441869	0
643965	0
102724312	0
64856	152
219293	2352
83858	3434
55210	7923
339453	22
29101	7307
643988	6
142678	1009
8510	0
984	4390
728661	2496
8511	0
728642	1568
9906	1774
65220	4762
2782	19229
105378949	59
163688	4
339456	49
85452	0
2563	1
5590	603
100506504	27
199990	2482
105378592	2
6497	2405
105378594	10
79906	114
100129534	2
11079	6506
5192	898
9651	19
55229	28
388585	0
115110	2
8764	3
100996583	0
127281	15
79258	2
100287898	0
140625	0
440556	0
63976	13
100422968	0
27237	2753
1953	11
693135	0
127262	7125
49856	1778
7161	275
57212	376
148870	11
388588	6
57470	4877
9731	3445
1677	482
339448	1549
100133612	103
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	735
8514	5794
26038	93
6146	44513
102724450	2
388591	61
23463	3905
148645	19
390992	0
387509	343
11332	1850
54626	19
83715	5698
100422975	0
8718	979
57449	5567
79707	1973
80835	3
3104	1064
9903	2273
148479	1206
90326	436
55735	3912
100505887	0
23261	1911
9341	5665
8863	436
10911	0
3604	9
11315	21333
54206	19014
102724539	0
50651	49
473	8928
102724552	0
2023	127418
102465436	2
100505975	24
765	72
155184	2
6518	2
80045	4310
407040	0
9563	559
80176	2073
100506022	8
84275	2556
199953	1159
5293	45
644997	0
101929074	34
22883	9916
56998	383
84328	2329
64802	233
100847055	0
105376719	0
116362	0
10277	6053
23095	7524
100422970	0
5226	17076
100526739	0
378708	161
1325	6
1676	2571
5195	1670
54897	1334
148345	661
23435	12992
10747	49
6723	14277
5394	5181
2475	7901
100873935	0
10218	0
29914	2224
57540	18
101929181	6
26232	159
93611	328
26270	4
10459	2030
374946	2
57085	1170
284498	0
102724659	0
4524	1273
1185	802
100379251	22
4878	119
4879	2
26829	8
90231	6577
5351	4503
9927	10851
60672	1000
102466982	0
943	6
102465836	0
7133	92
100616438	0
55187	2789
677885	9
9249	262
102466722	0
343066	0
126767	0
93190	4
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
