Geneid	HISAT2 on dataset 183 and 184: aligned reads (BAM)
100287102	0
653635	428
102466751	0
100302278	0
645520	0
79501	0
729737	23
102725121	3
102723897	302
102465909	2
729759	0
100132287	16
105378947	1
101928626	0
102465432	12
81399	0
100133331	92
100288069	109
400728	5
79854	39
643837	388
284593	0
100130417	0
148398	38
26155	6662
339451	416
84069	1180
84808	448
57801	2129
9636	27295
375790	62717
105369174	245
105378948	41
401934	507
54991	979
254099	0
406984	3
406983	6
554210	5
254173	10
8784	1
7293	4
51150	10695
126792	1703
388581	22
118424	6122
6339	114
116983	900
102465434	0
126789	785
54973	3435
102465435	0
80772	3017
83756	146
1855	7351
102466740	0
54587	381
54998	9497
81669	4207
148413	1100
55052	3975
441869	0
643965	6
102724312	4
64856	36
219293	90
83858	2548
55210	3319
339453	22
29101	10275
643988	0
142678	1400
8510	3
984	3665
728661	3638
8511	0
728642	1717
9906	683
65220	5243
2782	12581
105378949	51
163688	0
339456	13
85452	1
2563	0
5590	1054
100506504	37
199990	2682
105378592	0
6497	2560
105378594	0
79906	498
100129534	138
11079	6367
5192	1319
9651	6
55229	23
388585	0
115110	2
8764	6
100996583	0
127281	12
79258	0
100287898	11
140625	0
440556	4
63976	182
100422968	0
27237	3004
1953	1043
693135	0
127262	2883
49856	1015
7161	231
57212	970
148870	4
388588	100
57470	3587
9731	1696
1677	98
339448	1341
100133612	170
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	583
8514	2557
26038	2
6146	29256
102724450	3
388591	865
23463	4194
148645	31
390992	0
387509	866
11332	2161
54626	18
83715	219
100422975	0
8718	266
57449	1429
79707	2002
80835	0
3104	570
9903	1867
148479	2291
90326	558
55735	3330
100505887	0
23261	2019
9341	5553
8863	1564
10911	0
3604	83
11315	14465
54206	30982
102724539	0
50651	1
473	3231
102724552	0
2023	106872
102465436	0
100505975	9
765	0
155184	0
6518	0
80045	50
407040	0
9563	1599
80176	615
100506022	6
84275	1113
199953	680
5293	51
644997	0
101929074	0
22883	17604
56998	5281
