Geneid	HISAT2 on dataset 197 and 198: aligned reads (BAM)
100287102	0
653635	464
102466751	6
100302278	0
645520	0
79501	0
729737	258
102725121	9
102723897	361
102465909	0
729759	0
100132287	18
105378947	2
101928626	2
102465432	11
81399	0
100133331	79
100288069	108
400728	21
79854	92
643837	3406
284593	13
100130417	24
148398	44
26155	10461
339451	909
84069	209
84808	79
57801	1877
9636	6571
375790	9955
105369174	123
105378948	124
401934	394
54991	1049
254099	24
406984	16
406983	25
554210	18
254173	35
8784	415
7293	68
51150	24723
126792	3705
388581	36
118424	8966
6339	127
116983	7088
102465434	0
126789	1504
54973	4364
102465435	0
80772	5195
83756	897
1855	7660
102466740	0
54587	257
54998	15980
81669	4196
148413	1033
55052	6303
441869	2
643965	0
102724312	1
64856	349
219293	2774
83858	3201
55210	5971
339453	26
29101	8027
643988	10
142678	1486
8510	0
984	4255
728661	4131
8511	5
728642	1419
9906	2631
65220	5846
2782	45118
105378949	77
163688	8
339456	41
85452	0
2563	0
5590	766
100506504	82
199990	3400
105378592	0
6497	2384
105378594	1
79906	128
100129534	8
11079	6291
5192	1064
9651	32
55229	37
388585	0
115110	4
8764	20
100996583	0
127281	11
79258	1
100287898	0
140625	0
440556	0
63976	24
100422968	0
27237	3583
1953	41
693135	0
127262	8105
49856	2377
7161	684
57212	452
148870	18
388588	3
57470	5072
9731	3782
1677	758
339448	1491
100133612	189
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	745
8514	6674
26038	121
6146	46325
102724450	15
388591	107
23463	8903
148645	27
390992	0
387509	831
11332	2338
54626	27
83715	6506
100422975	0
8718	1320
57449	8240
79707	1689
80835	6
3104	1190
9903	2198
148479	1305
90326	518
55735	3832
100505887	0
23261	2048
9341	5633
8863	830
10911	2
3604	16
11315	23073
54206	15284
102724539	0
50651	100
473	12421
102724552	1
2023	114893
102465436	2
100505975	17
765	158
155184	0
6518	9
80045	4595
407040	3
9563	985
80176	2135
100506022	22
84275	2488
