Geneid	HISAT2 on dataset 199 and 200: aligned reads (BAM)
100287102	0
653635	367
102466751	6
100302278	0
645520	0
79501	0
729737	12
102725121	1
102723897	271
102465909	0
729759	0
100132287	11
105378947	1
101928626	5
102465432	6
81399	0
100133331	42
100288069	111
400728	8
79854	24
643837	400
284593	4
100130417	7
148398	84
26155	5610
339451	465
84069	1335
84808	470
57801	2074
9636	21221
375790	64414
105369174	227
105378948	48
401934	440
54991	893
254099	0
406984	6
406983	0
554210	4
254173	20
8784	0
7293	6
51150	10734
126792	1847
388581	35
118424	5098
6339	156
116983	929
102465434	0
126789	897
54973	2779
102465435	0
80772	2993
83756	204
1855	6783
102466740	0
54587	595
54998	7167
81669	4565
148413	1354
55052	3633
441869	2
643965	5
102724312	3
64856	53
219293	118
83858	1776
55210	2364
339453	12
29101	8613
643988	0
142678	1312
8510	3
984	3380
728661	3561
8511	6
728642	1626
9906	655
65220	5216
2782	17586
105378949	78
163688	2
339456	29
85452	0
2563	0
5590	1140
100506504	38
199990	2446
105378592	2
6497	1971
105378594	6
79906	359
100129534	108
11079	5300
5192	1073
9651	15
55229	240
388585	0
115110	9
8764	101
100996583	0
127281	0
79258	0
100287898	8
140625	0
440556	3
63976	170
100422968	0
27237	2437
1953	1455
693135	0
127262	2661
49856	865
7161	353
57212	824
148870	4
388588	178
57470	2735
9731	1416
1677	93
339448	819
100133612	175
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	361
8514	2772
26038	6
6146	25623
102724450	17
388591	1110
23463	7531
148645	10
390992	0
387509	493
11332	2093
54626	14
83715	418
100422975	0
8718	247
57449	1325
79707	1160
80835	6
3104	563
9903	2387
148479	1866
90326	378
55735	2889
100505887	0
23261	1698
9341	4091
8863	1563
10911	0
3604	142
11315	12270
54206	8589
102724539	0
50651	6
473	2566
102724552	6
2023	87536
102465436	0
100505975	4
765	0
155184	0
6518	0
80045	66
407040	0
9563	2061
80176	793
100506022	5
84275	838
199953	793
5293	97
644997	0
101929074	6
22883	18523
56998	3373
84328	1411
64802	737
100847055	0
105376719	0
116362	1
10277	3692
23095	7093
100422970	0
5226	8156
100526739	0
378708	83
1325	2
1676	2625
5195	1719
54897	691
148345	0
23435	12381
10747	31
6723	4849
5394	3184
2475	5755
100873935	0
10218	2
29914	1352
57540	0
101929181	4
26232	1222
93611	1713
26270	1021
10459	1503
374946	0
57085	1931
284498	0
102724659	2
4524	1313
1185	978
100379251	13
4878	8
4879	23
26829	0
90231	4319
5351	3106
9927	6241
60672	1032
102466982	0
943	16
102465836	0
7133	10
100616438	0
55187	2714
677885	4
9249	749
102466722	0
343066	0
126767	0
93190	0
390999	0
