Geneid	HISAT2 on dataset 203 and 204: aligned reads (BAM)
100287102	0
653635	415
102466751	10
100302278	0
645520	0
79501	0
729737	0
102725121	0
102723897	460
102465909	2
729759	0
100132287	3
105378947	1
101928626	1
102465432	3
81399	0
100133331	93
100288069	128
400728	6
79854	111
643837	1052
284593	0
100130417	17
148398	113
26155	15155
339451	866
84069	965
84808	400
57801	1636
9636	2814
375790	37836
105369174	66
105378948	89
401934	651
54991	1485
254099	1
406984	3
406983	3
554210	2
254173	23
8784	52
7293	0
51150	20188
126792	4564
388581	57
118424	7005
6339	61
116983	2462
102465434	0
126789	2676
54973	4976
102465435	0
80772	4965
83756	172
1855	9234
102466740	0
54587	183
54998	12957
81669	4043
148413	1253
55052	7961
441869	15
643965	0
102724312	53
64856	12052
219293	43
83858	6136
55210	5725
339453	19
29101	11808
643988	552
142678	1473
8510	3
984	5006
728661	4945
8511	0
728642	1905
9906	1014
65220	6534
2782	31118
105378949	66
163688	15
339456	175
85452	2
2563	8
5590	3035
100506504	60
199990	4101
105378592	1
6497	5046
105378594	0
79906	311
100129534	8
11079	11214
5192	1615
9651	2
55229	25
388585	2
115110	0
8764	5
100996583	0
127281	72
79258	0
100287898	2
140625	0
440556	1
63976	29
100422968	0
27237	4216
1953	934
693135	0
127262	4924
49856	1485
7161	625
57212	277
148870	0
388588	223
57470	5261
9731	3530
1677	440
339448	2169
100133612	35
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	646
8514	137
26038	708
6146	51928
102724450	14
388591	823
23463	12688
148645	65
390992	0
387509	433
11332	2674
54626	11
83715	25
100422975	0
8718	36
57449	445
79707	2519
80835	7
3104	857
9903	3351
148479	2744
90326	1022
55735	6417
100505887	0
23261	3108
9341	9300
8863	3419
10911	0
3604	43
11315	23228
54206	55059
102724539	26
50651	616
473	5598
102724552	0
2023	127930
102465436	0
100505975	6
765	0
155184	0
6518	6
80045	765
407040	0
9563	1915
80176	2447
100506022	15
84275	2354
199953	2667
5293	452
644997	0
101929074	107
22883	24648
56998	3291
84328	2868
64802	1511
100847055	0
105376719	0
116362	26
10277	7766
23095	9996
100422970	0
5226	12626
100526739	0
378708	157
1325	8
1676	5529
5195	2867
54897	730
148345	0
23435	15332
10747	41
6723	11365
5394	6707
2475	11360
100873935	2
10218	0
29914	2424
57540	11
101929181	15
26232	7751
93611	2499
26270	1401
10459	2968
374946	0
57085	2336
284498	0
102724659	0
4524	1625
1185	813
100379251	4
4878	6
4879	4
26829	7
90231	6648
5351	9246
9927	15123
60672	1520
102466982	0
943	0
102465836	0
7133	63
100616438	0
55187	4639
677885	15
9249	312
102466722	0
343066	0
126767	0
93190	0
390999	2
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	2
7799	4539
23254	46
200197	94
55092	2768
727684	0
114827	2
101927417	0
79180	5711
11330	0
63036	0
51032	13
842	1193
23341	2857
79814	718
84301	1646
6248	803
23207	5603
284723	8
388595	2
54751	388
440567	437
729614	259
23013	11458
7709	2042
101928566	0
149563	0
27129	1
1187	2
1188	2
348487	41
1969	42949
128272	892
101927546	5
79363	440
54455	2821
26099	18532
374955	1
55707	3541
114819	88
26871	0
100126512	0
100126517	2
102724970	4
100133301	0
7195	0
55672	784
84809	325
11209	27
26869	1
729574	0
100126533	0
284729	18
100189045	0
102723383	0
6060	5
11223	8
100500876	0
100189298	0
7193	1
791226	0
9696	521
26870	8
4237	48
23400	6259
6390	8307
11240	4663
29943	63
51702	8
100616188	0
23569	108
353238	2
55920	38889
55160	2367
81569	9
101927876	0
84966	0
127707	18
5081	2
80834	0
8659	2117
100616120	0
100302276	0
126917	2383
23352	20684
23065	10485
51154	9577
246181	9
22977	26
100506730	159
8574	3213
54896	2105
832	22030
100532736	0
440574	6773
644068	22
4681	45
3362	0
255104	2118
54546	0
23252	1391
30814	0
5320	4
5322	2
26279	0
64600	63
391013	0
127733	227
101928017	37
127731	0
339505	0
55450	18550
79594	2358
163933	8
978	103
65018	980
102464833	0
100861548	283
1650	29299
57576	45
400745	336
50809	15678
8672	9452
100302155	0
1889	11468
100506801	4
84224	605
249	8
5909	989
84196	6216
401944	5
3339	18719
23436	0
10136	0
101928043	10
29092	606
998	33282
54361	264
100616433	0
9923	3167
2046	2
102466615	0
712	18
714	15
713	4
2048	2337
100616391	0
100422914	0
646262	0
729059	4
23028	11794
100422866	0
100616177	0
7798	6674
3352	2920
100996511	24
10236	26513
80818	1240
148898	61
6920	153
55616	734
1870	1580
101928163	6
3399	22011
259283	10
6135	56488
6924	8176
100506963	37
57095	2575
11313	9254
2582	5882
3155	1880
2517	2899
1269	0
100616492	0
55629	8432
10772	8435
127294	0
58985	42
163702	571
284632	0
57822	996
90529	542
57185	3183
100750325	0
11123	1804
100506985	226
400746	70
10250	9787
25932	10405
864	13
102465437	0
100616365	0
25949	3002
57035	1343
6007	14
23585	5373
6006	13
55219	2520
26119	2169
57134	10
57190	8031
56181	2482
646471	111
79000	1674
164091	13839
3925	13357
100500808	0
5051	2169
2134	138
7780	1564
105376910	102
84676	9
149420	974
79927	36
105376887	0
51042	5372
10256	2215
378807	0
101928303	18
64793	3180
83442	10429
91544	668
1043	4
55057	9164
257101	0
79727	12
79947	2715
101928324	9
3151	43215
6195	2319
100302190	0
101928728	310
8289	16023
55650	1804
84243	6130
2810	14678
54707	1228
63906	1404
10726	11682
8431	8
126695	1986
388610	725
115572	1676
6548	8008
23038	3689
84065	2807
644961	71
100887744	0
84958	813
9064	1408
8547	2
388611	1
2827	218
10163	16181
27245	4002
2268	2
2537	530
199870	660
23673	3172
5511	5233
677774	0
9473	39
6118	5776
27293	527
55113	1273
2140	2808
5724	102
22826	8425
93974	12157
83667	1786
54797	1004
65979	3903
1104	11712
8420	2579
6080	101
26768	65
54952	1630
85028	1105
692212	17
677838	140
677825	27
692073	40
115273	53
6883	2468
26824	4
10691	690
105376911	0
51441	7010
4985	2
2035	4004
399474	358
6429	8525
51102	1667
10076	2541
101928460	0
101929406	0
4146	22
100129196	45
7805	115
100616164	0
400748	0
9672	347
9698	10932
692234	9
692235	13
692200	0
79570	45
9410	4744
51538	3246
2170	16
347735	9342
149086	0
284551	0
64129	4946
3061	12
553115	3611
1307	22
576	565
100423028	6
90853	13
8073	58485
10657	15804
55116	1284
100847018	0
23633	12024
200081	10699
79140	846
56063	383
55721	364
149069	12
8668	19448
339483	33
84734	13
3932	10
3065	17041
65108	1460
100128071	11
81629	16
55108	3276
728116	34
653121	717
339487	1532
5928	6444
81493	55
57648	43823
8565	17170
64766	2063
252995	192
3208	23
113452	9199
127544	2600
204	17196
113451	59
55223	946
149076	3106
127550	3
1912	5294
100500853	2
101929464	21
7579	534
114784	0
127540	0
402779	0
84970	0
693137	0
2709	58
127534	20
2707	4931
2701	1
113444	3252
58512	119
653160	60
100506144	1519
9204	1433
79830	1853
6421	24244
9202	7053
79932	9896
23154	3722
339488	25
5690	18583
127703	1619
63967	3767
192670	1017
26523	3790
192669	2304
27285	6
54936	2005
1296	12
27095	5770
55700	30468
9967	17146
79729	961
55194	2003
83931	9194
84967	3376
127700	383
64960	10779
1441	188
2899	2
100422898	0
728431	68
80149	1664
102465438	0
64769	2909
100847010	0
79753	1574
7802	0
29889	7537
284654	0
54955	2256
55143	5359
284656	597
149175	9119
79693	2606
127687	4819
4520	3324
3633	1100
10946	8099
2275	545
51118	4083
5453	2
100500801	0
339442	0
64121	3351
100527950	1
26292	4
81025	0
54933	1159
79647	11486
4725	14000
23499	16098
643314	2004
105378950	7
353500	50
728448	13
8761	18014
101929516	3
677834	9
26508	56
84618	0
51440	4
10450	2851
656	126
64064	10
105378951	0
101929536	1
54802	1920
4610	621
84879	208
10487	26130
5538	10439
6018	2441
127391	4
10269	14616
1298	71
64744	2042
65243	134
339559	215
64789	679
127396	186
9783	22
100130557	37
4802	3707
407034	0
407031	0
9132	78
163732	6027
1503	13593
100507178	68
200172	108
22955	1309
100132074	1394
1907	0
59269	408
2981	4
2980	8
22887	5760
284716	297
84217	24
79717	4529
728621	27
10465	2538
4904	93469
149461	0
64175	2397
79078	771
100129924	4
374969	478
114625	526
51058	527
339539	0
6513	13236
440584	21
105378684	2
440585	25
10969	10868
102465439	0
149465	46
128218	2074
149466	629
7075	0
4352	4
991	17827
64834	18342
102466723	0
112950	2518
23334	2603
102465440	0
81888	2
5792	39554
9682	6154
100132774	53
6487	131
101929592	0
102464830	0
9048	12
9670	3022
1802	2676
533	8043
8704	3823
149473	369
6536	1301
128209	0
105378952	0
55929	2049
79033	3787
100874278	8
55182	4412
100847089	0
79639	583
339541	17
26828	3
26830	3
11004	5066
6202	65580
26811	56
94161	17
94162	18
94163	28
266675	58
1263	924
343521	14
149478	30
8643	20
8891	2865
79654	2229
7389	2467
57643	175
400752	26
84842	199
4595	734
114034	826
10420	279
126661	376
25974	1029
5052	47715
10327	2566
4678	11675
149483	34
60313	6691
728963	17
51249	2840
3652	1936
23139	7706
8503	2428
101929626	27
10103	938
55624	5973
541468	0
8438	1886
10489	6384
7388	18543
387338	2414
2166	934
729041	10
101929651	0
127343	45
100507423	5
148930	0
8569	2466
148932	1186
64756	4382
374973	0
100130197	0
9813	9390
1580	16
163720	0
1579	0
260293	27
199974	0
284541	2
100874253	16
10158	0
6886	8
6491	3273
51727	12223
102724077	6
2301	2
84793	70
2306	54
388630	0
391037	0
200010	0
54558	237
84871	0
79656	0
101929721	0
100874313	0
1996	0
63950	500
11124	5900
1031	1598
100616189	0
102466656	0
284546	0
26994	4304
22996	411
102724097	1
2060	7125
114883	10676
4898	16982
100313892	0
5865	135
51060	7047
112970	0
104355143	0
91408	5245
9372	2898
200014	5524
4998	2666
84950	4022
23318	4111
105378722	14
2882	505
348378	10
65260	2820
79699	2927
440590	267
55268	998
6342	7044
100616156	0
100616458	0
100616145	0
127435	8
6512	2
1376	2987
54987	1667
4116	3672
100507564	59
7804	2771
163742	0
63948	0
148979	0
105369175	0
55706	10698
54432	977
1733	0
51668	1866
115353	4780
388633	0
9528	13158
127428	1171
100616315	0
200008	0
606495	456
51253	13551
23648	1126
619518	12
26027	255
338094	14
374977	0
100527960	0
7268	31
25973	703
55001	1717
163747	2
1718	22608
100126514	0
199964	0
7809	0
255738	264
23358	11788
100507634	54
100616272	0
8613	882
5563	153
199920	0
731	0
732	0
1600	0
101926890	0
115209	1219
4070	38781
114803	2085
3725	20038
100131060	11
101926925	0
729467	2
55277	483
100616409	0
101926944	2
51361	8494
1573	12
127795	0
101926964	0
100996570	0
4774	947
645030	0
414927	0
83941	1087
10207	5177
100422902	0
100422946	0
54596	10
163782	3446
7398	10513
85440	5475
27329	0
84938	894
199899	2
100996301	12
27022	0
102464823	0
29929	1434
23421	821
84455	356
79469	6
5236	9173
4919	3252
101927034	0
148581	0
57685	100
100616338	0
55225	2904
3716	12618
101927084	2
105378775	3
100500854	2
406893	0
205	5113
9829	1433
54741	7069
3953	275
5142	2
101927139	0
84251	25
100422871	0
200132	0
10022	0
79819	273
57708	3442
23169	7079
400757	0
149233	0
3595	18
26135	49294
1647	2002
55970	5382
100289178	0
9077	10
79971	22
100302279	0
6121	0
55635	4687
101927220	4
57554	28
5301	0
55631	2052
9295	10760
81573	2881
11147	589
1491	305
101927244	0
5733	0
100132618	10
9406	5332
406962	1
100852410	16
257194	4
100852409	0
101927295	0
127255	79
100526835	0
8790	1194
51086	0
105378804	0
105378803	0
127254	0
101927320	0
1429	4673
127253	2985
431707	0
204962	282
34	3899
1744	26
5876	3193
692085	18
26805	6
26804	8
4438	1
127247	0
101927342	0
256435	2
81849	0
102466995	0
10026	3392
26289	0
26009	3228
23032	4284
374986	3263
374987	1
91624	195
8880	9802
11080	1197
54810	445
149047	0
5737	2
10964	0
10561	8
64123	0
101927412	0
23266	168
101927434	0
101927498	0
101927587	0
101927560	0
79739	234
5567	2011
148418	16
391051	0
58511	0
80135	3371
2787	7456
100505741	18
1486	1652
103695366	2
439927	0
117178	3274
23566	2
255231	284
55283	645
126820	8
100616481	0
84144	1395
148423	2209
8915	1739
646626	22
23576	9416
3491	9092
54680	4109
255631	0
57489	1074
102465842	0
9635	2
1179	0
22802	0
9629	0
105378828	29
51100	6271
9403	17096
9653	8771
339524	4
101927844	0
105378832	0
8543	934
100505768	0
101927891	10
5586	9996
2959	1498
56267	3535
494115	1517
2635	445
2633	10
2634	331
388646	29
115361	16
115362	7
729930	0
163351	0
400759	0
23507	5010
84230	1135
400761	19
55144	2999
105378846	2
492303	334
284695	5652
343472	0
84146	4184
164045	4
8317	2739
7049	5634
676	0
253152	194
646817	22
284697	77
23285	294
388649	1
11146	1824
79871	1427
2672	46
7813	2266
6125	57584
388650	132
6083	5
26782	9
22823	3489
50999	19377
343099	1176
100131564	163
1810	5548
54874	9723
100126520	0
8412	12695
100129046	25
100126348	0
100189133	46
30836	6694
2730	7220
24	84
9411	12852
5825	7225
2152	45671
