Geneid	HISAT2 on dataset 207 and 208: aligned reads (BAM)
100287102	0
653635	294
102466751	14
100302278	0
645520	0
79501	0
729737	70
102725121	0
102723897	400
102465909	0
729759	0
100132287	7
105378947	4
101928626	3
102465432	9
81399	0
100133331	85
100288069	166
400728	3
79854	105
643837	404
284593	0
100130417	70
148398	347
26155	15476
339451	847
84069	367
84808	157
57801	939
9636	2406
375790	22744
105369174	49
105378948	73
401934	6
54991	813
254099	0
406984	0
406983	0
554210	0
254173	0
8784	4
7293	6
51150	18261
126792	3260
388581	25
118424	4190
6339	641
116983	3577
102465434	0
126789	812
54973	6005
102465435	0
80772	2358
83756	314
1855	6368
102466740	0
54587	2684
54998	14089
81669	5336
148413	1787
55052	4079
441869	38
643965	192
102724312	42
64856	38
219293	11
83858	3230
55210	5182
339453	59
29101	9094
643988	1920
142678	2650
8510	8
984	5151
728661	4255
8511	34
728642	2777
9906	2845
65220	5539
2782	20830
105378949	77
163688	39
339456	329
85452	38
2563	4051
5590	4197
100506504	55
199990	4053
105378592	12
6497	5077
105378594	4
79906	681
100129534	330
11079	7647
5192	1697
9651	13
55229	161
388585	0
115110	0
8764	0
100996583	0
127281	29
79258	0
100287898	0
140625	2
440556	58
63976	1208
100422968	0
27237	410
1953	460
693135	0
127262	4705
49856	1337
7161	595
57212	243
148870	30
388588	39
57470	6556
9731	2791
1677	384
339448	1966
100133612	30
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	1181
8514	1275
26038	3567
6146	52795
102724450	19
388591	1108
23463	8375
148645	46
390992	2
387509	768
11332	6578
54626	308
83715	202
100422975	0
8718	240
57449	1623
79707	2388
80835	6
3104	1138
9903	2671
148479	3796
90326	822
55735	5667
100505887	0
23261	5705
9341	8791
8863	3399
10911	4
3604	67
11315	28851
54206	33452
102724539	16
50651	2723
473	6970
102724552	0
2023	150830
102465436	0
100505975	5
765	0
155184	4
6518	0
80045	399
407040	0
9563	10315
80176	6145
100506022	69
84275	1571
199953	2634
5293	1301
644997	0
101929074	0
22883	23284
56998	1488
84328	1531
64802	1609
100847055	0
105376719	1
116362	65
10277	7918
23095	9939
100422970	0
5226	16494
100526739	0
378708	94
1325	17
1676	6391
5195	2790
54897	3884
148345	6
23435	11953
10747	92
6723	5955
5394	6811
2475	13750
100873935	0
10218	8
29914	2359
57540	460
101929181	0
26232	5448
93611	4501
26270	998
10459	4766
374946	0
57085	5299
284498	0
102724659	0
4524	1876
1185	1510
100379251	3
4878	5
4879	4
26829	7
90231	5348
5351	22262
9927	12229
60672	1213
102466982	0
943	10
102465836	0
7133	2304
100616438	0
55187	6445
677885	4
9249	6906
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	2286
23254	861
200197	2
55092	578
727684	0
114827	4
101927417	0
79180	4645
11330	0
63036	0
51032	3
842	1223
23341	3953
79814	14
84301	595
6248	330
23207	6408
284723	43
388595	0
54751	834
440567	428
729614	449
23013	8591
7709	1705
101928566	0
149563	0
27129	0
1187	1
1188	0
348487	300
1969	7253
128272	2155
101927546	19
79363	379
54455	2692
26099	15859
374955	2
55707	4246
114819	215
26871	11
100126512	1
100126517	0
102724970	0
100133301	0
7195	0
55672	1745
84809	923
11209	60
26869	4
729574	0
100126533	0
284729	1
100189045	0
102723383	0
6060	6
11223	22
100500876	0
100189298	0
7193	0
791226	0
9696	2838
26870	8
4237	2
23400	4056
6390	7441
11240	29
29943	0
51702	118
100616188	0
23569	0
353238	0
55920	17207
55160	832
81569	8
101927876	0
84966	0
127707	6
5081	0
80834	0
8659	5672
100616120	0
100302276	0
126917	2683
23352	19271
23065	11664
51154	3829
246181	7
22977	11
100506730	203
8574	4830
54896	1523
832	22941
100532736	0
440574	5422
644068	34
4681	26
3362	660
255104	1154
54546	0
23252	1852
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	357
79594	2417
163933	0
978	1363
65018	3304
102464833	0
100861548	305
1650	28999
57576	93
400745	513
50809	16377
8672	10362
100302155	0
1889	17375
100506801	2
84224	759
249	0
5909	526
84196	4417
401944	1
3339	9257
23436	0
10136	0
101928043	8
29092	375
998	19435
54361	29
100616433	0
9923	2488
2046	146
102466615	0
712	0
714	0
713	0
2048	1875
100616391	0
100422914	0
646262	0
729059	8
23028	11061
100422866	0
100616177	0
7798	2183
3352	14
100996511	17
10236	14330
80818	938
148898	97
6920	19
55616	1270
1870	833
101928163	0
3399	14035
259283	9
6135	50811
6924	4949
100506963	25
57095	1683
11313	5229
2582	2016
3155	2372
2517	1213
1269	0
100616492	0
55629	8335
10772	6437
127294	21
58985	2
163702	206
284632	0
57822	11
90529	412
57185	1845
100750325	4
11123	730
100506985	88
400746	2
10250	7986
25932	8368
864	0
102465437	0
100616365	0
25949	3517
57035	1040
6007	2
23585	4516
6006	16
55219	1501
26119	970
57134	191
57190	13291
56181	1392
646471	156
79000	333
164091	2705
3925	20495
100500808	5
5051	531
2134	64
7780	2
105376910	0
84676	0
149420	479
79927	21
105376887	2
51042	1855
10256	18
378807	0
101928303	0
64793	1343
83442	5360
91544	404
1043	9
55057	16
257101	0
79727	16
79947	1695
101928324	2
3151	28123
6195	2450
100302190	0
101928728	152
8289	4514
55650	1127
84243	2622
2810	818
54707	1003
63906	794
10726	9814
8431	0
126695	2
388610	89
115572	259
6548	4274
23038	3196
84065	1459
644961	7
100887744	0
84958	1080
9064	1517
8547	4
388611	0
2827	104
10163	14656
27245	2663
2268	1
2537	2862
199870	522
23673	1392
5511	2989
677774	0
9473	343
6118	2543
27293	16
55113	0
2140	1558
5724	11
22826	10401
93974	10842
83667	3505
54797	508
65979	3518
1104	8310
8420	3395
6080	114
26768	65
54952	1137
85028	729
692212	8
677838	113
677825	36
692073	52
115273	9
6883	2752
26824	14
10691	581
105376911	2
51441	7629
4985	0
2035	6760
399474	88
6429	10078
51102	1333
10076	1077
101928460	0
101929406	0
4146	9
100129196	54
7805	23
100616164	0
400748	0
9672	8643
9698	11041
692234	1
692235	3
692200	0
79570	450
9410	4394
51538	2536
2170	16
347735	340
149086	0
284551	0
64129	14
3061	0
553115	2007
1307	11
576	908
100423028	0
90853	114
8073	16957
10657	23530
55116	1888
100847018	0
23633	10750
200081	10065
79140	1000
56063	240
55721	262
149069	10
8668	22488
339483	19
84734	21
3932	0
3065	22789
65108	9831
100128071	35
81629	121
55108	2156
728116	0
653121	670
339487	1743
5928	7914
81493	62
57648	2933
8565	10661
64766	2040
252995	506
3208	25
113452	2989
127544	1613
204	15925
113451	554
55223	538
149076	1604
127550	1
1912	2520
100500853	0
101929464	6
7579	703
114784	0
127540	0
402779	0
84970	0
693137	0
2709	727
127534	12
2707	44
2701	0
113444	2578
58512	1036
653160	92
100506144	1839
9204	1434
79830	2301
6421	25480
9202	8463
79932	8385
23154	3555
339488	43
5690	9760
127703	2399
63967	3123
192670	1438
26523	3743
192669	2048
27285	8
54936	1565
1296	24
27095	3965
55700	20273
9967	21576
79729	277
55194	1061
83931	4894
84967	1533
127700	609
64960	6962
1441	11
2899	0
100422898	0
728431	50
80149	353
102465438	0
64769	2522
100847010	4
79753	2097
7802	0
29889	5066
284654	48
54955	1454
55143	4740
284656	761
149175	5986
79693	1197
127687	2670
4520	2630
3633	1574
10946	11369
2275	726
51118	2509
5453	6
100500801	0
339442	0
64121	3025
100527950	6
26292	6
81025	0
54933	331
79647	9023
4725	12622
23499	10116
643314	1041
105378950	0
353500	54
728448	2
8761	19725
101929516	7
677834	26
26508	143
84618	26
51440	90
10450	2798
656	674
64064	28
105378951	3
101929536	6
54802	818
4610	137
84879	145
10487	18234
5538	12512
6018	2297
127391	0
10269	9872
1298	22
64744	1887
65243	381
339559	329
64789	908
127396	225
9783	1234
100130557	85
4802	1690
407034	0
407031	0
9132	474
163732	625
1503	3307
100507178	38
200172	29
22955	1085
100132074	337
1907	18
59269	3118
2981	0
2980	0
22887	4588
284716	560
84217	246
79717	3245
728621	35
10465	2489
4904	167418
149461	0
64175	10153
79078	855
100129924	22
374969	364
114625	626
51058	548
339539	3
6513	3692
440584	13
105378684	2
440585	70
10969	9880
