Geneid	HISAT2 on dataset 177 and 178: aligned reads (BAM)
100287102	0
653635	415
102466751	0
100302278	0
645520	0
79501	0
729737	771
102725121	3
102723897	248
102465909	0
729759	0
100132287	12
105378947	4
101928626	2
102465432	8
81399	0
100133331	98
100288069	186
400728	1
79854	21
643837	374
284593	1
100130417	11
148398	58
26155	6541
339451	355
84069	502
84808	233
57801	2148
9636	19884
375790	81215
105369174	113
105378948	91
401934	474
54991	1357
254099	2
406984	0
406983	1
554210	5
254173	29
8784	2
7293	4
51150	11955
126792	2101
388581	31
118424	3738
6339	136
116983	1859
102465434	0
126789	981
54973	3966
102465435	0
80772	2994
83756	126
1855	6803
102466740	0
54587	645
54998	7932
81669	2054
148413	807
55052	3122
441869	2
643965	2
102724312	36
64856	8091
219293	438
83858	1748
55210	4673
339453	42
29101	6471
643988	434
142678	1029
8510	8
984	3154
728661	2865
8511	7
728642	858
9906	301
65220	3664
2782	8950
105378949	11
163688	0
339456	38
85452	0
2563	22
5590	2126
100506504	70
199990	1472
105378592	0
6497	3503
105378594	0
79906	492
100129534	130
11079	6973
5192	1012
9651	9
55229	61
388585	0
115110	2
8764	16
100996583	0
127281	40
79258	0
100287898	0
140625	0
440556	2
63976	26
100422968	0
27237	1811
1953	1920
693135	0
127262	3435
49856	890
7161	941
57212	18
148870	11
388588	17
57470	3809
9731	2266
1677	317
339448	1840
100133612	17
728716	0
284661	0
55966	0
100616489	0
100616421	1
261734	606
8514	1382
26038	20
6146	23719
102724450	7
388591	783
23463	5698
148645	82
390992	0
387509	332
11332	3520
54626	8
83715	48
100422975	0
8718	116
57449	430
79707	1374
80835	2
3104	492
9903	1638
148479	2218
90326	363
55735	3258
100505887	0
23261	1599
9341	6266
8863	2850
10911	0
3604	2
11315	12466
54206	11986
102724539	7
50651	29
473	3226
102724552	1
2023	68247
102465436	0
100505975	0
765	0
155184	0
6518	2
80045	332
407040	2
9563	2416
80176	1637
100506022	20
84275	975
199953	1353
5293	127
644997	0
101929074	39
22883	21024
56998	4113
84328	1709
64802	505
100847055	0
105376719	0
116362	18
10277	4308
23095	4228
100422970	0
5226	13329
100526739	0
378708	99
1325	10
1676	3534
5195	2066
54897	1030
148345	0
23435	10187
10747	26
6723	4207
5394	3087
2475	5829
100873935	0
10218	0
29914	1303
57540	2
101929181	2
26232	1770
93611	1000
26270	235
10459	2185
374946	3
57085	1605
284498	2
102724659	0
4524	1532
1185	775
100379251	4
4878	9
4879	0
26829	0
90231	4543
5351	5092
9927	9605
60672	1202
102466982	0
943	6
102465836	0
7133	1079
100616438	0
55187	3639
677885	8
9249	10842
102466722	6
343066	0
126767	0
93190	0
390999	0
65121	2
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	1725
23254	1029
200197	96
55092	1115
727684	0
114827	9
101927417	4
79180	9414
11330	1
63036	0
51032	7
842	606
23341	1053
79814	467
84301	882
6248	418
23207	4275
284723	57
388595	0
54751	4153
440567	447
729614	303
23013	10016
7709	1036
101928566	0
149563	0
27129	2
1187	3
1188	2
348487	36
1969	29767
128272	395
101927546	18
79363	361
54455	1386
26099	14808
374955	0
55707	2102
114819	42
26871	2
100126512	5
100126517	2
102724970	0
100133301	0
7195	0
55672	850
84809	328
11209	19
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	4
11223	14
100500876	0
100189298	0
7193	0
791226	0
9696	259
26870	1
4237	6
23400	5868
6390	3832
11240	21
29943	9133
51702	102
100616188	0
23569	2
353238	0
55920	23987
55160	1564
81569	2
101927876	0
84966	0
127707	140
5081	2
80834	0
8659	1483
100616120	0
100302276	0
126917	10248
23352	13142
23065	7618
51154	4384
246181	2
22977	15
100506730	79
8574	2939
54896	1320
832	16812
100532736	0
440574	3687
644068	19
4681	68
3362	1
255104	969
54546	0
23252	948
30814	0
5320	0
5322	2
26279	0
64600	8
391013	0
127733	30
101928017	0
127731	2
339505	0
55450	7178
79594	2622
163933	0
978	2765
65018	606
102464833	0
100861548	166
1650	20752
57576	2
400745	106
50809	9997
8672	6168
100302155	0
1889	12677
100506801	11
84224	364
249	0
5909	473
84196	3850
401944	33
3339	60829
23436	72
10136	27
101928043	12
29092	213
998	26374
54361	694
100616433	0
9923	2009
2046	0
102466615	0
712	12
714	13
713	8
2048	7013
100616391	0
100422914	1
646262	0
729059	3
23028	16239
100422866	0
100616177	0
7798	2710
3352	639
100996511	16
10236	16966
80818	594
148898	30
6920	120
55616	357
1870	1110
101928163	0
3399	40
259283	0
6135	31982
6924	3861
100506963	14
57095	2488
11313	6059
2582	5962
3155	1788
2517	2800
1269	0
100616492	0
55629	6808
10772	7438
127294	0
58985	278
163702	473
284632	0
57822	268
90529	439
57185	2156
100750325	2
11123	385
100506985	36
400746	38
10250	5258
25932	2912
864	2
102465437	0
100616365	0
25949	2124
57035	856
6007	0
23585	3277
6006	31
55219	1690
26119	1599
57134	102
57190	5960
56181	561
646471	43
79000	856
164091	3284
3925	12831
100500808	0
5051	1551
2134	10
7780	0
105376910	0
84676	0
149420	504
79927	6
105376887	0
51042	610
10256	601
378807	0
101928303	0
64793	1071
83442	5452
91544	389
1043	10
55057	1557
257101	0
79727	0
79947	919
101928324	4
3151	15735
6195	2073
100302190	0
101928728	131
8289	4782
55650	451
84243	1554
2810	8471
54707	638
63906	491
10726	5433
8431	0
126695	555
388610	3024
115572	771
6548	1347
23038	1461
84065	848
644961	10
100887744	0
84958	770
9064	467
8547	2
388611	2
2827	44
10163	7086
27245	1378
2268	5
2537	10125
199870	313
23673	2292
5511	3049
677774	2
9473	20
6118	2937
27293	707
55113	665
2140	1282
5724	2020
22826	7109
93974	8952
83667	1649
54797	510
65979	2110
1104	6661
8420	839
6080	23
26768	12
54952	869
85028	429
692212	3
677838	43
677825	9
692073	11
115273	80
6883	1224
26824	3
10691	532
105376911	0
51441	3984
4985	0
2035	2782
399474	21
6429	6859
51102	1436
10076	12577
101928460	8
101929406	0
4146	18
100129196	109
7805	1244
100616164	1
400748	0
9672	1699
9698	8472
692234	5
692235	2
692200	0
79570	8
9410	3663
51538	3249
2170	9
347735	8745
149086	2
284551	2
64129	63167
3061	6
553115	3997
1307	52
576	718
100423028	0
90853	368
8073	19927
10657	15697
55116	1365
100847018	0
23633	9557
200081	6352
79140	178
56063	441
55721	330
149069	10
8668	17188
339483	58
84734	15
3932	191
3065	19548
65108	3116
100128071	44
81629	112
55108	3785
728116	0
653121	609
339487	1768
5928	6839
81493	16
57648	39765
8565	14074
64766	2001
252995	50
3208	31
113452	5793
127544	4870
204	20283
113451	147
55223	547
149076	2427
127550	2
1912	5953
100500853	1
101929464	3
7579	649
114784	0
127540	0
402779	0
84970	0
693137	0
2709	201
127534	738
2707	5184
2701	2
113444	2243
58512	24
653160	48
100506144	1898
9204	791
79830	1334
6421	25496
9202	5655
79932	7626
23154	3588
339488	44
5690	19221
127703	1011
63967	3384
192670	745
26523	4568
192669	1538
27285	6
54936	2871
1296	6
27095	4041
55700	21830
9967	12796
79729	74
55194	104
83931	6669
84967	2109
127700	132
64960	8304
1441	21
2899	0
100422898	0
728431	311
80149	1764
102465438	4
64769	3300
100847010	0
79753	1636
7802	0
29889	4270
284654	0
54955	1503
55143	7068
284656	651
149175	8383
79693	2104
127687	5284
4520	2582
3633	1053
10946	8750
2275	634
51118	2783
5453	4
100500801	0
339442	0
64121	3069
100527950	0
26292	3
81025	0
54933	2119
79647	9197
4725	8467
23499	16722
643314	5129
105378950	2
353500	68
728448	9
8761	13492
101929516	0
677834	6
26508	10
84618	0
51440	2
10450	2627
656	716
64064	12
105378951	3
101929536	6
54802	820
4610	52
84879	198
10487	25254
5538	19519
6018	2251
127391	0
10269	11883
1298	121
64744	2042
65243	112
339559	351
64789	1078
127396	174
9783	208
100130557	34
4802	2087
407034	0
407031	0
9132	297
163732	7476
1503	11379
100507178	50
200172	49
22955	1841
100132074	252
1907	15
59269	1378
2981	4
2980	36
22887	3777
284716	488
84217	18
79717	2898
728621	71
10465	2531
4904	100858
149461	6
64175	2277
79078	732
100129924	16
374969	420
114625	820
51058	402
339539	6
6513	38091
440584	87
105378684	44
440585	6
10969	15534
102465439	0
149465	82
128218	2527
149466	878
7075	2
4352	34
991	18126
64834	11630
102466723	0
112950	2730
23334	2438
102465440	0
81888	20
5792	45992
9682	3369
100132774	56
6487	551
101929592	0
102464830	0
9048	90
9670	2232
1802	3424
533	5354
8704	5178
149473	543
6536	1366
128209	0
105378952	0
55929	1122
79033	4390
100874278	7
55182	5329
100847089	0
79639	781
339541	28
26828	0
26830	2
11004	8751
6202	59335
26811	34
94161	11
94162	3
94163	36
266675	46
1263	639
343521	27
149478	92
8643	18
8891	1588
79654	3335
7389	2776
57643	132
400752	8
84842	186
4595	942
114034	1235
10420	213
126661	248
25974	595
5052	34686
10327	3886
4678	10479
149483	44
60313	5888
728963	11
51249	1673
3652	755
23139	4741
8503	1567
101929626	14
10103	5771
55624	4220
541468	0
8438	1652
10489	4633
7388	15050
387338	1529
2166	678
729041	6
101929651	0
127343	1178
100507423	7
148930	0
8569	1520
148932	1541
64756	3662
374973	4
100130197	2
9813	17493
1580	16
163720	0
1579	0
260293	6
199974	6
284541	2
100874253	43
10158	279
6886	12
6491	4768
51727	14810
102724077	51
2301	2
84793	270
2306	752
388630	58
391037	0
200010	0
54558	109
84871	0
79656	0
101929721	0
100874313	0
1996	0
63950	2
11124	4480
1031	3350
100616189	0
102466656	0
284546	0
26994	6791
22996	1163
102724097	2
2060	4625
114883	6036
4898	13244
100313892	0
5865	43
51060	7406
112970	0
104355143	2
91408	6440
9372	814
200014	3739
4998	2405
84950	5390
23318	2007
105378722	14
2882	12
348378	0
65260	2053
79699	2667
440590	14
55268	1702
6342	11943
100616156	0
100616458	0
100616145	0
127435	238
6512	90
1376	3018
54987	1116
4116	3607
100507564	47
7804	7764
163742	0
63948	0
148979	0
105369175	0
55706	4979
54432	1468
1733	11
51668	3137
115353	5637
388633	65
9528	11524
127428	1355
100616315	0
200008	0
606495	611
51253	13494
23648	1601
619518	0
26027	1118
338094	32
374977	3
100527960	0
7268	36
25973	748
55001	3563
163747	69
1718	46582
100126514	0
199964	69
7809	0
255738	2653
23358	7894
100507634	66
100616272	0
8613	1113
5563	2408
199920	0
731	0
732	0
1600	3
101926890	0
115209	976
4070	80527
114803	1492
3725	17697
100131060	24
101926925	14
729467	0
55277	425
100616409	0
101926944	0
51361	5488
1573	174
127795	0
101926964	0
100996570	0
4774	1196
645030	0
414927	0
83941	1592
10207	4515
100422902	0
100422946	0
54596	2
163782	46
7398	7755
85440	3479
27329	0
84938	819
199899	0
100996301	70
27022	10
102464823	0
29929	753
23421	1817
84455	436
79469	7
5236	5738
4919	5646
101927034	14
148581	2
57685	228
100616338	0
55225	1534
3716	7487
101927084	0
105378775	0
100500854	0
406893	0
205	9808
9829	391
54741	3240
3953	338
5142	12
101927139	0
84251	0
100422871	0
200132	0
10022	0
79819	90
57708	2875
23169	1708
400757	0
149233	0
3595	3
26135	48085
1647	4951
55970	10705
100289178	8
9077	14657
79971	2510
100302279	0
6121	599
55635	5945
101927220	19
57554	35
5301	0
55631	2413
9295	7960
81573	2405
11147	530
1491	336
101927244	0
5733	2
100132618	10
9406	4256
406962	1
100852410	0
257194	62
100852409	0
101927295	0
127255	73
100526835	0
8790	830
51086	0
105378804	0
105378803	0
127254	2
101927320	0
1429	2316
127253	1393
431707	0
204962	611
34	2806
1744	15
5876	2785
692085	16
26805	13
26804	5
4438	0
127247	0
101927342	0
256435	7
81849	65
102466995	0
10026	2967
26289	0
26009	2926
23032	4998
374986	4600
374987	10
91624	394
8880	9773
11080	1388
54810	141
149047	0
5737	0
10964	2381
10561	4019
64123	0
101927412	0
23266	6252
101927434	0
101927498	2
101927587	2
101927560	0
79739	120
5567	3857
148418	52
391051	0
58511	0
80135	3274
2787	8253
100505741	6
1486	1301
103695366	0
439927	0
117178	2893
23566	0
255231	112
55283	613
126820	6
100616481	0
84144	455
148423	2459
8915	3324
646626	13
23576	10159
3491	14423
54680	2963
255631	4
57489	680
102465842	0
9635	2
1179	0
22802	2
9629	4
105378828	48
51100	6190
9403	12933
9653	11137
339524	36
101927844	0
105378832	0
8543	7946
100505768	0
101927891	7
5586	11711
2959	1800
56267	1476
494115	2570
2635	7528
2633	5525
2634	1227
388646	2
115361	1874
115362	7
729930	0
163351	0
400759	6
23507	1748
84230	559
400761	4
55144	3120
105378846	0
492303	452
284695	2777
343472	0
84146	1877
164045	0
8317	1209
7049	2334
676	0
253152	756
646817	43
284697	81
23285	243
388649	2
11146	679
79871	778
2672	105
7813	1478
6125	42650
388650	613
6083	2
26782	5
22823	2035
50999	14008
343099	768
100131564	81
1810	5072
54874	2604
100126520	0
8412	2931
100129046	2
100126348	0
100189133	6
30836	4906
2730	5785
24	2
9411	1444
5825	4183
2152	53604
101928079	279
100616321	0
126969	1572
