Geneid	HISAT2 on dataset 185 and 186: aligned reads (BAM)
100287102	0
653635	397
102466751	9
100302278	0
645520	0
79501	0
729737	13
102725121	1
102723897	332
102465909	0
729759	0
100132287	1
105378947	3
101928626	11
102465432	3
81399	0
100133331	74
100288069	150
400728	17
79854	23
643837	1472
284593	2
100130417	61
148398	453
26155	14247
339451	895
84069	194
84808	94
57801	1185
9636	4991
375790	9922
105369174	18
105378948	14
401934	0
54991	923
254099	0
406984	0
406983	0
554210	0
254173	2
8784	73
7293	2
51150	16827
126792	4747
388581	1178
118424	6580
6339	358
116983	753
102465434	0
126789	798
54973	4198
102465435	0
80772	4233
83756	92
1855	11313
102466740	0
54587	8287
54998	15534
81669	2355
148413	1583
55052	4986
441869	97
643965	904
102724312	340
64856	25164
219293	139
83858	3554
55210	3506
339453	99
29101	13467
643988	1160
142678	1540
8510	9
984	4378
728661	7129
8511	11
728642	2938
9906	1723
65220	4866
2782	14419
105378949	23
163688	4
339456	41
85452	2
2563	93
5590	1186
100506504	52
199990	4597
105378592	17
6497	8897
105378594	0
79906	798
100129534	110
11079	9357
5192	1891
9651	86
55229	18
388585	0
115110	0
8764	2
100996583	0
127281	64
79258	0
100287898	0
140625	0
440556	156
63976	2317
100422968	0
27237	421
1953	475
693135	0
127262	8732
49856	1358
7161	271
57212	2661
148870	4
388588	329
57470	5042
9731	2594
1677	273
339448	3036
100133612	104
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	1053
8514	1276
26038	7892
6146	37538
102724450	2
388591	559
23463	5108
148645	206
390992	0
387509	314
11332	6858
54626	417
83715	166
100422975	0
8718	28
57449	177
79707	3293
80835	3
3104	926
9903	2718
148479	4451
90326	1476
55735	5629
100505887	0
23261	2385
9341	10995
8863	1365
10911	0
3604	52
11315	24077
54206	46533
102724539	14
50651	551
473	26167
102724552	3
2023	156765
102465436	1
100505975	6
765	0
155184	0
6518	2
80045	1280
407040	1
9563	6861
80176	3292
100506022	53
84275	3013
199953	1512
5293	971
644997	2
101929074	438
22883	18708
56998	4417
84328	4125
64802	1314
100847055	0
105376719	0
116362	936
10277	10568
23095	9654
100422970	0
5226	15780
100526739	0
378708	232
1325	2
1676	7000
5195	3881
54897	3749
148345	4
23435	11683
10747	37
6723	9110
5394	5785
2475	13012
100873935	0
10218	3
29914	2642
57540	63
101929181	6
26232	9176
93611	2176
26270	2403
10459	2969
374946	9
57085	2646
284498	0
102724659	0
4524	2573
1185	1022
100379251	14
4878	33
4879	2
26829	5
90231	6794
5351	13335
9927	14824
60672	2953
102466982	0
943	22
102465836	0
7133	866
100616438	0
55187	5833
677885	8
9249	7726
102466722	1
343066	0
126767	2
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	3878
23254	195
200197	11
55092	1410
727684	0
114827	20
101927417	0
79180	9932
11330	0
63036	0
51032	9
842	1203
23341	3566
79814	682
84301	1577
6248	774
23207	6271
284723	25
388595	0
54751	125
440567	686
729614	351
23013	10957
7709	1971
101928566	0
149563	0
27129	4
1187	6
1188	2
348487	46
1969	24121
128272	697
101927546	11
79363	871
54455	2646
26099	23146
374955	1
55707	4497
114819	137
26871	0
100126512	4
100126517	1
102724970	15
100133301	0
7195	0
55672	1871
84809	802
11209	74
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	11
100500876	0
100189298	0
7193	0
791226	7
9696	458
26870	0
4237	89
23400	3412
6390	7913
11240	11146
29943	113
51702	45
100616188	0
23569	6
353238	0
55920	21476
55160	299
81569	6
101927876	0
84966	0
127707	0
5081	9
80834	0
8659	2417
100616120	0
100302276	0
126917	8855
23352	23233
23065	14319
51154	6987
246181	8
22977	83
100506730	65
8574	5130
54896	2608
832	41573
100532736	0
440574	6232
644068	17
4681	95
3362	2
255104	480
54546	0
23252	1221
30814	0
5320	4
5322	3
26279	0
64600	0
391013	0
127733	2
101928017	0
127731	0
339505	0
55450	354
79594	2806
163933	514
978	42
65018	1033
102464833	0
100861548	172
1650	19253
57576	201
400745	931
50809	19434
8672	13773
100302155	0
1889	13840
100506801	0
84224	676
249	57
5909	509
84196	7066
401944	7
3339	30503
23436	3
10136	1
101928043	18
29092	770
998	28206
54361	153
100616433	0
9923	5746
2046	5
102466615	0
712	10
714	17
713	1
2048	2252
100616391	0
100422914	0
646262	0
729059	6
23028	6127
100422866	0
100616177	0
7798	4593
3352	200
100996511	14
10236	20584
80818	1419
148898	13
6920	757
55616	1108
1870	666
101928163	0
3399	1771
259283	0
6135	49637
6924	8611
100506963	18
57095	4081
11313	6256
2582	5374
3155	1976
2517	1129
1269	4
100616492	0
55629	9197
10772	8903
127294	4
58985	99
163702	91
284632	0
57822	489
90529	960
57185	1172
100750325	1
11123	1446
100506985	143
400746	22
10250	7310
25932	11535
864	12
102465437	0
100616365	0
25949	3990
57035	800
6007	19
23585	4960
6006	25
55219	2143
26119	1778
