Geneid	HISAT2 on dataset 187 and 188: aligned reads (BAM)
100287102	0
653635	454
102466751	10
100302278	0
645520	0
79501	0
729737	4
102725121	5
102723897	413
102465909	0
729759	0
100132287	10
105378947	15
101928626	13
102465432	2
81399	0
100133331	117
100288069	207
400728	9
79854	79
643837	1307
284593	0
100130417	4
148398	33
26155	19173
339451	846
84069	917
84808	402
57801	1680
9636	2499
375790	44055
105369174	62
105378948	78
401934	531
54991	1505
254099	0
406984	2
406983	4
554210	1
254173	16
8784	89
7293	2
51150	20670
126792	4671
388581	26
118424	7481
6339	51
116983	2520
102465434	0
126789	2385
54973	5687
102465435	0
80772	5254
83756	210
1855	10879
102466740	0
54587	196
54998	15407
81669	4222
148413	1018
55052	8059
441869	17
643965	0
102724312	56
64856	10886
219293	10
83858	6029
55210	6920
339453	26
29101	12609
643988	507
142678	1405
8510	0
984	5922
728661	5169
8511	8
728642	2266
9906	1113
65220	6505
2782	18493
105378949	95
163688	12
339456	46
85452	3
2563	2
5590	2830
100506504	64
199990	4244
105378592	3
6497	7051
105378594	0
79906	357
100129534	9
11079	11864
5192	1680
9651	3
55229	21
388585	0
115110	0
8764	3
100996583	0
127281	10
79258	0
100287898	3
140625	0
440556	2
63976	21
100422968	0
27237	4483
1953	486
693135	0
127262	5519
49856	1482
7161	300
57212	273
148870	5
388588	75
57470	5955
9731	3894
1677	419
339448	3281
100133612	13
728716	0
284661	0
55966	4
100616489	0
100616421	0
261734	840
8514	104
26038	1590
6146	57850
102724450	28
388591	766
23463	6872
148645	118
390992	0
387509	425
11332	3530
54626	11
83715	10
100422975	0
8718	31
57449	249
79707	3444
80835	8
3104	1014
9903	3611
148479	2970
90326	1010
55735	7599
100505887	0
23261	3387
9341	11498
8863	3125
10911	1
3604	27
11315	29112
54206	110590
102724539	43
50651	461
473	6590
102724552	0
2023	162393
102465436	1
100505975	11
765	2
155184	0
6518	0
80045	625
407040	0
9563	1966
80176	2364
100506022	32
84275	2666
199953	1989
5293	374
644997	0
101929074	141
22883	27338
56998	5536
84328	4498
64802	1362
100847055	2
105376719	0
116362	16
10277	11125
23095	14097
100422970	0
5226	14325
100526739	0
378708	237
1325	1
