Geneid	HISAT2 on dataset 189 and 190: aligned reads (BAM)
100287102	0
653635	438
102466751	8
100302278	0
645520	0
79501	0
729737	513
102725121	13
102723897	503
102465909	0
729759	0
100132287	11
105378947	2
101928626	4
102465432	5
81399	0
100133331	112
100288069	111
400728	2
79854	22
643837	884
284593	0
100130417	10
148398	1
26155	12480
339451	613
84069	399
84808	199
57801	555
9636	9101
375790	42070
105369174	57
105378948	112
401934	365
54991	1433
254099	15
406984	15
406983	23
554210	49
254173	48
8784	32
7293	2
51150	16047
126792	2871
388581	11
118424	4854
6339	9
116983	2248
102465434	0
126789	1102
54973	5692
102465435	0
80772	1824
83756	37
1855	9974
102466740	0
54587	348
54998	9500
81669	3596
148413	1121
55052	6397
441869	0
643965	0
102724312	4
64856	2361
219293	4
83858	3571
55210	4225
339453	22
29101	7876
643988	462
142678	2041
8510	0
984	4709
728661	3282
8511	4
728642	2358
9906	1333
65220	5012
2782	24812
105378949	26
163688	1
339456	172
85452	0
2563	8
5590	1940
100506504	25
199990	1808
105378592	3
6497	3419
105378594	8
79906	306
100129534	39
11079	10044
5192	1362
9651	3
55229	14
388585	0
115110	0
8764	2
100996583	0
127281	186
79258	0
100287898	2
140625	0
440556	0
63976	1
100422968	0
27237	2731
1953	2404
693135	0
127262	4971
49856	1609
7161	400
57212	47
148870	0
388588	64
57470	4165
9731	1553
1677	309
339448	2957
100133612	10
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	620
8514	35
26038	2
6146	71180
102724450	14
388591	1077
23463	9059
148645	54
390992	0
387509	340
11332	1720
54626	0
83715	5
100422975	0
8718	49
57449	373
79707	2287
80835	0
3104	910
9903	1964
148479	2686
90326	608
55735	5090
100505887	0
23261	2689
9341	10356
8863	4879
10911	0
3604	49
11315	24376
54206	30965
102724539	3
50651	4
473	12101
102724552	0
2023	113891
102465436	0
100505975	9
765	0
155184	0
6518	1
80045	185
407040	1
9563	1636
80176	2437
100506022	14
84275	1142
199953	1257
5293	110
644997	0
101929074	5
22883	18992
56998	2467
84328	2617
64802	706
100847055	1
105376719	0
116362	52
10277	7439
23095	4633
100422970	0
5226	29992
100526739	0
378708	211
1325	0
1676	5945
5195	3377
54897	1699
148345	0
23435	13844
10747	29
6723	5260
5394	6949
2475	9036
100873935	0
10218	0
29914	2335
57540	0
101929181	0
26232	241
93611	410
26270	228
10459	3547
374946	2
57085	2073
284498	2
102724659	0
4524	1053
1185	907
100379251	5
4878	4
4879	2
26829	2
90231	4807
5351	5386
9927	12401
60672	1076
102466982	0
943	4
102465836	0
7133	1355
100616438	0
55187	6057
677885	11
9249	24675
102466722	4
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	2
7799	2429
23254	71
200197	55
55092	2668
727684	0
114827	207
101927417	12
79180	24382
11330	2
63036	0
51032	3
842	912
23341	2400
79814	1079
84301	1172
6248	671
23207	3815
284723	10
388595	0
54751	5328
440567	824
729614	265
23013	13083
7709	1757
101928566	0
149563	0
27129	0
1187	0
1188	1
348487	32
1969	35390
128272	1129
101927546	4
79363	200
54455	2074
26099	18738
374955	3
55707	5172
114819	48
26871	0
100126512	2
100126517	0
102724970	0
100133301	0
7195	0
55672	543
84809	421
11209	7
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	3
11223	3
100500876	0
100189298	0
7193	0
791226	1
9696	459
26870	1
4237	76
23400	4880
6390	7357
11240	11
29943	10016
51702	34
100616188	0
23569	0
353238	0
55920	67175
55160	1414
81569	52
101927876	0
84966	0
127707	867
5081	5396
80834	0
8659	2807
100616120	0
100302276	0
126917	10468
23352	28893
23065	12545
51154	8828
246181	0
22977	4
100506730	42
8574	2892
54896	720
832	22341
100532736	0
440574	6618
644068	27
4681	45
3362	12
255104	2064
54546	0
23252	1902
30814	0
5320	65
5322	0
26279	0
64600	15
391013	0
127733	2
101928017	0
127731	1
339505	0
55450	13406
79594	3135
163933	0
978	37
65018	448
102464833	0
100861548	124
1650	33456
57576	0
400745	114
50809	24774
8672	8647
100302155	0
1889	33132
100506801	28
84224	740
249	2
5909	571
84196	6224
401944	3
3339	7220
23436	0
10136	0
101928043	7
29092	327
998	37917
54361	15
100616433	0
9923	1938
2046	2
102466615	0
712	0
714	0
713	0
2048	1667
100616391	1
100422914	0
646262	0
729059	4
23028	12873
100422866	0
100616177	1
7798	4171
3352	46
100996511	23
10236	36887
80818	1849
148898	59
6920	273
55616	126
1870	867
101928163	0
3399	24
259283	0
6135	66755
6924	5570
100506963	26
57095	3195
11313	8915
2582	8255
3155	3217
2517	2782
1269	0
100616492	0
55629	17054
10772	10385
127294	0
58985	141
163702	230
284632	0
57822	202
90529	1173
57185	2838
100750325	6
11123	1960
100506985	207
400746	189
10250	11554
25932	20657
864	15
102465437	0
100616365	0
25949	5725
57035	809
6007	18
23585	6718
6006	5
55219	2601
26119	1960
57134	6
57190	3017
56181	847
646471	19
79000	1497
164091	1926
3925	38141
100500808	1
5051	1985
2134	0
7780	4
105376910	0
84676	5
149420	2836
79927	34
105376887	0
51042	2388
10256	1442
378807	1
101928303	0
64793	3171
83442	18051
91544	1320
1043	3
55057	1710
257101	2
79727	7
79947	3165
101928324	9
3151	81167
6195	5193
