Geneid	HISAT2 on dataset 191 and 192: aligned reads (BAM)
100287102	0
653635	433
102466751	20
100302278	0
645520	0
79501	0
729737	143
102725121	9
102723897	614
102465909	4
729759	0
100132287	13
105378947	1
101928626	7
102465432	14
81399	0
100133331	222
100288069	342
400728	3
79854	189
643837	742
284593	2
100130417	27
148398	107
26155	18773
339451	1028
84069	246
84808	91
57801	1015
9636	1948
375790	13025
105369174	21
105378948	37
401934	0
54991	795
254099	0
406984	0
406983	0
554210	0
254173	0
8784	16
7293	5
51150	14280
126792	2611
388581	31
118424	4164
6339	620
116983	3183
102465434	0
126789	984
54973	6381
102465435	0
80772	1660
83756	75
1855	5677
102466740	0
54587	1222
54998	14381
81669	6099
148413	1393
55052	5044
441869	8
643965	34
102724312	19
64856	8
219293	20
83858	4261
55210	8185
339453	84
29101	11126
643988	1353
142678	2167
8510	10
984	5896
728661	3835
8511	32
728642	2534
9906	2373
65220	6665
2782	15211
105378949	89
163688	41
339456	130
85452	16
2563	916
5590	2943
100506504	54
199990	3604
105378592	15
6497	5435
105378594	8
79906	623
100129534	178
11079	8075
5192	1264
9651	8
55229	36
388585	0
115110	0
8764	5
100996583	0
127281	25
79258	0
100287898	1
140625	0
440556	64
63976	1023
100422968	0
27237	600
1953	157
693135	0
127262	3270
49856	1532
7161	238
57212	245
148870	4
388588	8
57470	6971
9731	3095
1677	399
339448	3461
100133612	17
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	1704
8514	805
26038	5245
6146	57543
102724450	27
388591	859
23463	5785
148645	55
390992	0
387509	526
11332	10058
54626	229
83715	74
100422975	0
8718	190
57449	754
79707	3083
80835	7
3104	1331
9903	2369
148479	4166
90326	1002
55735	6143
100505887	0
23261	6135
9341	11941
8863	2878
10911	0
3604	78
11315	33812
54206	54885
102724539	27
50651	1238
473	8970
102724552	2
2023	208715
102465436	4
100505975	3
765	1
155184	0
6518	1
80045	569
407040	3
9563	8500
80176	3171
100506022	102
84275	3293
199953	2064
5293	790
644997	2
101929074	0
22883	15833
56998	1897
84328	2697
64802	1635
100847055	0
105376719	0
116362	66
10277	10083
23095	12195
100422970	0
5226	22012
100526739	0
378708	186
1325	12
1676	8776
5195	3508
54897	3321
148345	18
23435	17022
10747	71
6723	9742
5394	7239
2475	17881
100873935	0
10218	0
29914	3310
57540	128
101929181	2
26232	2402
93611	2704
26270	896
10459	6162
374946	6
57085	4795
284498	0
102724659	0
4524	1065
1185	1550
100379251	3
4878	9
4879	0
26829	5
90231	5190
5351	18360
9927	17254
60672	1723
102466982	0
943	22
102465836	0
7133	5110
100616438	0
55187	6893
677885	24
9249	3370
102466722	2
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	2
391004	0
645425	0
126755	0
10630	0
7799	2942
23254	800
200197	11
55092	695
727684	1
114827	8
101927417	0
79180	5504
11330	0
63036	0
51032	7
842	1074
23341	3278
79814	10
84301	1254
6248	628
23207	6714
284723	97
388595	0
54751	684
440567	582
729614	488
23013	11342
7709	1548
101928566	0
149563	0
27129	7
1187	2
1188	7
348487	193
1969	17175
128272	1741
101927546	17
79363	407
54455	3118
26099	23032
374955	2
55707	5090
114819	159
26871	23
100126512	0
100126517	0
102724970	4
100133301	0
7195	0
55672	1993
84809	1221
11209	114
26869	2
729574	0
100126533	0
284729	2
100189045	0
102723383	0
6060	10
11223	45
100500876	0
100189298	0
7193	0
791226	0
9696	2586
26870	18
4237	2
23400	4421
6390	8384
11240	54
29943	36
51702	12
100616188	0
23569	1
353238	0
55920	29319
55160	574
81569	7
101927876	0
84966	1
127707	19
5081	2
80834	8
8659	4150
100616120	0
100302276	0
126917	2812
23352	25100
23065	14112
51154	6874
246181	22
22977	79
100506730	119
8574	4893
54896	1403
832	28190
100532736	0
440574	8360
644068	51
4681	38
3362	373
255104	1169
54546	4
23252	1755
30814	0
5320	6
5322	0
26279	0
64600	4
391013	0
127733	0
101928017	0
127731	2
339505	0
55450	518
79594	3141
163933	0
978	1050
65018	2234
102464833	0
100861548	258
1650	25363
57576	24
400745	707
50809	22173
8672	12037
100302155	0
1889	16287
100506801	6
84224	624
249	0
5909	302
84196	4489
401944	4
3339	7233
23436	0
10136	0
101928043	24
29092	517
998	27295
54361	45
100616433	0
9923	2185
2046	190
102466615	0
712	10
714	6
713	4
2048	1215
100616391	0
100422914	0
646262	0
729059	0
23028	6359
100422866	0
100616177	0
7798	1508
3352	25
100996511	23
10236	19693
80818	869
148898	103
6920	55
55616	615
1870	2041
101928163	4
3399	18842
259283	7
6135	52447
6924	6909
100506963	10
57095	2344
11313	4862
2582	2525
3155	2511
2517	655
1269	0
100616492	0
55629	10295
10772	11201
127294	14
58985	3
163702	202
284632	0
57822	6
90529	497
57185	1254
100750325	2
11123	773
100506985	124
400746	3
10250	9645
25932	4601
864	4
102465437	0
100616365	0
25949	3681
57035	1173
6007	12
23585	3928
6006	9
55219	1247
26119	1242
57134	75
57190	11270
56181	1205
646471	83
79000	741
164091	1551
3925	45469
100500808	5
5051	924
2134	23
7780	0
105376910	0
84676	0
149420	750
79927	12
105376887	0
51042	2384
10256	26
378807	0
101928303	0
64793	3012
83442	5036
91544	590
1043	15
55057	5
257101	0
79727	4
79947	1833
101928324	5
3151	35999
6195	5644
100302190	0
101928728	128
8289	5029
55650	1311
84243	2589
2810	411
54707	1079
63906	985
10726	16425
8431	48
126695	4
388610	200
115572	115
6548	3711
23038	3604
84065	1220
644961	32
100887744	0
84958	798
9064	1417
8547	11
388611	0
2827	695
10163	16929
27245	1774
2268	0
2537	2120
199870	583
23673	1981
5511	3768
677774	2
9473	215
6118	4345
27293	41
55113	2
2140	1803
5724	21
22826	12903
93974	12127
83667	3344
54797	903
65979	3711
1104	13038
8420	5270
6080	256
26768	180
54952	1179
85028	1388
692212	40
677838	219
677825	52
692073	78
115273	8
6883	3558
26824	22
10691	867
105376911	0
51441	9169
4985	10
2035	7546
399474	65
6429	15523
51102	1820
10076	1526
101928460	0
101929406	0
4146	9
100129196	41
7805	69
100616164	0
400748	0
9672	4439
9698	12792
692234	6
692235	11
692200	2
79570	34
9410	6680
51538	3197
2170	27
347735	572
149086	0
284551	0
64129	15
3061	1
553115	2176
1307	17
576	704
100423028	0
90853	80
8073	19589
10657	27593
55116	2398
100847018	0
23633	11635
200081	11368
79140	981
56063	306
55721	530
149069	14
8668	27430
339483	20
84734	29
3932	10
3065	29112
65108	8429
100128071	24
81629	102
55108	4077
728116	0
653121	1052
339487	2008
5928	13386
81493	36
57648	2529
8565	25876
64766	3845
252995	138
3208	4
113452	2047
127544	1502
204	35517
113451	928
55223	432
149076	1913
127550	3
1912	5727
100500853	0
101929464	9
7579	824
114784	5
127540	0
402779	0
84970	1
693137	0
2709	344
127534	46
2707	153
2701	6
113444	2980
58512	306
653160	91
100506144	1760
9204	1248
79830	2522
6421	35875
9202	10202
79932	6660
23154	3439
339488	41
5690	14676
127703	2245
63967	7944
192670	877
26523	5658
192669	2517
27285	6
54936	1953
1296	26
27095	5151
55700	18520
9967	26160
79729	241
55194	469
83931	9118
84967	2177
127700	466
64960	8241
1441	10
2899	2
100422898	0
728431	28
80149	350
102465438	0
64769	3865
100847010	0
79753	2088
7802	40
29889	6039
284654	30
54955	2240
55143	10909
284656	627
149175	3721
79693	1841
127687	2518
4520	2539
3633	1940
10946	18253
2275	718
51118	4585
5453	4
100500801	0
339442	0
64121	3003
100527950	4
26292	1
81025	0
54933	289
79647	11956
4725	15347
23499	15332
643314	1807
105378950	0
353500	45
728448	18
8761	23250
101929516	7
677834	12
26508	79
84618	17
51440	128
10450	4252
656	513
64064	22
105378951	7
101929536	18
54802	1385
4610	273
84879	371
10487	30795
5538	18526
6018	2709
127391	0
10269	10708
1298	44
64744	2870
65243	499
339559	436
64789	1101
127396	373
9783	836
100130557	158
4802	1927
407034	0
407031	0
9132	345
163732	452
1503	6667
100507178	31
200172	11
22955	2480
100132074	129
1907	4
59269	3457
2981	0
2980	2
22887	5812
284716	369
84217	289
79717	3590
728621	20
10465	4864
4904	178727
149461	0
64175	7484
79078	868
100129924	24
374969	452
114625	822
51058	626
339539	4
6513	5583
440584	12
105378684	0
440585	96
10969	21973
102465439	5
149465	112
128218	11
149466	24
7075	2
4352	22
991	27311
64834	8624
102466723	0
112950	1647
23334	2793
102465440	0
81888	27
5792	96426
9682	5168
