Geneid	HISAT2 on dataset 193 and 194: aligned reads (BAM)
100287102	0
653635	516
102466751	1
100302278	0
645520	0
79501	0
729737	599
102725121	8
102723897	339
102465909	0
729759	0
100132287	13
105378947	2
101928626	4
102465432	5
81399	0
100133331	97
100288069	152
400728	7
79854	31
643837	431
284593	0
100130417	9
148398	87
26155	6698
339451	501
84069	615
84808	290
57801	3308
9636	38048
375790	96197
105369174	162
105378948	135
401934	674
54991	1701
254099	0
406984	6
406983	6
554210	5
254173	21
8784	3
7293	2
51150	15253
126792	2627
388581	22
118424	4513
6339	141
116983	2006
102465434	0
126789	1348
54973	4459
102465435	0
80772	3722
83756	143
1855	5726
102466740	0
54587	635
54998	9399
81669	2632
148413	1065
55052	3899
441869	2
643965	4
102724312	58
64856	10641
219293	560
83858	1706
55210	4525
339453	61
29101	7999
643988	574
142678	1213
8510	5
984	3884
728661	3314
8511	5
728642	1118
9906	361
65220	4753
2782	15892
105378949	16
163688	3
339456	63
85452	2
2563	24
5590	2812
100506504	103
199990	1930
105378592	2
6497	2969
105378594	3
79906	534
100129534	139
11079	8360
5192	1217
9651	11
55229	6
388585	0
115110	17
8764	23
100996583	0
127281	91
79258	33
100287898	2
140625	0
440556	4
63976	37
100422968	0
27237	2414
1953	2114
693135	0
127262	3604
49856	948
7161	1238
57212	41
148870	14
388588	44
57470	3905
9731	2205
1677	394
339448	1765
100133612	21
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	670
8514	1614
26038	12
6146	27981
102724450	15
388591	1091
23463	10258
148645	99
390992	0
387509	431
11332	3232
54626	40
83715	213
100422975	0
8718	242
57449	893
79707	1501
80835	0
3104	582
9903	1714
148479	2458
90326	503
55735	3709
100505887	0
23261	1971
9341	6658
8863	2982
10911	0
3604	19
11315	13669
54206	8462
102724539	3
50651	28
473	3693
102724552	2
2023	63163
102465436	0
100505975	2
765	0
155184	0
6518	0
80045	267
407040	3
9563	3078
80176	2013
100506022	20
84275	901
199953	2179
5293	176
644997	0
101929074	52
22883	26018
56998	2892
84328	1512
64802	727
100847055	0
105376719	0
116362	16
10277	4079
23095	4312
100422970	0
5226	14349
100526739	0
378708	97
1325	5
1676	3646
5195	2486
54897	1258
148345	0
23435	10785
10747	29
6723	4430
5394	3396
2475	5742
100873935	0
10218	2
29914	1452
57540	0
101929181	1
26232	3580
93611	1523
26270	472
10459	2287
374946	0
57085	2211
284498	4
102724659	0
4524	3242
1185	796
100379251	9
4878	9
4879	2
26829	1
90231	4359
5351	6513
9927	9369
60672	1285
102466982	0
943	10
102465836	0
7133	820
100616438	0
55187	4090
677885	10
9249	17157
102466722	5
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	2
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	1910
23254	944
200197	109
55092	1482
727684	0
114827	43
101927417	0
79180	9037
11330	3
63036	2
51032	5
842	786
23341	1326
79814	551
84301	709
6248	387
23207	4140
284723	39
388595	0
54751	3833
440567	478
729614	341
23013	9574
7709	1043
101928566	0
149563	0
27129	0
1187	1
1188	9
348487	63
1969	28626
128272	394
101927546	18
79363	421
54455	1823
26099	12996
374955	3
55707	2135
114819	95
26871	2
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	830
84809	394
11209	39
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	30
100500876	0
100189298	0
7193	2
791226	0
9696	370
26870	0
4237	0
23400	6860
6390	4745
11240	36
29943	7734
51702	120
100616188	0
23569	2
353238	0
55920	24341
55160	2162
81569	16
101927876	0
84966	0
127707	192
5081	0
80834	0
8659	1655
100616120	0
100302276	0
126917	10319
23352	13575
23065	7706
51154	3941
246181	5
22977	18
100506730	139
8574	3101
54896	1430
832	20631
100532736	0
440574	4010
644068	26
4681	70
3362	6
255104	965
54546	2
23252	983
30814	0
5320	0
5322	0
26279	0
64600	20
391013	0
127733	10
101928017	0
127731	2
339505	0
55450	7102
79594	2659
163933	0
978	3120
65018	767
102464833	0
100861548	208
1650	22639
57576	30
400745	166
50809	10424
8672	7435
100302155	0
1889	13728
100506801	6
84224	544
249	0
5909	574
84196	3820
401944	51
3339	58818
23436	31
10136	16
101928043	5
29092	270
998	23592
54361	892
100616433	0
9923	2334
2046	5
102466615	0
712	0
714	0
713	0
2048	11808
100616391	0
100422914	0
646262	4
729059	0
23028	23720
100422866	0
100616177	0
7798	4669
3352	676
100996511	4
10236	16623
80818	832
148898	37
6920	169
55616	963
1870	799
101928163	0
3399	98
259283	0
6135	39301
6924	3876
100506963	19
57095	1991
11313	7265
2582	5472
3155	2125
2517	2877
1269	0
100616492	0
55629	7344
10772	7383
127294	9
58985	730
163702	641
284632	0
57822	283
90529	434
57185	2558
100750325	1
11123	353
100506985	37
400746	53
10250	6370
25932	5724
864	0
102465437	0
100616365	0
25949	3013
57035	1271
6007	0
23585	5267
6006	23
55219	2905
26119	1818
57134	189
57190	7313
56181	746
646471	85
79000	906
164091	5127
3925	11445
100500808	1
5051	1235
2134	18
7780	0
105376910	0
84676	2
149420	453
79927	0
105376887	0
51042	761
10256	668
378807	3
101928303	0
64793	876
83442	6205
91544	402
1043	3
55057	1651
257101	0
79727	4
79947	1012
101928324	2
3151	17960
6195	1801
100302190	0
101928728	213
8289	3916
55650	509
84243	1887
2810	10133
54707	753
63906	568
10726	5464
8431	0
126695	717
388610	2631
115572	1026
6548	1753
23038	1724
84065	1202
644961	22
100887744	0
84958	633
9064	742
8547	0
388611	0
2827	29
10163	5749
27245	1934
2268	0
2537	21151
199870	503
23673	2350
5511	3294
677774	0
9473	56
6118	2778
27293	859
55113	711
2140	1788
5724	2080
22826	7897
93974	9246
83667	1641
54797	635
65979	3344
1104	5930
8420	870
6080	24
26768	20
54952	948
85028	363
692212	3
677838	25
677825	21
