Geneid	HISAT2 on dataset 195 and 196: aligned reads (BAM)
100287102	0
653635	906
102466751	3
100302278	0
645520	0
79501	0
729737	24
102725121	2
102723897	506
102465909	0
729759	0
100132287	12
105378947	1
101928626	3
102465432	8
81399	0
100133331	47
100288069	69
400728	12
79854	33
643837	720
284593	0
100130417	11
148398	20
26155	5150
339451	475
84069	439
84808	161
57801	3379
9636	26583
375790	59831
105369174	29
105378948	39
401934	558
54991	971
254099	0
406984	3
406983	6
554210	14
254173	32
8784	4
7293	6
51150	13754
126792	2548
388581	19
118424	5849
6339	102
116983	2269
102465434	0
126789	990
54973	3553
102465435	0
80772	3361
83756	61
1855	5446
102466740	0
54587	153
54998	9045
81669	3183
148413	1635
55052	3848
441869	2431
643965	2
102724312	42
64856	8593
219293	132
83858	1280
55210	3108
339453	77
29101	7700
643988	730
142678	1954
8510	4
984	4652
728661	4815
8511	19
728642	1407
9906	808
65220	4692
2782	17808
105378949	56
163688	0
339456	42
85452	3
2563	0
5590	2373
100506504	83
199990	2323
105378592	3
6497	4479
105378594	0
79906	335
100129534	64
11079	8637
5192	899
9651	44
55229	36
388585	0
115110	10
8764	13
100996583	2
127281	28
79258	3
100287898	0
140625	0
440556	0
63976	51
100422968	0
27237	4078
1953	4785
693135	0
127262	5898
49856	1074
7161	1225
57212	432
148870	0
388588	130
57470	4277
9731	2646
1677	518
339448	2217
100133612	46
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	506
8514	285
26038	15
6146	37248
102724450	12
388591	724
23463	11152
148645	142
390992	0
387509	4316
11332	3399
54626	1204
83715	272
100422975	0
8718	444
57449	2071
79707	1324
80835	7
3104	748
9903	2076
148479	2174
90326	632
55735	2966
100505887	0
23261	2418
9341	7490
8863	877
10911	2
3604	40
11315	15495
54206	8977
102724539	0
50651	2
473	5762
102724552	0
2023	59474
102465436	0
100505975	4
765	0
155184	0
6518	436
80045	335
407040	1
9563	3533
80176	2195
100506022	8
84275	692
199953	1356
5293	94
644997	0
101929074	32
22883	28705
56998	2677
84328	1828
64802	1102
100847055	2
105376719	0
116362	0
10277	4584
23095	3366
100422970	0
5226	5702
100526739	0
378708	66
1325	4
1676	3370
5195	2697
54897	1637
148345	0
23435	11847
10747	35
6723	2973
5394	4807
2475	5004
100873935	0
10218	0
29914	1612
57540	61
101929181	0
26232	1462
93611	540
26270	586
10459	1894
374946	2
57085	1192
284498	0
102724659	0
4524	2032
1185	1023
100379251	10
4878	10
4879	10
26829	5
90231	3656
5351	6634
9927	9760
60672	1030
102466982	0
943	4
102465836	0
7133	193
100616438	0
55187	6286
677885	15
9249	23526
102466722	10
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	2
7799	3284
23254	316
200197	100
55092	2780
727684	0
114827	131
101927417	0
79180	16507
11330	0
63036	2
51032	6
842	907
23341	1750
79814	411
84301	689
6248	302
23207	5531
284723	36
388595	2
54751	6138
440567	441
729614	589
23013	12933
7709	1327
101928566	0
149563	0
27129	0
1187	0
1188	4
348487	10
1969	28381
128272	908
101927546	7
79363	369
54455	2143
26099	15668
374955	4
55707	3603
114819	77
26871	1
100126512	2
100126517	0
102724970	2
100133301	0
7195	0
55672	980
84809	737
11209	99
26869	2
729574	0
100126533	0
284729	2
100189045	0
102723383	0
6060	2
11223	13
100500876	0
100189298	0
7193	0
791226	0
9696	694
26870	4
4237	148
23400	3808
6390	5271
11240	90
29943	8146
51702	899
100616188	0
23569	2
353238	0
55920	19249
55160	2201
81569	2
101927876	0
84966	0
127707	786
5081	665
80834	0
8659	1226
100616120	0
100302276	0
126917	17240
23352	13399
23065	4811
51154	3336
246181	12
22977	17
100506730	150
8574	2552
54896	1017
832	26300
100532736	0
440574	4125
644068	24
4681	12
3362	5
255104	1264
54546	0
23252	1925
30814	0
5320	2
5322	0
26279	0
64600	11
391013	0
127733	57
101928017	0
127731	4
339505	2
55450	6705
79594	3097
163933	0
978	2467
65018	980
102464833	0
100861548	228
1650	25982
57576	20
400745	110
50809	13011
8672	7566
100302155	0
1889	7670
100506801	4
84224	560
249	151
5909	600
84196	5822
401944	26
3339	19155
23436	0
10136	0
101928043	0
29092	172
998	26493
54361	1370
100616433	0
9923	3560
2046	0
102466615	0
712	0
714	0
713	0
2048	2505
100616391	0
100422914	0
646262	0
729059	0
23028	7510
100422866	0
100616177	0
7798	5872
3352	4
100996511	23
10236	20243
80818	1570
148898	29
6920	265
55616	748
1870	588
101928163	0
3399	127
259283	0
6135	44743
6924	3911
100506963	28
57095	3253
11313	9149
2582	4686
3155	1552
2517	4177
1269	0
100616492	0
55629	12486
10772	7329
127294	11
58985	559
163702	1426
284632	0
57822	1226
90529	686
57185	7529
100750325	0
11123	1218
100506985	158
400746	74
10250	7358
25932	10599
864	0
102465437	0
100616365	0
25949	5795
57035	2376
6007	21
23585	6356
6006	6
55219	2877
26119	3529
57134	94
57190	5602
56181	1224
646471	68
79000	744
164091	5000
3925	12781
100500808	0
5051	783
2134	0
7780	0
105376910	0
84676	0
149420	660
79927	0
105376887	0
51042	1489
10256	1829
378807	2
101928303	24
64793	1624
83442	14151
91544	480
1043	0
55057	1532
257101	1
79727	27
79947	1769
101928324	2
3151	38766
6195	4128
100302190	0
101928728	235
8289	9801
55650	1326
84243	2811
2810	39776
54707	1338
63906	1617
10726	9353
8431	2
126695	1724
388610	1376
115572	1110
6548	9218
23038	4672
84065	2363
644961	22
100887744	0
84958	2990
9064	1241
8547	2
388611	11
2827	24
10163	14096
27245	2782
2268	2
2537	30973
199870	393
23673	2521
5511	4658
677774	0
9473	648
6118	3507
27293	376
55113	687
2140	3908
5724	2184
22826	9198
93974	9984
83667	2273
54797	1342
65979	5456
1104	5849
8420	1000
6080	17
26768	15
54952	997
85028	606
692212	9
677838	42
677825	19
692073	22
115273	21
6883	1652
26824	8
10691	1160
105376911	0
51441	6918
4985	0
2035	2128
399474	4
6429	10622
51102	1618
10076	9819
101928460	0
101929406	0
4146	5
100129196	61
7805	259
100616164	0
400748	0
9672	3864
9698	10729
692234	1
692235	0
692200	0
79570	2
9410	2912
51538	2381
2170	46
347735	38335
149086	0
284551	2
64129	32463
3061	1
553115	2718
1307	329
576	144
100423028	0
90853	646
8073	20143
10657	19437
55116	1387
100847018	0
23633	8073
200081	8301
79140	398
56063	449
55721	176
149069	2
8668	10104
339483	20
84734	12
3932	128
3065	19172
65108	8258
100128071	26
81629	43
55108	2699
728116	8
653121	795
339487	1468
5928	6726
81493	9
57648	38487
8565	6308
64766	1332
252995	19
3208	7
113452	4123
127544	6320
204	10380
113451	124
55223	1313
149076	2346
127550	0
1912	5016
100500853	1
101929464	5
7579	769
114784	4
127540	0
402779	0
84970	0
693137	0
2709	2602
127534	2508
2707	6464
2701	0
113444	2392
58512	18
653160	38
100506144	1484
9204	934
79830	1502
6421	21693
9202	5164
79932	5645
23154	3212
339488	84
5690	9498
127703	853
63967	2788
192670	1805
26523	2950
192669	1488
27285	8
54936	2169
1296	27
27095	3857
55700	14258
9967	13024
79729	191
55194	963
83931	1792
84967	1106
127700	125
64960	6163
1441	10
2899	0
100422898	0
728431	262
80149	3223
102465438	3
64769	2632
100847010	0
79753	1996
7802	429
29889	3948
284654	0
54955	1214
55143	2795
284656	16
149175	3453
79693	1397
127687	3657
4520	2993
3633	893
10946	6487
2275	749
51118	3320
5453	425
100500801	0
339442	2
64121	2646
100527950	0
26292	3
81025	0
54933	864
79647	7105
4725	10945
23499	7120
643314	1084
105378950	3
353500	29
728448	0
8761	9269
101929516	3
677834	5
26508	8
84618	0
51440	12
10450	2418
656	118
64064	13
105378951	0
101929536	0
54802	1119
4610	745
84879	554
10487	27650
5538	10005
6018	2954
127391	0
10269	7605
1298	86
64744	1403
65243	140
339559	206
64789	752
127396	227
9783	44
100130557	21
4802	2422
407034	0
407031	0
9132	14
163732	2840
1503	2908
100507178	6
200172	14
22955	814
100132074	555
1907	127
59269	1168
2981	0
2980	18
22887	5393
284716	326
84217	19
79717	3910
728621	22
10465	2031
4904	71049
149461	2
64175	2139
79078	424
100129924	7
374969	664
114625	430
51058	460
339539	4
6513	28601
440584	28
105378684	2
440585	9
10969	6017
102465439	0
149465	129
128218	840
149466	501
7075	0
4352	8
991	8750
64834	7207
102466723	0
112950	1770
23334	2324
102465440	0
81888	7
5792	21855
9682	5521
100132774	18
6487	270
101929592	2
102464830	0
9048	507
9670	2189
1802	1480
533	6604
8704	3293
149473	849
6536	1778
128209	0
105378952	0
55929	1601
79033	2953
100874278	4
55182	6469
100847089	0
79639	565
339541	9
26828	0
26830	8
11004	2756
6202	51763
26811	23
94161	9
94162	4
94163	28
266675	10
1263	870
343521	29
149478	146
8643	6
8891	722
79654	1894
7389	3014
57643	85
400752	28
84842	467
4595	640
114034	1118
10420	487
126661	209
25974	674
5052	29631
10327	2535
4678	7437
149483	35
60313	7660
