Geneid	HISAT2 on dataset 201 and 202: aligned reads (BAM)
100287102	0
653635	461
102466751	5
100302278	0
645520	0
79501	0
729737	6
102725121	1
102723897	346
102465909	0
729759	0
100132287	2
105378947	3
101928626	4
102465432	6
81399	0
100133331	55
100288069	65
400728	20
79854	36
643837	1580
284593	4
100130417	98
148398	1345
26155	16187
339451	968
84069	356
84808	172
57801	1053
9636	3817
375790	14933
105369174	23
105378948	4
401934	3
54991	925
254099	0
406984	0
406983	0
554210	1
254173	0
8784	218
7293	4
51150	21133
126792	5224
388581	2546
118424	7938
6339	247
116983	832
102465434	0
126789	1140
54973	4096
102465435	0
80772	5614
83756	103
1855	12944
102466740	0
54587	15772
54998	16875
81669	2209
148413	2044
55052	5918
441869	94
643965	1436
102724312	321
64856	30653
219293	131
83858	5297
55210	3253
339453	104
29101	14751
643988	1654
142678	2396
8510	8
984	4293
728661	8190
8511	11
728642	2821
9906	1664
65220	5082
2782	31759
105378949	40
163688	12
339456	192
85452	3
2563	556
5590	1695
100506504	44
199990	4900
105378592	8
6497	10087
105378594	2
79906	633
100129534	100
11079	10129
5192	2222
9651	227
55229	10
388585	0
115110	0
8764	73
100996583	0
127281	4
79258	0
100287898	0
140625	0
440556	123
63976	2917
100422968	0
27237	355
1953	749
693135	0
127262	10615
49856	1227
7161	415
57212	3006
148870	24
388588	578
57470	5177
9731	2997
1677	312
339448	2724
100133612	131
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	793
8514	2367
26038	6236
6146	37231
102724450	3
388591	420
23463	12296
148645	136
390992	2
387509	746
11332	5956
54626	371
83715	207
100422975	0
8718	62
57449	385
79707	3001
80835	0
3104	1048
9903	3758
148479	4954
90326	1055
55735	7046
100505887	0
23261	2520
9341	9445
8863	1798
10911	0
3604	46
11315	25461
54206	29430
102724539	4
50651	966
473	19805
102724552	5
2023	182540
102465436	0
100505975	3
765	5
155184	4
6518	2
80045	1489
407040	9
9563	8530
80176	7911
100506022	60
84275	2462
199953	2329
5293	1750
644997	0
101929074	411
22883	21726
56998	3124
84328	3650
64802	1361
100847055	0
105376719	0
116362	797
10277	11576
23095	11099
100422970	0
5226	17215
100526739	0
378708	157
1325	2
1676	7159
5195	3380
54897	3382
148345	12
23435	13012
10747	32
6723	11326
5394	6849
2475	15670
100873935	0
10218	19
29914	3266
57540	104
101929181	0
26232	13913
93611	2836
26270	2742
10459	2776
374946	9
57085	3513
284498	1
102724659	0
4524	3871
1185	1097
100379251	12
4878	16
4879	0
26829	6
90231	5372
5351	19394
9927	14553
60672	3000
102466982	0
943	12
102465836	0
7133	760
