Geneid	HISAT2 on dataset 205 and 206: aligned reads (BAM)
100287102	0
653635	486
102466751	8
100302278	0
645520	0
79501	0
729737	343
102725121	7
102723897	371
102465909	1
729759	0
100132287	9
105378947	1
101928626	0
102465432	1
81399	0
100133331	82
100288069	104
400728	14
79854	23
643837	976
284593	0
100130417	2
148398	6
26155	9725
339451	555
84069	365
84808	148
57801	607
9636	12349
375790	49571
105369174	43
105378948	133
401934	837
54991	1858
254099	10
406984	37
406983	51
554210	85
254173	67
8784	73
7293	4
51150	17839
126792	2871
388581	18
118424	5546
6339	22
116983	2446
102465434	0
126789	1064
54973	4837
102465435	0
80772	2847
83756	13
1855	8850
102466740	0
54587	404
54998	8844
81669	3697
148413	1261
55052	6673
441869	0
643965	0
102724312	19
64856	5073
219293	8
83858	3106
55210	3673
339453	24
29101	7780
643988	545
142678	2173
8510	0
984	4409
728661	3721
8511	8
728642	2201
9906	1233
65220	5111
2782	31599
105378949	32
163688	0
339456	165
85452	0
2563	5
5590	2815
100506504	32
199990	2330
105378592	12
6497	3297
105378594	6
79906	395
100129534	28
11079	9371
5192	1351
9651	2
55229	8
388585	0
115110	0
8764	2
100996583	0
127281	126
79258	0
100287898	2
140625	0
440556	0
63976	12
100422968	0
27237	2998
1953	3846
693135	0
127262	5367
49856	1410
7161	787
57212	71
148870	2
388588	138
57470	3618
9731	1610
1677	327
339448	2671
100133612	25
728716	0
284661	0
55966	4
100616489	0
100616421	0
261734	608
8514	54
26038	4
6146	58027
102724450	6
388591	1381
23463	13824
148645	37
390992	0
387509	316
11332	1302
54626	4
83715	18
100422975	0
8718	50
57449	312
79707	1861
80835	0
3104	797
9903	1773
148479	3074
90326	499
55735	4648
100505887	0
23261	3146
9341	8411
8863	4561
10911	2
3604	32
11315	20217
54206	7914
102724539	0
50651	14
473	12741
102724552	1
2023	88128
102465436	0
100505975	3
765	0
155184	0
6518	4
80045	160
407040	1
9563	2000
80176	3783
100506022	15
84275	937
199953	1349
5293	160
644997	0
101929074	8
22883	23201
56998	2115
84328	2039
64802	636
100847055	0
105376719	0
116362	32
10277	7129
23095	3664
100422970	0
5226	28879
100526739	0
378708	118
1325	1
1676	4448
5195	3199
54897	2547
148345	0
23435	13473
10747	24
6723	3792
5394	7039
2475	7903
100873935	0
10218	0
29914	1632
57540	0
101929181	0
26232	594
93611	679
26270	598
10459	3312
374946	2
57085	2928
284498	0
102724659	0
4524	1576
1185	828
100379251	7
4878	12
4879	2
26829	3
90231	5166
5351	5937
9927	9929
60672	1178
102466982	0
943	2
102465836	0
7133	1204
100616438	0
55187	5762
677885	11
9249	24461
102466722	4
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	2
7799	2395
23254	62
200197	47
55092	2836
727684	1
114827	485
101927417	4
79180	25065
11330	5
63036	0
51032	5
842	1008
23341	2518
79814	601
84301	1157
6248	521
23207	3459
284723	14
388595	0
54751	6616
440567	676
729614	312
23013	12338
7709	1643
101928566	0
149563	0
27129	0
1187	0
1188	2
348487	60
1969	25346
128272	1100
101927546	2
79363	238
54455	2119
