ENTREZID	SYMBOL	ENSEMBL	GENENAME
100287102	DDX11L1	ENSG00000290825	DEAD/H-box helicase 11 like 1 (pseudogene)
653635	WASH7P	NA	WASP family homolog 7, pseudogene
102466751	MIR6859-1	ENSG00000278267	microRNA 6859-1
100302278	MIR1302-2	ENSG00000284332	microRNA 1302-2
645520	FAM138A	ENSG00000237613	family with sequence similarity 138 member A
79501	OR4F5	ENSG00000186092	olfactory receptor family 4 subfamily F member 5
729737	LOC729737	NA	uncharacterized LOC729737
102725121	DDX11L17	ENSG00000290825	DEAD/H-box helicase 11 like 17 (pseudogene)
102723897	LOC102723897	NA	WAS protein family homolog 9, pseudogene
102465909	MIR6859-2	ENSG00000273874	microRNA 6859-2
102465909	MIR6859-2	ENSG00000288355	microRNA 6859-2
102465909	MIR6859-2	ENSG00000278739	microRNA 6859-2
102465909	MIR6859-2	ENSG00000275449	microRNA 6859-2
102465909	MIR6859-2	ENSG00000278267	microRNA 6859-2
729759	OR4F29	ENSG00000284733	olfactory receptor family 4 subfamily F member 29
100132287	LOC100132287	NA	uncharacterized LOC100132287
105378947	LOC105378947	NA	proline-rich extensin-like protein EPR1
101928626	LOC101928626	ENSG00000230021	uncharacterized LOC101928626
102465432	NA	NA	NA
81399	OR4F16	ENSG00000284662	olfactory receptor family 4 subfamily F member 16
100133331	NA	NA	NA
100288069	LOC100288069	NA	uncharacterized LOC100288069
400728	FAM87B	ENSG00000177757	family with sequence similarity 87 member B
79854	LINC00115	NA	long intergenic non-protein coding RNA 115
643837	LINC01128	ENSG00000228794	long intergenic non-protein coding RNA 1128
284593	FAM41C	ENSG00000230368	family with sequence similarity 41 member C
100130417	LINC02593	ENSG00000223764	long intergenic non-protein coding RNA 2593
148398	SAMD11	ENSG00000187634	sterile alpha motif domain containing 11
26155	NOC2L	ENSG00000188976	NOC2 like nucleolar associated transcriptional repressor
339451	KLHL17	ENSG00000187961	kelch like family member 17
84069	PLEKHN1	ENSG00000187583	pleckstrin homology domain containing N1
84808	PERM1	ENSG00000187642	PPARGC1 and ESRR induced regulator, muscle 1
57801	HES4	ENSG00000188290	hes family bHLH transcription factor 4
9636	ISG15	ENSG00000187608	ISG15 ubiquitin like modifier
375790	AGRN	ENSG00000188157	agrin
105369174	NA	NA	NA
105378948	LOC105378948	NA	uncharacterized LOC105378948
401934	RNF223	ENSG00000237330	ring finger protein 223
54991	C1orf159	ENSG00000131591	chromosome 1 open reading frame 159
254099	LINC01342	ENSG00000223823	long intergenic non-protein coding RNA 1342
406984	MIR200B	ENSG00000207730	microRNA 200b
406983	MIR200A	ENSG00000207607	microRNA 200a
554210	MIR429	ENSG00000198976	microRNA 429
254173	TTLL10	ENSG00000162571	tubulin tyrosine ligase like 10
8784	TNFRSF18	ENSG00000186891	TNF receptor superfamily member 18
