ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	GO:0007409	axonogenesis	63/1145	387/13131	0.162790697674419	1.86690362546969	5.35021691446327	8.29369871612285e-07	0.00173121754536194	0.0015608594344498	2048/1952/57463/10500/1944/1942/80128/57549/7042/5979/219699/57715/11041/4135/3798/8408/64919/51466/4130/9344/10381/1949/2064/8506/4804/4884/1943/5802/4854/5864/6324/333/57731/5794/84446/10505/655/65078/7477/9620/23654/2803/5364/3913/6405/6091/214/6474/2049/153478/23105/26999/90249/5754/6608/4147/575/4781/84628/4851/170302/5365/55558	63
GO:0061564	GO:0061564	axon development	68/1145	432/13131	0.157407407407407	1.8051673944687	5.25946126772481	1.06823916688821e-06	0.00173121754536194	0.0015608594344498	2048/1952/57463/10500/1944/1942/80128/57549/23057/7042/5979/219699/57715/349667/11041/4135/3798/8408/64919/51466/4130/9344/10381/146760/1949/2064/8506/2896/4804/4884/1943/5802/4854/5864/6324/333/57731/5794/84446/10505/655/65078/83999/7477/9620/23654/2803/5364/3913/6405/6091/214/6474/2049/153478/23105/26999/90249/5754/6608/4147/575/4781/84628/4851/170302/5365/55558	68
GO:0007411	GO:0007411	axon guidance	39/1145	200/13131	0.195	2.23628384279476	5.4452159138835	1.30756912105659e-06	0.00173121754536194	0.0015608594344498	2048/10500/1944/1942/57549/7042/5979/219699/57715/11041/3798/64919/51466/10381/1949/2064/4804/1943/4854/6324/5794/10505/655/7477/3913/6405/6091/214/2049/153478/26999/90249/5754/6608/4147/4781/4851/170302/55558	39
GO:0097485	GO:0097485	neuron projection guidance	39/1145	201/13131	0.194029850746269	2.2251580525321	5.40989523404305	1.48896842133697e-06	0.00173121754536194	0.0015608594344498	2048/10500/1944/1942/57549/7042/5979/219699/57715/11041/3798/64919/51466/10381/1949/2064/4804/1943/4854/6324/5794/10505/655/7477/3913/6405/6091/214/2049/153478/26999/90249/5754/6608/4147/4781/4851/170302/55558	39
GO:0048732	GO:0048732	gland development	60/1145	370/13131	0.162162162162162	1.85969550336363	5.18443140320683	1.72500751829608e-06	0.00173121754536194	0.0015608594344498	1435/55870/5087/9095/1999/7042/8945/3481/7481/5916/540/8660/64919/1396/64220/5595/79152/6776/4669/10481/2194/3643/1050/7040/1628/3398/81606/10018/3625/6670/1386/1373/80326/6714/55959/7022/655/3911/7477/5465/6091/2624/2049/4487/768239/3516/3184/6583/5307/11231/4602/10370/3202/6608/5324/4781/7046/445/4851/1896	60
GO:0061448	GO:0061448	connective tissue development	44/1145	245/13131	0.179591836734694	2.05958114250067	5.17435437546661	2.87446714492682e-06	0.0024040126888738	0.00216744908577114	656/1435/7042/7483/4054/7481/80310/81029/5916/59341/1396/30812/5595/55512/4094/8313/7040/54795/3398/91461/1386/4880/389084/55959/655/875/140606/9215/7477/3373/8692/6474/2261/4487/10424/5307/285590/3202/5447/642658/4781/7046/1289/4851	44
GO:0042475	GO:0042475	odontogenesis of dentin-containing tooth	18/1145	65/13131	0.276923076923077	3.17578770574404	5.43500364331845	7.05250789036665e-06	0.00505564065626569	0.00455814720493171	1435/10312/64919/3714/55512/4804/1747/147495/7040/26504/10018/80326/655/3911/5465/4487/6608/1896	18
GO:0042476	GO:0042476	odontogenesis	23/1145	100/13131	0.23	2.63766812227074	5.08083384532616	1.22991620921376e-05	0.00771464942229328	0.0069554998252641	1435/7042/10312/64919/3714/55512/80320/4804/1747/8313/147495/7040/26504/10018/80326/6714/655/3911/5465/4487/6608/360/1896	23
GO:0006814	GO:0006814	sodium ion transport	33/1145	177/13131	0.186440677966102	2.13812449115535	4.71164352999433	2.22395783305358e-05	0.0123998004514032	0.0111796149315372	79570/6536/481/254428/3784/6539/41/6334/5025/5652/6553/610/6324/5349/57731/7040/478/6543/54795/3777/525/26504/6640/128414/6526/150094/7533/54946/6583/65268/2902/10916/6535	33
GO:0002065	GO:0002065	columnar/cuboidal epithelial cell differentiation	21/1145	91/13131	0.230769230769231	2.6464897547867	4.87123299633003	2.7539117530275e-05	0.0124993522472616	0.0112693704681526	7161/5317/7481/5916/1045/124093/1747/2302/57521/4087/7040/4909/2016/6714/655/2624/4487/25803/3202/4781/4851	21
GO:0050808	GO:0050808	synapse organization	66/1145	458/13131	0.14410480349345	1.65261150626418	4.3938549701981	3.02263272802941e-05	0.0124993522472616	0.0112693704681526	2048/58512/9783/57463/81609/1942/57549/9806/349667/9746/41/90668/4776/3706/57524/26470/146760/57555/23098/2064/8506/2896/10882/10672/54549/4884/5064/5802/3643/7087/5864/79414/57622/57731/6543/8541/388/9762/22839/3911/65078/9215/114794/7477/23654/85358/9901/5364/3913/8927/6405/2049/2149/56133/56122/26999/5754/8936/43/575/23237/153090/84628/23096/5365/55558	66
GO:0051216	GO:0051216	cartilage development	32/1145	172/13131	0.186046511627907	2.13360414339393	4.62527834005009	3.07701716010979e-05	0.0124993522472616	0.0112693704681526	656/7042/7483/4054/7481/81029/5916/59341/5595/55512/4094/8313/7040/91461/1386/4880/389084/55959/655/875/7477/3373/8692/6474/2261/4487/5307/3202/5447/642658/4781/7046	32
GO:0031345	GO:0031345	negative regulation of cell projection organization	30/1145	158/13131	0.189873417721519	2.17749157039412	4.60218540556799	3.6190858015042e-05	0.0124993522472616	0.0112693704681526	2048/7798/4070/10500/1942/80128/349667/59341/8408/4776/51466/5780/23251/146760/1949/5802/115704/162979/10505/50861/65078/83999/27124/7533/6405/152559/23105/51256/5365/55558	30
GO:0055123	GO:0055123	digestive system development	25/1145	121/13131	0.206611570247934	2.36944675015338	4.67732078635673	3.72263604614794e-05	0.0124993522472616	0.0112693704681526	7161/7042/5979/3481/3784/60529/7481/1045/348093/64220/4087/3643/7040/3398/91461/1373/6714/6474/2049/25803/4602/3202/6608/445/4851	25
GO:0050804	GO:0050804	modulation of chemical synaptic transmission	55/1145	364/13131	0.151098901098901	1.732820672777	4.38229838279788	3.7363547969096e-05	0.0124993522472616	0.0112693704681526	26232/2048/58512/9783/6536/9066/91683/9746/41/4776/3706/4130/112476/5595/2775/57555/1949/9001/4355/4804/1636/27092/5802/23025/5864/6543/4909/8541/59284/6861/84446/5334/22839/3745/7533/9215/9145/23542/85358/10675/8927/10815/27065/2149/392862/43/7425/575/23237/116443/84628/2902/8573/6855/23096	55
GO:0099177	GO:0099177	regulation of trans-synaptic signaling	55/1145	365/13131	0.150684931506849	1.72807321887899	4.36005570893148	4.03683443682688e-05	0.0126605220024983	0.0114146805325539	26232/2048/58512/9783/6536/9066/91683/9746/41/4776/3706/4130/112476/5595/2775/57555/1949/9001/4355/4804/1636/27092/5802/23025/5864/6543/4909/8541/59284/6861/84446/5334/22839/3745/7533/9215/9145/23542/85358/10675/8927/10815/27065/2149/392862/43/7425/575/23237/116443/84628/2902/8573/6855/23096	55
GO:0048565	GO:0048565	digestive tract development	23/1145	110/13131	0.209090909090909	2.39788011115522	4.55032135481129	6.18836297399588e-05	0.0182665914138302	0.0164690922985971	7161/7042/5979/3784/60529/7481/1045/348093/64220/4087/7040/3398/91461/1373/6714/6474/2049/25803/4602/3202/6608/445/4851	23
GO:0042481	GO:0042481	regulation of odontogenesis	7/1145	14/13131	0.5	5.73406113537118	5.47745212499196	7.46255941470823e-05	0.0208039573016699	0.0187567721429333	1435/80320/4804/147495/7040/80326/4487	7
