ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030425	GO:0030425	dendrite	72/1221	495/13769	0.145454545454545	1.64026505844688	4.52550969792555	1.72694721500612e-05	0.00481818272986706	0.00450824115075281	26232/2048/7798/57463/57549/127933/26507/5662/3632/85442/10612/3746/9479/1132/349667/747/256472/4135/9746/41/25946/3798/114088/3706/4130/115/112476/9344/2775/6553/10381/57555/23098/22794/9001/4355/4804/57521/610/5064/3643/22983/79414/6543/114783/4909/3748/10505/9762/3745/11255/65078/2781/27124/85358/8927/214/3836/2049/10815/27065/11346/8936/57120/81628/6608/1191/575/23237/66004/153090/2902	72
GO:0097447	GO:0097447	dendritic tree	72/1221	495/13769	0.145454545454545	1.64026505844688	4.52550969792555	1.72694721500612e-05	0.00481818272986706	0.00450824115075281	26232/2048/7798/57463/57549/127933/26507/5662/3632/85442/10612/3746/9479/1132/349667/747/256472/4135/9746/41/25946/3798/114088/3706/4130/115/112476/9344/2775/6553/10381/57555/23098/22794/9001/4355/4804/57521/610/5064/3643/22983/79414/6543/114783/4909/3748/10505/9762/3745/11255/65078/2781/27124/85358/8927/214/3836/2049/10815/27065/11346/8936/57120/81628/6608/1191/575/23237/66004/153090/2902	72
GO:0031594	GO:0031594	neuromuscular junction	17/1221	65/13769	0.261538461538462	2.94932274932275	4.91385978790592	3.56384819019228e-05	0.00662875763375765	0.00620234632398376	58512/9143/1013/23098/2064/4804/1943/23025/6640/22839/3911/9215/9145/3913/2149/43/6855	17
GO:0098984	GO:0098984	neuron to neuron synapse	50/1221	322/13769	0.15527950310559	1.75105935975501	4.2539805679361	6.34413245432418e-05	0.00885006477378223	0.00828076236143366	2048/58512/6536/57549/5662/9066/747/91683/9746/41/56924/5170/112476/57555/1949/4355/2896/10882/4804/27092/57534/5064/5802/79414/57622/478/6253/6543/59284/84446/10505/3631/9762/7533/114794/23542/85358/9922/8927/3836/3184/9867/11346/57120/392862/575/23237/116443/4851/2902	50
GO:0032809	GO:0032809	neuronal cell body membrane	8/1221	19/13769	0.421052631578947	4.74813569550412	5.09972505697189	0.000115918757079272	0.0129365332900467	0.0121043586339618	57463/3746/3643/478/3748/3745/90249/153090	8
GO:0044298	GO:0044298	cell body membrane	8/1221	20/13769	0.4	4.51072891072891	4.90097788869363	0.00017823906027064	0.0157619255774639	0.0147480005403171	57463/3746/3643/478/3748/3745/90249/153090	8
GO:0045211	GO:0045211	postsynaptic membrane	34/1221	202/13769	0.168316831683168	1.8980789970889	4.01101529196222	0.000197730249179655	0.0157619255774639	0.0147480005403171	26232/2048/6536/57549/3746/1132/747/9746/41/112476/2775/6553/57555/27092/5802/79414/57622/3748/59284/10505/3745/114794/3761/85358/10675/5364/27065/2149/392862/286/23237/116443/4851/2902	34
GO:0032279	GO:0032279	asymmetric synapse	44/1221	291/13769	0.151202749140893	1.7050865298288	3.79212104799448	0.000312026700636217	0.0217638623693761	0.0203638478309952	58512/6536/57549/5662/747/9746/41/56924/5170/112476/4355/2896/10882/4804/27092/57534/5064/5802/79414/57622/6253/6543/59284/84446/10505/3631/9762/7533/114794/23542/85358/9922/8927/3836/3184/9867/11346/57120/392862/575/23237/116443/4851/2902	44
GO:0099572	GO:0099572	postsynaptic specialization	44/1221	298/13769	0.147651006711409	1.66503416167846	3.62041348991654	0.000524991471228844	0.0325494712161883	0.0304556455823984	58512/6536/57549/5662/747/9746/41/56924/5170/112476/57555/4355/4804/27092/57534/5064/5802/79414/57622/6253/6543/59284/84446/10505/3631/9762/22839/3745/114794/23542/85358/9922/8927/3836/3184/9867/11346/57120/392862/575/23237/116443/4851/2902	44
GO:0097060	GO:0097060	synaptic membrane	44/1221	301/13769	0.146179401993355	1.64843913681123	3.54819041649541	0.000650486048685277	0.0327360060381457	0.0306301810883235	26232/2048/9783/6536/57549/3746/1132/9066/747/9746/41/112476/2775/6553/57555/1949/23098/2064/27092/5064/5802/23025/79414/57622/3748/59284/10505/3745/114794/3761/85358/10675/5364/27065/2149/392862/286/23237/116443/84628/4851/2902/8573/6855	44
GO:0044297	GO:0044297	cell body	57/1221	421/13769	0.135391923990499	1.52679066455789	3.42434114896738	0.000811665587277548	0.0327360060381457	0.0306301810883235	2048/7798/57463/2752/7042/26507/85442/3784/3746/9479/349667/25946/3798/5025/4130/26470/29108/2775/10381/146760/4804/27092/57521/610/1943/5802/10382/3643/22983/6324/57731/7040/478/6543/54795/3748/59284/6861/10505/494513/3745/65078/2781/83999/23542/214/54800/10815/6583/11346/90249/5754/22853/23237/116443/153090/445	57
GO:0043025	GO:0043025	neuronal cell body	52/1221	376/13769	0.138297872340426	1.55956052764563	3.43169012262224	0.000833187796446609	0.0327360060381457	0.0306301810883235	2048/7798/57463/7042/26507/85442/3784/3746/9479/349667/25946/3798/4130/26470/29108/10381/146760/4804/57521/610/1943/5802/10382/3643/22983/6324/57731/7040/478/6543/54795/3748/59284/6861/10505/494513/3745/65078/83999/23542/214/54800/10815/6583/11346/90249/5754/22853/23237/116443/153090/445	52
GO:0008021	GO:0008021	synaptic vesicle	31/1221	193/13769	0.160621761658031	1.81130306000772	3.54064071776368	0.000839843483860492	0.0327360060381457	0.0306301810883235	6536/9066/91683/114088/192683/9143/25837/112476/9001/10966/201475/255057/5802/9545/23025/5864/4909/6861/84446/525/9145/9922/8927/115827/9522/5799/203062/11094/2902/6855/537	31
GO:0032589	GO:0032589	neuron projection membrane	10/1221	36/13769	0.277777777777778	3.13245063245063	3.99625812019131	0.000862989459732416	0.0327360060381457	0.0306301810883235	3746/747/6553/4355/610/3643/3748/3745/90249/286	10
GO:0014069	GO:0014069	postsynaptic density	41/1221	279/13769	0.146953405017921	1.65716743136098	3.45921985061611	0.000880000162315744	0.0327360060381457	0.0306301810883235	58512/6536/57549/5662/747/9746/41/56924/5170/112476/4355/4804/27092/57534/5064/5802/79414/57622/6253/6543/59284/84446/10505/3631/9762/114794/23542/85358/9922/8927/3836/3184/9867/11346/57120/392862/575/23237/116443/4851/2902	41
GO:0032590	GO:0032590	dendrite membrane	8/1221	25/13769	0.32	3.60858312858313	4.0721532881909	0.00102436497664121	0.0357247285603621	0.0334266466061868	3746/747/6553/4355/610/3643/3748/3745	8
GO:0070382	GO:0070382	exocytic vesicle	32/1221	207/13769	0.154589371980676	1.74327687371166	3.36108835138105	0.00134775313438924	0.0442380146464233	0.0413922944060101	6536/9066/91683/114088/192683/9143/25837/51760/112476/9001/10966/201475/255057/5802/9545/23025/5864/4909/6861/84446/525/9145/9922/8927/115827/9522/5799/203062/11094/2902/6855/537	32
