ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0046873	GO:0046873	metal ion transmembrane transporter activity	50/1186	301/13549	0.166112956810631	1.89769346697069	4.87813883593789	7.08961001066081e-06	0.00438495703991322	0.00411947947382244	9132/6536/57685/481/254428/54805/338440/3784/3746/6539/23416/41/4891/6334/59341/5025/283537/540/6553/489/27092/610/79041/9424/6261/478/6543/54795/3748/59284/3777/170850/30818/26504/140738/60598/3745/6526/3761/8911/776/54946/3757/2907/116443/2902/389816/27112/93380/6535	50
GO:0004888	GO:0004888	transmembrane signaling receptor activity	65/1186	431/13549	0.150812064965197	1.72289432395738	4.7238667697733	9.15439883071653e-06	0.00438495703991322	0.00411947947382244	8718/2048/58985/1952/8416/4881/1944/9283/7100/5979/219699/1132/59341/5025/51310/57156/1512/79412/4157/2811/1949/2064/2535/4804/55890/6915/3643/53637/4059/5794/57007/11255/3588/65078/83999/9620/23654/132014/84818/5364/6091/2049/53834/2261/152/7098/2149/2568/90249/2264/5754/6608/2041/5799/5157/25960/575/3590/7046/116443/4851/2902/54328/5365/55558	65
GO:0022890	GO:0022890	inorganic cation transmembrane transporter activity	61/1186	438/13549	0.139269406392694	1.59102966881502	3.89445269383254	0.000178994619973415	0.0222687323786048	0.0209205210237415	9132/6536/57685/481/254428/54805/338440/3784/3746/51296/10312/6539/23416/41/4891/6334/59341/5025/283537/540/57156/6553/489/146802/27092/610/79041/9424/6261/478/6543/54795/3748/59284/3777/170850/525/30818/26504/140738/60598/81031/3745/6526/3761/8911/776/54946/291/206358/4698/3757/57210/2907/116443/6834/2902/389816/27112/93380/6535	61
GO:0008324	GO:0008324	monoatomic cation transmembrane transporter activity	63/1186	457/13549	0.137855579868709	1.57487795247988	3.87211956028211	0.000188423935650282	0.0222687323786048	0.0209205210237415	9132/6536/57685/481/254428/54805/338440/3784/3746/51296/10312/6539/23416/41/4891/6334/59341/5025/283537/540/57156/6553/489/146802/27092/610/79041/9424/6261/478/6543/54795/3748/59284/3777/170850/525/30818/26504/140738/60598/81031/3745/6526/3761/8911/55129/776/54946/291/206358/222962/4698/3757/57210/2907/116443/6834/2902/389816/27112/93380/6535	63
GO:0005216	GO:0005216	monoatomic ion channel activity	43/1186	280/13549	0.153571428571429	1.75441761021441	3.95084271000549	0.000194254421109234	0.0222687323786048	0.0209205210237415	25932/9132/57685/338440/3784/3746/23416/41/6334/59341/5025/57156/27092/610/80131/79041/57719/5349/9424/6261/54795/3748/59284/3777/170850/30818/140738/60598/3745/8542/3761/8911/55129/65010/776/2568/3757/2907/116443/9022/2902/389816/27112	43
GO:0022836	GO:0022836	gated channel activity	32/1186	190/13549	0.168421052631579	1.92406141830123	3.97290945425838	0.000235194661482014	0.0222687323786048	0.0209205210237415	9132/57685/338440/3784/3746/23416/41/59341/5025/57156/27092/610/57719/9424/6261/54795/3748/59284/3777/170850/140738/3745/3761/8911/55129/776/2568/3757/116443/2902/389816/27112	32
GO:0022843	GO:0022843	voltage-gated monoatomic cation channel activity	19/1186	90/13549	0.211111111111111	2.41175754169009	4.16191281726706	0.000242406396494042	0.0222687323786048	0.0209205210237415	9132/57685/3784/3746/23416/27092/610/9424/6261/3748/59284/3777/170850/3745/3761/8911/776/3757/389816	19
GO:0005244	GO:0005244	voltage-gated monoatomic ion channel activity	22/1186	112/13549	0.196428571428571	2.24402252469284	4.09453040605529	0.00024443820247784	0.0222687323786048	0.0209205210237415	9132/57685/3784/3746/23416/27092/610/9424/6261/3748/59284/3777/170850/140738/3745/3761/8911/776/3757/116443/2902/389816	22
GO:0015267	GO:0015267	channel activity	47/1186	318/13549	0.147798742138365	1.68846977844241	3.84786751083296	0.00025031452704728	0.0222687323786048	0.0209205210237415	25932/2709/9132/57685/338440/3784/3746/23416/41/6334/59341/5025/57156/55876/27092/610/80131/79041/57719/5349/9424/6261/54795/3748/59284/3777/170850/30818/140738/60598/3745/8542/3761/8911/55129/65010/776/2568/1687/3757/2907/360/116443/9022/2902/389816/27112	47
GO:0022803	GO:0022803	passive transmembrane transporter activity	47/1186	318/13549	0.147798742138365	1.68846977844241	3.84786751083296	0.00025031452704728	0.0222687323786048	0.0209205210237415	25932/2709/9132/57685/338440/3784/3746/23416/41/6334/59341/5025/57156/55876/27092/610/80131/79041/57719/5349/9424/6261/54795/3748/59284/3777/170850/30818/140738/60598/3745/8542/3761/8911/55129/65010/776/2568/1687/3757/2907/360/116443/9022/2902/389816/27112	47
